iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b
237,307.013,2,2.66399,0.603662,21.3997,5.5078,32.952,0.233656,0.245653,0.528793,0.671967,0.0238667
238,304.53,2,2.58995,0.622832,21.5112,5.24351,32.6977,0.233188,0.243094,0.510457,0.678281,0.0236477
239,296.398,2,2.6326,0.605419,21.7289,5.10542,31.807,0.226753,0.241951,0.500086,0.707268,0.0227962
240,298.216,2,2.59522,0.617601,22.0792,4.87593,33.941,0.223605,0.245987,0.476856,0.719541,0.0229664
241,307.28,2,2.52342,0.642619,21.9156,4.88635,33.9671,0.226447,0.229205,0.485679,0.715243,0.0240317
242,305.898,2,2.56054,0.62856,21.7489,4.84145,35.6543,0.226821,0.23927,0.485687,0.706659,0.0239647
243,302.956,2,2.59169,0.616181,21.9188,4.85372,36.6485,0.230045,0.228378,0.516682,0.689494,0.023717
244,312.827,2,2.64999,0.597944,22.0189,4.89832,36.9796,0.221191,0.227199,0.546599,0.710861,0.0243588
245,310.814,2,2.65366,0.595213,21.7678,5.07015,37.6921,0.215899,0.22637,0.579997,0.710863,0.0242949
246,309.282,2,2.65148,0.591909,21.9617,4.9794,38.2685,0.222516,0.222469,0.568672,0.68513,0.0243309
247,307.926,2,2.60069,0.609577,22.0795,4.9771,37.2133,0.223095,0.218443,0.55394,0.697479,0.0242573
248,306.801,2,2.59648,0.616064,22.0997,4.95739,35.2498,0.222917,0.226852,0.531595,0.696617,0.0241861
249,297.198,2,2.60568,0.613667,22.118,4.82355,36.0028,0.22106,0.22727,0.512289,0.682579,0.0237109
250,308.405,2,2.59958,0.616137,22.2584,4.70234,35.9136,0.221845,0.229788,0.501936,0.679934,0.0241451
251,311.255,2,2.61142,0.611358,22.1879,4.67863,36.8564,0.221742,0.235785,0.501561,0.696196,0.0243511
252,309.094,2,2.57683,0.619488,22.1205,4.62838,37.3075,0.220994,0.235775,0.495124,0.709281,0.0243674
253,301.901,2,2.55546,0.629696,22.044,4.63239,37.523,0.219379,0.239488,0.480357,0.69335,0.0241777
254,301.553,2,2.56304,0.629905,21.8748,4.7145,37.3709,0.214432,0.242998,0.495689,0.679541,0.0239562
255,307.486,2,2.58233,0.623648,21.9667,4.78235,36.7879,0.218637,0.247331,0.50865,0.684088,0.0238882
256,306.324,2,2.60306,0.61886,22.024,4.79566,36.6334,0.21877,0.254804,0.50874,0.669822,0.0239085
257,306.785,2,2.62006,0.612163,21.7898,4.81143,36.149,0.218577,0.267413,0.507732,0.670105,0.0237886
258,302.947,2,2.624,0.610606,21.7222,4.84612,35.2883,0.217925,0.27182,0.508158,0.667019,0.023607
259,308.16,2,2.64911,0.601592,21.9185,4.85191,35.3257,0.216986,0.27123,0.495549,0.674938,0.0237942
260,307.358,2,2.65857,0.598309,21.9852,4.87034,35.1496,0.218468,0.266425,0.4917,0.672033,0.0239233
261,307.85,2,2.66588,0.596264,21.874,4.89626,35.0307,0.220486,0.261693,0.496039,0.676688,0.0239597
262,301.231,2,2.64184,0.604989,21.7926,4.91896,34.9577,0.221777,0.259526,0.499413,0.658771,0.0238535
263,300.009,2,2.63857,0.607962,21.734,4.93679,34.5346,0.222314,0.25366,0.50881,0.636511,0.0238316
264,303.344,2,2.63762,0.608894,21.7586,4.96023,34.4611,0.221914,0.250572,0.51445,0.632709,0.023841
265,296.24,2,2.6074,0.618377,21.6861,4.99158,34.4188,0.223467,0.24857,0.513587,0.638461,0.0236071
266,296.685,2,2.59984,0.621279,21.7101,4.98826,34.5414,0.224268,0.243529,0.513121,0.634081,0.023561
267,305.457,2,2.59654,0.623428,21.6697,4.97812,34.2805,0.223863,0.242985,0.518889,0.63302,0.0236456
268,303.871,2,2.60008,0.621041,21.6225,4.96425,33.9813,0.224056,0.241827,0.521069,0.639748,0.0236429
269,301.683,2,2.60875,0.617844,21.6263,4.91348,34.1749,0.222221,0.240405,0.521445,0.644407,0.0236581
270,298.894,2,2.60766,0.617417,21.6808,4.89259,34.4938,0.221854,0.238963,0.518694,0.645803,0.0236277
271,297.773,2,2.61809,0.614077,21.6511,4.91352,34.6363,0.220921,0.238197,0.51888,0.651417,0.0235533
272,300.832,2,2.62638,0.611277,21.6686,4.92907,34.8541,0.220068,0.239052,0.517963,0.651572,0.0235561
273,292.052,2,2.63067,0.61003,21.6656,4.92244,34.9,0.219963,0.23906,0.515441,0.652696,0.0234291
274,303.7,2,2.64316,0.606713,21.7089,4.91909,34.6557,0.219077,0.241367,0.516356,0.655957,0.0234487
275,302.09,2,2.64185,0.607432,21.7012,4.9273,34.5021,0.219718,0.2435,0.515586,0.658535,0.0234242
276,303.9,2,2.63818,0.609116,21.7113,4.95105,34.1269,0.220327,0.242748,0.517399,0.668986,0.0234042
277,305.889,2,2.63424,0.610091,21.6918,4.96537,33.9759,0.220665,0.241534,0.520479,0.672844,0.0234331
278,309.118,2,2.63665,0.609362,21.6812,4.97037,33.7261,0.220616,0.241133,0.5241,0.679794,0.0234682
279,305.434,2,2.63228,0.611021,21.6883,4.97229,33.4673,0.220793,0.239577,0.523447,0.683413,0.0235073
280,307.59,2,2.62753,0.612222,21.6937,4.96625,33.3702,0.221254,0.237785,0.522694,0.686376,0.023562
281,310.287,2,2.62599,0.613126,21.732,4.96575,33.3653,0.220587,0.23689,0.521578,0.687078,0.0236566
282,308.852,2,2.62035,0.615011,21.7395,4.96475,33.5048,0.220418,0.235817,0.523351,0.686689,0.0237102
283,307.16,2,2.62064,0.614956,21.7512,4.966,33.5018,0.220403,0.235618,0.523516,0.68757,0.0237169
284,310.723,2,2.62017,0.615066,21.756,4.9684,33.4866,0.22052,0.23591,0.523957,0.688294,0.0237207
285,292.045,2,2.62197,0.614444,21.7618,4.96777,33.4561,0.220489,0.236339,0.522743,0.688244,0.0236939
286,295.718,2,2.6233,0.614057,21.7636,4.96608,33.4292,0.220463,0.236741,0.521911,0.687898,0.0236769
287,301.546,2,2.62373,0.613974,21.7702,4.9673,33.3906,0.220381,0.236629,0.52108,0.688851,0.0236761
288,306.135,2,2.62522,0.613583,21.7692,4.96963,33.3232,0.220384,0.23686,0.520217,0.689218,0.0236822
289,301.29,2,2.6266,0.613245,21.7721,4.97201,33.2541,0.220235,0.236837,0.519731,0.689248,0.0236833
290,311.435,2,2.62645,0.613406,21.7789,4.97485,33.1855,0.220193,0.236803,0.520656,0.689686,0.0236929
291,316.331,2,2.62493,0.613985,21.7844,4.97415,33.185,0.220241,0.237317,0.521002,0.688433,0.0237149
292,310.548,2,2.6235,0.614404,21.7892,4.97195,33.1897,0.220254,0.237366,0.521971,0.686863,0.023728
293,308.756,2,2.62212,0.614865,21.7855,4.96826,33.2035,0.220209,0.237365,0.522617,0.685381,0.0237411
294,306.888,2,2.62129,0.615162,21.7825,4.96622,33.2076,0.220067,0.237494,0.523298,0.6844,0.0237473
295,305.299,2,2.62216,0.614785,21.7851,4.96348,33.2025,0.220057,0.237393,0.524107,0.683366,0.0237502
296,312.569,2,2.62305,0.614357,21.7822,4.96073,33.2489,0.220154,0.237577,0.524842,0.681828,0.0237644
297,301.87,2,2.62464,0.613799,21.7824,4.9549,33.2743,0.220264,0.237684,0.525504,0.679617,0.0237636
298,310.025,2,2.62491,0.613706,21.7772,4.95191,33.3002,0.22034,0.237834,0.526655,0.677875,0.0237722
299,304.521,2,2.62497,0.613641,21.7708,4.94821,33.3238,0.220503,0.237677,0.528276,0.676016,0.0237709
300,302.882,2,2.62572,0.613341,21.7698,4.94577,33.3466,0.220763,0.237836,0.528926,0.674932,0.023763
301,302.618,2,2.62717,0.612806,21.7701,4.94236,33.3717,0.220882,0.237855,0.528832,0.674016,0.0237632
302,299.7,2,2.628,0.612484,21.7664,4.94132,33.3842,0.220904,0.23794,0.528796,0.673236,0.0237572
303,301.863,2,2.62828,0.612336,21.7579,4.93745,33.3593,0.220998,0.237861,0.52863,0.672672,0.0237566
304,311.47,2,2.62907,0.612035,21.7644,4.93606,33.3715,0.22102,0.237966,0.528938,0.672295,0.0237668
305,304.121,2,2.63025,0.611653,21.7682,4.93538,33.3892,0.22105,0.238056,0.528982,0.671685,0.0237678
306,306.009,2,2.63082,0.611476,21.7735,4.93442,33.4021,0.221054,0.237894,0.529316,0.669953,0.0237794
307,305.111,2,2.63104,0.611371,21.776,4.93034,33.4022,0.221133,0.237734,0.529401,0.66828,0.0237893
308,304.803,2,2.63139,0.611321,21.7766,4.92674,33.3849,0.221068,0.237742,0.529304,0.667272,0.0237972
309,307.987,2,2.63302,0.610838,21.7749,4.92681,33.3453,0.221018,0.237816,0.529545,0.666458,0.0238055
310,296.402,2,2.63538,0.610076,21.7725,4.92397,33.3249,0.220918,0.237731,0.529535,0.665473,0.023801
311,298.949,2,2.63702,0.609587,21.7726,4.92202,33.3207,0.220921,0.237725,0.529845,0.66448,0.0237961
312,312.818,2,2.63698,0.609565,21.7687,4.92102,33.3253,0.221157,0.238149,0.530254,0.663882,0.0237998
313,305.02,2,2.63826,0.609214,21.766,4.92114,33.3033,0.221216,0.238295,0.530734,0.663157,0.0237989
314,300.909,2,2.63848,0.609176,21.7593,4.92179,33.3053,0.221402,0.238601,0.531591,0.661747,0.0237879
315,303.425,2,2.63988,0.60868,21.7564,4.91963,33.2733,0.221485,0.238701,0.532468,0.660231,0.0237856
316,311.836,2,2.64143,0.608164,21.7522,4.91632,33.2711,0.221503,0.238993,0.532503,0.658982,0.0237985
317,301.088,2,2.6422,0.607915,21.7518,4.915,33.2625,0.221536,0.239153,0.532475,0.657834,0.0237967
318,306.291,2,2.64262,0.607826,21.7516,4.91294,33.2522,0.221602,0.239014,0.532528,0.656664,0.0238061
319,304.529,2,2.6429,0.607818,21.7501,4.91138,33.2281,0.221623,0.239126,0.53321,0.655586,0.0238056
320,304.982,2,2.64303,0.60784,21.7498,4.91034,33.2051,0.221676,0.239293,0.533604,0.654516,0.023806
321,300.087,2,2.64388,0.607682,21.7487,4.91139,33.1851,0.221654,0.239408,0.533961,0.653305,0.023803
322,301.916,2,2.64431,0.607641,21.7436,4.91403,33.1518,0.221646,0.239271,0.534292,0.652465,0.0238042
323,307.057,2,2.645,0.607495,21.7398,4.91575,33.1373,0.221676,0.239057,0.535206,0.651272,0.0238109
324,308.483,2,2.64512,0.607493,21.7307,4.91675,33.1359,0.221849,0.238885,0.536528,0.649808,0.0238158
325,306.889,2,2.64508,0.607571,21.7214,4.92157,33.1252,0.221974,0.238744,0.537962,0.648644,0.023816
326,304.634,2,2.6451,0.607646,21.7124,4.92472,33.1159,0.222093,0.238594,0.539189,0.647631,0.0238144
327,300.07,2,2.64535,0.607677,21.71,4.92829,33.108,0.222199,0.238348,0.539665,0.646791,0.0238125
328,300.344,2,2.64553,0.607703,21.7101,4.93264,33.093,0.222312,0.238248,0.540213,0.646099,0.0238075
329,296.388,2,2.64482,0.607989,21.7093,4.93335,33.0801,0.222382,0.238328,0.540071,0.64545,0.0237993
330,299.307,2,2.64411,0.608274,21.7112,4.93289,33.0564,0.222383,0.238112,0.539988,0.645361,0.0237972
331,304.345,2,2.64404,0.60835,21.7115,4.93225,33.0368,0.222339,0.238003,0.539928,0.645784,0.0237976
332,307.78,2,2.64408,0.608426,21.71,4.93421,33.042,0.222321,0.23794,0.539828,0.645619,0.0238052
333,307.868,2,2.64424,0.608429,21.7067,4.93666,33.0462,0.222324,0.238009,0.539897,0.645293,0.0238103
334,304.102,2,2.64477,0.608261,21.7076,4.93937,33.0561,0.222307,0.238193,0.540119,0.645,0.0238075
335,306.827,2,2.64534,0.608033,21.7044,4.94183,33.0576,0.222308,0.238414,0.54044,0.645084,0.0238046
336,303.759,2,2.64616,0.607738,21.7024,4.94204,33.0413,0.222282,0.238455,0.540782,0.644847,0.0238026
337,304.855,2,2.64611,0.607734,21.7035,4.94076,33.0461,0.222238,0.238553,0.541136,0.644512,0.0238019
338,311.258,2,2.64667,0.607515,21.7062,4.93738,33.0458,0.222151,0.238598,0.541302,0.644024,0.0238121
339,306.867,2,2.64788,0.607065,21.7091,4.93581,33.0521,0.222137,0.238667,0.541837,0.643895,0.0238115
340,313.013,2,2.64871,0.606799,21.7093,4.93644,33.0499,0.222074,0.238593,0.542367,0.643751,0.023821
341,302.568,2,2.64928,0.606598,21.7109,4.93454,33.0547,0.221967,0.238513,0.542557,0.643409,0.0238225
342,303.104,2,2.6498,0.606428,21.7122,4.93446,33.0522,0.221973,0.238589,0.543053,0.642966,0.023819
343,303.425,2,2.65082,0.606089,21.7161,4.93361,33.0464,0.221966,0.238572,0.543093,0.642549,0.0238202
344,302.393,2,2.65217,0.605672,21.7183,4.93386,33.0352,0.221864,0.238544,0.543351,0.642414,0.0238193
345,302.486,2,2.65212,0.605716,21.7163,4.93719,33.034,0.221807,0.238485,0.543662,0.64218,0.0238183
346,300.081,2,2.65167,0.605875,21.7155,4.93837,33.0513,0.221807,0.238451,0.543988,0.641703,0.0238144
347,299.115,2,2.65181,0.605877,21.7149,4.94095,33.0514,0.221775,0.238464,0.544184,0.641471,0.0238091
348,301.19,2,2.652,0.605847,21.7168,4.94304,33.0518,0.221714,0.238403,0.54431,0.641151,0.0238087
349,308.73,2,2.65145,0.606075,21.7223,4.94201,33.0673,0.221737,0.238361,0.543872,0.640596,0.0238195
350,311.864,2,2.65155,0.606076,21.724,4.94222,33.0965,0.221683,0.238258,0.543852,0.640201,0.0238321
351,302.664,2,2.65209,0.605893,21.7267,4.94162,33.0897,0.221653,0.238172,0.543528,0.640124,0.0238344
352,303.322,2,2.65235,0.605775,21.7293,4.93847,33.0716,0.221654,0.238048,0.543207,0.640019,0.0238374
353,304.887,2,2.65377,0.605299,21.7321,4.93629,33.0724,0.221565,0.238181,0.542769,0.639877,0.0238412
354,295.031,2,2.65489,0.604906,21.7373,4.93322,33.0814,0.221505,0.238118,0.542358,0.639645,0.0238373
355,291.356,2,2.65547,0.604717,21.7401,4.93123,33.0996,0.221447,0.238015,0.542135,0.639203,0.0238305
356,296.927,2,2.6558,0.604586,21.7411,4.92851,33.1017,0.221343,0.237912,0.542513,0.638812,0.0238257
357,302.108,2,2.6566,0.604347,21.7446,4.92813,33.1108,0.221242,0.237909,0.54295,0.638514,0.0238245
358,294.933,2,2.65766,0.603987,21.7462,4.92907,33.1193,0.221205,0.237733,0.543027,0.6379,0.0238213
359,298.063,2,2.65892,0.60359,21.7478,4.93091,33.123,0.221174,0.237727,0.543496,0.637421,0.0238157
360,303.703,2,2.66009,0.603206,21.7483,4.93255,33.1208,0.221173,0.237617,0.543752,0.63722,0.0238167
361,304.959,2,2.6601,0.603178,21.7536,4.93143,33.1302,0.221263,0.237639,0.543936,0.636921,0.0238163
362,312.418,2,2.66044,0.603074,21.7595,4.92902,33.1258,0.221275,0.237715,0.543747,0.636849,0.0238248
363,308.657,2,2.66047,0.603041,21.7615,4.9273,33.1197,0.221253,0.237751,0.543569,0.637132,0.0238287
364,300.296,2,2.66046,0.603051,21.7647,4.92533,33.1121,0.221207,0.237709,0.543398,0.637403,0.0238263
365,303.857,2,2.66088,0.602942,21.7678,4.92553,33.106,0.221192,0.237809,0.543047,0.637471,0.023827
366,303.973,2,2.66138,0.602772,21.7698,4.92467,33.0801,0.221138,0.23799,0.542631,0.637746,0.0238262
367,300.907,2,2.66279,0.602293,21.769,4.92617,33.0698,0.221117,0.238089,0.542451,0.638046,0.0238217
368,301.659,2,2.66388,0.601889,21.7681,4.92702,33.0578,0.221078,0.238239,0.542027,0.638678,0.0238172
369,300.272,2,2.66469,0.60156,21.7667,4.92796,33.0399,0.221062,0.238448,0.541508,0.63981,0.0238078
370,295.882,2,2.66521,0.601398,21.7644,4.93012,33.0187,0.221024,0.238626,0.541104,0.640175,0.023799
371,304.262,2,2.66525,0.601378,21.7619,4.93245,33.004,0.221004,0.238745,0.540954,0.640346,0.0237976
372,299.793,2,2.66504,0.601415,21.7584,4.93302,32.9996,0.221026,0.238754,0.540711,0.640125,0.0237959
373,298.283,2,2.66495,0.601444,21.7591,4.93283,32.9922,0.221011,0.238917,0.540534,0.640088,0.0237901
374,302.574,2,2.6652,0.601342,21.7578,4.93408,32.9762,0.220975,0.238909,0.54061,0.639978,0.0237897
375,304.302,2,2.66531,0.60129,21.7579,4.93426,32.9631,0.220997,0.239122,0.540472,0.639897,0.0237878
376,301.023,2,2.66498,0.601375,21.7598,4.93389,32.9701,0.221028,0.239144,0.54001,0.64002,0.0237868
377,302.627,2,2.66546,0.601181,21.7596,4.9337,32.9766,0.221038,0.239175,0.539886,0.639979,0.0237861
378,299.172,2,2.6655,0.60116,21.7609,4.93358,32.9691,0.221086,0.239248,0.539652,0.639723,0.0237831
379,297.413,2,2.66564,0.601125,21.7613,4.93444,32.9648,0.221166,0.239078,0.539581,0.63929,0.0237815
380,298.722,2,2.66567,0.601111,21.7622,4.93498,32.9523,0.221228,0.238921,0.539353,0.63915,0.0237806
381,299.553,2,2.66656,0.600832,21.7642,4.93442,32.9521,0.221231,0.23887,0.539145,0.639239,0.0237788
382,302.854,2,2.66721,0.600619,21.7632,4.93378,32.9593,0.221195,0.238848,0.538886,0.638987,0.023782
383,304.712,2,2.66771,0.60048,21.7654,4.93255,32.9631,0.221183,0.238846,0.538737,0.638765,0.0237854
384,316.541,2,2.66846,0.600263,21.7697,4.93276,32.9506,0.221139,0.238968,0.538502,0.6393,0.0237933
385,307.022,2,2.66826,0.600386,21.7728,4.93209,32.941,0.221088,0.239019,0.538248,0.639224,0.0237982
386,303.819,2,2.6684,0.600387,21.7742,4.93222,32.9302,0.221054,0.23909,0.538023,0.639323,0.023799
387,300.089,2,2.66886,0.600195,21.7714,4.93211,32.9243,0.221053,0.239058,0.537899,0.639575,0.0237958
388,305.85,2,2.66957,0.599912,21.7676,4.93349,32.9229,0.221015,0.239041,0.537439,0.639988,0.0237988
389,304.885,2,2.67036,0.599596,21.764,4.93513,32.9291,0.220991,0.239126,0.536968,0.640439,0.0237993
390,300.318,2,2.67121,0.599282,21.7629,4.93703,32.9291,0.221032,0.239154,0.536636,0.640656,0.0237964
391,304.415,2,2.67181,0.599056,21.7638,4.93768,32.9181,0.221083,0.239201,0.536575,0.640683,0.0237956
392,302.51,2,2.67279,0.598715,21.7636,4.9376,32.9127,0.221044,0.239339,0.536319,0.640834,0.0237941
393,306.357,2,2.67358,0.598451,21.7648,4.93652,32.9166,0.22109,0.239457,0.536455,0.640599,0.0237942
394,302.553,2,2.67442,0.598147,21.7648,4.93573,32.9179,0.221132,0.239561,0.536387,0.64024,0.0237935
395,299.045,2,2.67482,0.597958,21.7625,4.93455,32.918,0.221194,0.239652,0.536481,0.640005,0.023788
396,302.048,2,2.675,0.597865,21.7614,4.93378,32.9255,0.221269,0.239702,0.536634,0.639805,0.0237848
397,303.368,2,2.67489,0.59788,21.762,4.93363,32.9233,0.221342,0.239767,0.536816,0.639965,0.0237802
398,302.971,2,2.67525,0.597755,21.7636,4.93281,32.9312,0.221369,0.23994,0.53671,0.639834,0.0237783
399,299.5,2,2.67541,0.597696,21.7642,4.93417,32.9415,0.221397,0.239961,0.536805,0.639777,0.0237741
400,298.195,2,2.67544,0.597689,21.7658,4.93398,32.9456,0.221392,0.239968,0.536635,0.639467,0.0237728
401,298.221,2,2.67611,0.597486,21.765,4.93436,32.9524,0.221295,0.239981,0.53642,0.639246,0.0237728
402,294.313,2,2.67665,0.597329,21.7663,4.93449,32.9596,0.221262,0.23993,0.536176,0.638941,0.0237706
403,302.843,2,2.67705,0.597228,21.7652,4.93662,32.9677,0.221322,0.239907,0.536508,0.63875,0.0237686
404,296.954,2,2.67748,0.597114,21.7645,4.9385,32.9817,0.221357,0.239853,0.53649,0.638387,0.0237664
405,302.751,2,2.67818,0.596894,21.764,4.93841,32.9773,0.221391,0.239887,0.536431,0.638062,0.023767
406,301.047,2,2.67847,0.596785,21.7622,4.93902,32.9735,0.221489,0.239814,0.536571,0.637767,0.0237654
407,309.435,2,2.67886,0.596638,21.7629,4.94013,32.9628,0.221535,0.239715,0.536764,0.637554,0.0237699
408,310.353,2,2.67891,0.596612,21.7641,4.93793,32.9528,0.221631,0.239643,0.536897,0.637382,0.0237742
409,311.232,2,2.67896,0.59664,21.7632,4.93811,32.9381,0.221756,0.239586,0.537114,0.636919,0.0237797
410,307.568,2,2.67932,0.596558,21.763,4.93828,32.9305,0.221904,0.239554,0.53735,0.636461,0.0237818
411,302.538,2,2.67949,0.596564,21.7626,4.93821,32.9054,0.221966,0.239624,0.537514,0.63567,0.0237823
412,302.703,2,2.67999,0.596469,21.7643,4.93867,32.8868,0.222016,0.239647,0.537767,0.63516,0.0237821
413,302.351,2,2.68001,0.596521,21.7655,4.93922,32.8796,0.222113,0.239743,0.538177,0.634551,0.0237791
414,297.755,2,2.67988,0.596635,21.7661,4.93877,32.8644,0.222188,0.239764,0.538373,0.633689,0.0237773
415,298.056,2,2.67995,0.596663,21.7652,4.93874,32.8427,0.222231,0.239863,0.538555,0.632961,0.0237742
416,301.838,2,2.68013,0.596659,21.7621,4.93971,32.8139,0.222259,0.239912,0.538589,0.63238,0.0237748
