iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q2_pop,V2_pop,Q3_pop,V3_pop,omega_Cl,omega_V1,omega_Q2,omega_V2,omega_Q3,omega_V3,a1,a2
175,1126.16,1,8.65756,50.1627,9.4914,178.533,4.07817e-05,0.00751305,0.216663,0.149004,0.351063,1.22593,7.21862,7.91763,0.287362,0.107407
176,1136.22,1,8.62871,50.1491,9.55481,176.947,5.75663e-05,0.00621906,0.229268,0.161708,0.373617,1.20519,7.26245,7.71716,0.284881,0.108633
177,1142.63,1,8.70773,50.118,9.93667,164.845,4.47434e-05,0.0107394,0.246527,0.180537,0.3782,1.29638,7.08361,8.09648,0.28117,0.107159
178,1144.35,1,8.58254,51.1942,9.9176,156.666,5.48935e-05,0.00391037,0.242838,0.175966,0.37102,1.39945,7.13288,7.89147,0.284457,0.109694
179,1148.02,1,8.35978,51.9177,9.99512,172.412,3.45621e-05,0.00266854,0.26253,0.171511,0.363367,1.36402,7.42294,7.97443,0.277254,0.114541
180,1142.27,1,8.35668,49.8548,9.89789,167.541,0.000134563,0.00291189,0.255882,0.167168,0.354167,1.38932,7.23499,7.8746,0.279768,0.111641
181,1129.57,1,8.51501,50.1267,10.3397,166.9,4.29086e-05,0.00287945,0.258024,0.162935,0.345199,1.36496,7.0518,7.89822,0.282648,0.108814
182,1148.89,1,8.37222,49.8557,10.0186,146.51,1.81939e-05,0.0119721,0.25537,0.169957,0.336458,1.48294,7.52366,7.96538,0.288317,0.110499
183,1149.09,1,8.67804,50.03,9.7601,152.796,4.92615e-05,0.00972505,0.248904,0.165653,0.327939,1.44539,7.72317,8.4189,0.284388,0.11266
184,1129.72,1,8.8781,50.1371,9.48443,145.852,3.81649e-05,0.0229792,0.242601,0.161459,0.319636,1.4088,7.87601,8.20573,0.282032,0.109807
185,1132.36,1,8.7489,50.0956,9.40446,142.996,3.47112e-05,0.0275496,0.241844,0.157371,0.331796,1.37312,8.80877,7.99796,0.27489,0.111136
186,1129.17,1,8.79617,49.8686,9.37341,138.054,4.45206e-05,0.00381157,0.251648,0.153386,0.324278,1.33836,8.58572,7.79544,0.281747,0.108322
187,1133.14,1,9.07148,49.6553,9.27673,120.206,9.11048e-06,0.0101391,0.245276,0.15257,0.347497,1.30447,8.51345,7.59806,0.288487,0.105579
188,1130.59,1,9.08121,49.9778,9.29575,117.851,1.37857e-05,0.0365494,0.245576,0.17512,0.389582,1.27144,8.29788,7.40567,0.285339,0.102906
189,1131.17,1,9.23965,49.7109,9.56536,118.174,2.30622e-05,0.0154976,0.250887,0.170686,0.379717,1.23924,8.1176,7.21816,0.286277,0.104617
190,1144.12,1,9.24847,49.3064,9.74096,124.327,7.58216e-06,0.0286884,0.244534,0.166364,0.426605,1.20787,8.19301,7.64142,0.289743,0.104998
191,1130.68,1,9.16197,48.6993,10.0843,115.1,7.09794e-06,0.00802037,0.248005,0.162152,0.415803,1.17728,7.98556,7.44794,0.290912,0.10234
192,1140.15,1,9.26579,49.2052,9.59733,120.037,5.88123e-06,0.00690888,0.241726,0.159463,0.415877,1.18316,8.80194,7.25935,0.28843,0.104961
193,1136.63,1,9.31256,49.5664,9.51472,120.035,5.19373e-06,0.0025014,0.235605,0.155426,0.485971,1.2023,8.57907,7.28223,0.281127,0.106198
194,1129.51,1,9.45794,49.2714,9.71942,122.471,1.6268e-06,0.00162685,0.22964,0.15149,0.473666,1.17186,8.36185,7.32583,0.290462,0.103509
195,1133.28,1,9.51862,50.162,9.82729,114.974,2.31514e-06,0.00606749,0.247151,0.156745,0.47331,1.14218,8.15012,7.14034,0.288502,0.101689
196,1136.03,1,9.40996,49.0066,10.0924,121.039,8.47453e-07,0.0538916,0.251125,0.161137,0.489029,1.14513,8.45185,7.45768,0.290905,0.099114
197,1140.95,1,9.41297,49.4359,9.97484,122.134,7.30894e-07,0.0782572,0.257122,0.157056,0.476647,1.14685,8.80574,7.84912,0.29555,0.100322
198,1136.49,1,9.40937,48.8302,9.72984,116.623,2.9621e-07,0.321711,0.250822,0.15308,0.485575,1.11781,8.71258,7.76014,0.292111,0.100055
199,1136.29,1,9.35469,49.476,9.66745,120.719,1.23513e-06,0.742507,0.2721,0.151334,0.47328,1.08951,8.49197,8.14106,0.30087,0.0975212
200,1135.17,1,9.33809,49.4935,9.74588,124.627,9.89848e-07,0.482703,0.266147,0.147502,0.461296,1.06192,8.27695,8.06242,0.293252,0.101149
201,1134.5,1,9.28582,49.3695,9.50203,135.329,7.0088e-07,0.42236,0.260929,0.143767,0.465165,1.03503,8.63033,8.80668,0.29138,0.0990447
202,1128.97,1,9.52273,48.9387,9.19842,111.607,5.51143e-07,2.1601,0.254322,0.140127,0.453387,1.04373,8.5521,9.172,0.288637,0.0995602
203,1129.17,1,9.51334,48.8123,9.49843,109.262,5.03311e-06,1.57764,0.247883,0.145874,0.441907,1.0173,8.33555,9.03653,0.282687,0.102389
204,1139.88,1,9.66878,48.6554,9.25386,96.1464,2.26758e-06,3.09371,0.241606,0.145202,0.477473,1.05358,8.12449,9.1471,0.28853,0.104286
205,1127.69,1,9.65315,48.1359,8.82637,89.4589,5.31344e-06,2.16036,0.235488,0.141525,0.475436,1.0269,7.91877,8.91549,0.288409,0.101645
206,1133.35,1,9.68653,49.0283,8.88558,102.175,1.2496e-06,2.53875,0.229526,0.137942,0.478229,1.00331,8.08058,8.70665,0.289598,0.102914
207,1142.09,1,9.59216,47.7296,9.39767,96.0325,2.83741e-07,11.9826,0.233114,0.140143,0.531037,1.05831,8.80423,8.48619,0.290812,0.102876
208,1128.66,1,9.48557,47.6893,9.61718,106.952,1.20396e-07,19.2394,0.239087,0.142179,0.517591,1.03151,8.58131,8.27131,0.285622,0.10325
209,1119.57,1,9.44755,48.0262,9.336,110.019,2.29175e-07,29.9269,0.246218,0.138579,0.504485,1.00539,8.36402,8.06188,0.287372,0.100832
210,1130.21,1,9.42937,48.1361,9.19964,100.955,2.89752e-07,39.3173,0.249491,0.13507,0.491711,0.990904,8.15224,7.85775,0.291727,0.104491
211,1123.3,1,9.4355,47.3203,9.35428,98.961,5.17974e-07,31.6038,0.246321,0.133285,0.479261,1.00997,7.94582,7.65879,0.291444,0.102123
212,1115.52,1,9.46951,47.7996,10.1275,96.7415,2.76376e-06,55.618,0.252691,0.134143,0.476194,0.989017,7.74463,7.46486,0.295203,0.0995374
213,1136.06,1,9.49026,48.0527,10.7543,95.3723,1.78334e-06,40.5107,0.247359,0.141229,0.479375,1.20148,7.61224,7.61036,0.289632,0.101579
214,1126.19,1,9.50866,48.3783,10.091,92.4378,4.34882e-06,80.1681,0.246068,0.137653,0.467237,1.19739,7.4195,7.41766,0.282298,0.103492
215,1122.72,1,9.38271,47.5644,10.1759,104.793,2.22346e-06,263.063,0.24658,0.134167,0.455406,1.17934,7.25853,7.22984,0.289852,0.100872
216,1122.98,1,9.31266,47.6419,10.1819,97.9735,2.08959e-06,208.088,0.25195,0.13077,0.443875,1.19475,7.12565,7.04678,0.288615,0.102335
217,1127.21,1,9.31057,48.507,9.81702,111.446,2.18781e-06,275.155,0.245571,0.12985,0.432636,1.23851,6.95705,7.54342,0.281307,0.104282
218,1129.22,1,9.50293,49.141,9.35778,103.245,8.2368e-07,218.983,0.247375,0.126562,0.467244,1.20715,7.306,7.35242,0.288296,0.10476
219,1120.87,1,9.64706,49.0931,9.29063,99.7644,1.48873e-06,242.701,0.241111,0.123357,0.455413,1.17659,7.12101,7.16625,0.280996,0.108191
220,1122.6,1,9.4538,49.4448,9.65535,97.5148,3.61561e-07,1324.06,0.24486,0.120234,0.443881,1.1468,7.80595,7.21318,0.277805,0.105451
221,1122.22,1,9.53248,49.2817,9.85957,99.0723,4.47533e-07,1180.08,0.23866,0.124429,0.432642,1.11776,7.6083,7.03054,0.281123,0.107793
222,1112.9,1,9.38802,49.8965,9.36289,109.846,1.04683e-06,516.603,0.256306,0.121279,0.421687,1.08946,7.41565,6.85252,0.280874,0.105064
223,1126.94,1,9.34674,49.7556,9.31913,104.518,2.70308e-06,431.583,0.264944,0.124075,0.41101,1.08554,7.22788,6.67901,0.295278,0.103895
224,1123.76,1,9.5562,49.7581,9.24667,106.365,4.42594e-06,967.54,0.258236,0.120934,0.451382,1.05806,7.04487,6.79587,0.290345,0.105076
225,1125.34,1,9.54347,49.203,9.18608,98.0069,5.1177e-06,2869.75,0.251697,0.127273,0.439952,1.08604,7.3122,6.76082,0.28426,0.106583
226,1127.66,1,9.59358,49.2094,9.5106,104.949,3.22514e-06,4280.72,0.245324,0.12405,0.438052,1.08552,7.12705,6.93395,0.286873,0.107941
227,1125.79,1,9.43436,48.5383,9.52258,110.68,2.78729e-06,5225.87,0.239365,0.120909,0.437237,1.05804,7.58182,6.75838,0.286892,0.108918
228,1138.38,1,9.64073,48.815,9.96834,91.9178,4.72134e-06,9909.74,0.247469,0.117847,0.505189,1.03125,7.46929,6.58726,0.289689,0.111383
229,1126.34,1,9.60829,48.1846,10.1718,95.7464,3.33768e-06,8217.94,0.241203,0.114864,0.516104,1.00514,7.99483,6.42046,0.28919,0.108562
230,1127.92,1,9.73529,48.1963,10.8501,96.2992,3.69102e-06,4171.68,0.235095,0.111955,0.588157,1.06692,7.7924,6.25789,0.286723,0.107159
231,1132.35,1,9.76038,48.3754,10.4167,94.479,1.26622e-06,5908.43,0.230564,0.10912,0.630945,1.06652,7.59509,6.25431,0.281941,0.108723
232,1126.75,1,9.66443,47.9994,10.8503,95.1858,1.92754e-07,2970.86,0.240752,0.106357,0.614969,1.09981,7.40278,6.30598,0.288653,0.10597
233,1120.34,1,9.57481,47.3394,10.9563,94.051,2.49923e-07,3772.22,0.248513,0.104028,0.618605,1.17649,7.21533,6.24797,0.290574,0.103286
234,1134.72,1,9.53265,47.3086,10.3557,107.253,1.68602e-07,9442.94,0.247991,0.108807,0.610638,1.14671,7.19137,6.19441,0.292168,0.105861
235,1120,1,9.57675,47.8542,10.2536,108.02,8.49539e-08,11936.6,0.260692,0.106052,0.595176,1.11767,7.14278,6.03756,0.288963,0.103181
236,1117.39,1,9.49124,48.5371,9.88226,102.347,1.82682e-08,8766.82,0.278118,0.103366,0.584214,1.10056,6.96192,5.88469,0.282574,0.103931
237,1126.43,1,9.40809,49.228,9.51706,124.594,6.263e-08,4910.32,0.285262,0.100749,0.583056,1.07269,7.63147,5.73568,0.28776,0.105319
238,1123.64,1,9.52631,49.2804,10.1649,97.0555,9.6083e-08,14701.4,0.278039,0.0981981,0.568292,1.10797,7.4783,6.65666,0.290776,0.103066
239,1119.9,1,9.5461,48.4658,10.8296,100.739,6.97008e-08,11987.2,0.270999,0.0957117,0.553903,1.07992,7.28894,6.81172,0.292894,0.102542
240,1127.43,1,9.58017,48.0796,10.1751,99.2609,1.84499e-07,4422.06,0.264137,0.0958872,0.545865,1.05257,7.86784,7.0602,0.287794,0.103217
241,1128.78,1,9.75515,48.427,10.1212,87.1108,1.7053e-07,4902.02,0.257449,0.104176,0.576714,1.02592,8.12802,6.88144,0.293279,0.101044
242,1127.42,1,9.67202,48.98,9.85231,96.2849,1.12164e-07,9147.46,0.264042,0.101538,0.569833,0.999946,7.92221,6.77168,0.289229,0.106311
243,1115.79,1,9.57653,48.3556,9.38503,97.9878,1.74644e-07,9135.86,0.288334,0.0989669,0.555405,0.974626,7.72162,6.60021,0.291308,0.103619
244,1122.38,1,9.65969,48.3897,8.79429,88.1848,7.54632e-08,21553.7,0.281033,0.096461,0.59977,0.949948,8.33815,6.91495,0.286859,0.100996
245,1128.81,1,9.63096,48.7408,9.35432,91.774,6.19798e-08,14031,0.273917,0.104672,0.595654,0.928326,8.12702,7.21912,0.279595,0.106674
246,1130.31,1,9.54845,48.658,9.04104,90.2571,1.14563e-08,10791.3,0.269541,0.111277,0.683893,0.92608,8.14824,7.3805,0.285914,0.103973
247,1137.4,1,9.6107,47.6458,9.54702,89.1529,1.11539e-08,18567.1,0.281832,0.126693,0.676133,0.902632,9.65888,7.34854,0.28353,0.10134
248,1134.14,2,9.56091,48.4027,9.27658,80.7974,2.74489e-07,8032.7,0.289146,0.123485,0.710254,0.962983,9.41431,7.16247,0.292847,0.0987744
249,1135.47,2,9.64376,47.6008,10.0748,80.3985,2.24269e-07,6403.63,0.281825,0.120359,0.69227,0.985032,9.17593,7.49778,0.286477,0.102937
250,1140.87,2,9.61762,47.2571,9.91667,87.6009,3.28152e-07,10094.1,0.250523,0.121847,0.647751,0.976689,9.31804,7.25434,0.288904,0.102708
251,1137.81,2,9.61765,47.419,9.46123,88.0071,4.9874e-08,5492.33,0.259777,0.114968,0.651849,1.0088,9.80593,7.18981,0.293756,0.0985962
252,1124.75,2,9.74215,47.2884,9.75796,88.241,6.76683e-08,7957.86,0.250648,0.10445,0.660995,0.929095,9.19899,7.85754,0.291119,0.0956381
253,1127.25,2,9.80887,47.2188,9.60008,83.3199,5.13355e-08,8342.45,0.234871,0.0944485,0.631546,0.931341,9.01138,7.84318,0.288914,0.10061
254,1139.59,2,9.86216,47.0691,10.1385,81.2478,3.82097e-08,12763.3,0.227286,0.101092,0.660015,0.950311,9.30947,8.06572,0.280649,0.107266
255,1142.98,2,9.72518,46.9993,10.3771,82.2916,1.28976e-07,22279,0.236735,0.106643,0.648473,0.96115,8.92836,8.01937,0.284915,0.107239
256,1125.9,2,9.71499,46.799,9.77445,81.73,8.00769e-07,11864.6,0.239906,0.0991137,0.676796,0.891034,8.06843,7.26421,0.285573,0.104131
257,1118.13,2,9.63808,46.4494,9.31988,88.969,1.22506e-06,7668.42,0.233142,0.0942639,0.688343,0.853131,8.10165,7.06946,0.286658,0.101118
258,1115.99,2,9.55959,46.4387,8.72774,99.5123,3.10472e-06,2253.17,0.240332,0.0915408,0.792906,0.843783,7.81977,7.14861,0.292959,0.0958597
259,1111.85,2,9.45961,46.5173,8.93716,110.032,6.22018e-06,3902.87,0.246104,0.0893101,0.817096,0.775215,7.72356,5.85475,0.292445,0.0980225
260,1112.44,2,9.53137,46.5203,9.23996,107.089,2.68183e-06,2862.39,0.253906,0.0913049,0.868748,0.757337,8.34723,6.03981,0.290278,0.0955094
261,1112.19,2,9.59481,46.2827,9.19276,102.388,2.01911e-06,3799.43,0.254684,0.09389,0.844728,0.743741,7.77654,6.11038,0.290021,0.0964024
262,1117.54,2,9.6137,46.2716,8.81469,97.2001,2.07695e-06,1899.84,0.261034,0.0918958,0.848905,0.738099,7.76031,5.66967,0.295452,0.0973179
263,1118.62,2,9.66378,46.6928,8.80591,93.9828,1.53556e-06,1899.07,0.263035,0.0942136,0.840919,0.738673,7.80505,5.74648,0.295453,0.0975674
264,1110.42,2,9.68856,46.8444,8.75532,90.6542,1.20451e-06,2047.03,0.256889,0.0869961,0.817418,0.733177,7.68585,6.42867,0.293405,0.0969449
265,1121.79,2,9.8091,46.9904,9.1112,86.6746,1.35056e-06,1419.27,0.254902,0.0856449,0.850487,0.722151,7.13961,6.87449,0.293442,0.0993317
266,1113.61,2,9.78885,47.1356,9.23684,86.3148,1.34501e-06,1555.32,0.259766,0.0835634,0.88217,0.714827,7.19223,6.97031,0.294496,0.0972069
267,1112.61,2,9.83715,47.3667,9.22098,84.8093,1.25979e-06,896.92,0.264808,0.0825173,0.810688,0.702998,7.37209,7.44777,0.295792,0.0961168
268,1112.78,2,9.85592,47.4767,8.81976,80.099,2.04702e-06,1026.61,0.255427,0.0826387,0.822344,0.730878,7.4044,7.27219,0.296952,0.0953808
269,1110.51,2,9.89269,47.4927,8.86747,80.4758,3.20201e-06,848.898,0.249822,0.0842978,0.81632,0.732721,6.98901,7.46322,0.297365,0.0951228
270,1103.29,2,9.9465,47.5783,8.88458,79.9875,4.25785e-06,685.668,0.24778,0.0841709,0.827611,0.699911,6.82076,7.48569,0.295955,0.0946234
271,1104.12,2,9.97602,47.9468,8.87919,78.5953,6.23948e-06,378.504,0.248888,0.0831956,0.831174,0.688402,6.74319,7.5393,0.29487,0.0944214
272,1088.4,2,10.001,47.8409,8.88759,77.462,6.14206e-06,280.334,0.2464,0.0792246,0.830824,0.672151,6.45821,7.11474,0.291951,0.0946506
273,1086.52,2,10.0521,48.0333,8.78601,75.4198,6.15945e-06,232.706,0.243442,0.0750947,0.818477,0.630104,6.35153,6.84473,0.292956,0.0948322
274,1090.67,2,10.0747,47.7891,8.84392,74.6728,4.97965e-06,262.627,0.243911,0.0779144,0.81743,0.604587,6.15706,6.85511,0.294399,0.0940548
275,1085.58,2,10.0936,47.6868,8.83841,75.4691,5.26172e-06,240.338,0.244948,0.0774767,0.828934,0.57675,6.12027,6.78811,0.294801,0.0933559
276,1089.9,2,10.1107,47.5942,8.93741,75.1655,5.77645e-06,239.378,0.243623,0.0781163,0.804101,0.574352,6.43363,6.4465,0.293596,0.0940182
277,1093.93,2,10.0889,47.5793,9.01514,76.2436,1.12706e-05,234.999,0.246865,0.0767586,0.807964,0.562397,6.21719,6.45992,0.296528,0.0941875
278,1087.36,2,10.0957,47.5671,9.08877,77.1516,1.36394e-05,159.711,0.2492,0.0768055,0.803376,0.542488,6.26817,6.34452,0.295764,0.0944354
279,1088.05,2,10.0717,47.5934,9.03669,76.2993,1.32712e-05,153.844,0.254271,0.0771975,0.819949,0.523768,6.12082,6.36488,0.295863,0.0942354
280,1082.89,2,10.0846,47.6147,8.95121,72.9009,1.70317e-05,194.918,0.256829,0.076588,0.828118,0.519393,6.03232,6.42981,0.296196,0.0933422
281,1087.28,2,10.0955,47.616,8.86452,71.2042,1.62954e-05,215.415,0.257274,0.0750989,0.839025,0.507206,6.09705,6.42636,0.294831,0.0939031
282,1094.88,2,10.1066,47.6504,8.84159,70.0859,1.26716e-05,230.658,0.257545,0.0761597,0.8597,0.497272,6.20591,6.41266,0.294448,0.0941919
283,1087.42,2,10.1016,47.484,8.89478,69.483,1.13865e-05,286.224,0.257674,0.0768854,0.887539,0.486792,6.19618,6.30004,0.294664,0.0939174
284,1094.2,2,10.0891,47.4089,8.83108,69.9783,9.10292e-06,280.141,0.258135,0.0764531,0.898562,0.488496,6.26929,6.19878,0.294942,0.0941504
285,1094.94,2,10.0871,47.2286,8.88126,70.4058,8.2643e-06,223.886,0.256738,0.077155,0.90062,0.488896,6.39239,6.1191,0.295903,0.0940523
286,1093.29,2,10.0806,47.1716,8.90022,71.2809,6.77462e-06,218.628,0.255819,0.0771345,0.895262,0.486208,6.41802,6.11911,0.295464,0.0945251
287,1087.13,2,10.0791,47.2086,8.74726,71.7382,6.36193e-06,231.57,0.254323,0.0772456,0.897335,0.483182,6.43555,6.01533,0.295325,0.0945875
288,1090.34,2,10.0785,47.1959,8.69393,71.9944,5.61364e-06,190.105,0.252821,0.0776172,0.900441,0.479688,6.39618,6.02711,0.29484,0.0948441
289,1088.06,2,10.0833,47.1681,8.64216,71.8296,5.04959e-06,167.168,0.25201,0.0792081,0.90134,0.472077,6.41574,6.07191,0.295041,0.0944522
290,1085.49,2,10.0942,47.1672,8.58529,70.4527,6.12162e-06,157.242,0.250773,0.0786265,0.902271,0.470231,6.3943,6.04162,0.294732,0.0945911
291,1077.62,2,10.0974,47.1493,8.58422,69.8281,6.70941e-06,136.35,0.251028,0.0789017,0.901398,0.461554,6.34844,5.97075,0.294487,0.0944798
292,1079.64,2,10.1148,47.0839,8.70567,69.5066,7.06123e-06,150.225,0.251025,0.0783856,0.899454,0.454103,6.28498,5.9194,0.294534,0.0946212
293,1084.67,2,10.1185,47.0986,8.66095,69.2828,7.20517e-06,146.361,0.251613,0.0783248,0.906625,0.45091,6.29294,5.89221,0.294266,0.0945827
294,1083.28,2,10.1184,47.1256,8.67413,69.3918,8.07997e-06,142.876,0.25244,0.0777772,0.908406,0.444294,6.23661,5.86993,0.294024,0.0948918
295,1097.01,2,10.1188,47.1144,8.69603,68.8846,8.09579e-06,140.265,0.252215,0.0773338,0.915482,0.44745,6.22686,5.85134,0.294318,0.0951748
296,1102.79,2,10.1176,47.0916,8.74612,68.5202,8.07996e-06,127.543,0.251371,0.0769562,0.914416,0.455267,6.22822,5.89882,0.294238,0.0955735
297,1093.43,2,10.1142,47.1069,8.7195,68.4734,8.07853e-06,133.98,0.251596,0.0765073,0.90924,0.453717,6.1962,6.00342,0.294091,0.0958134
298,1078.21,2,10.1135,47.097,8.73009,68.2882,8.59356e-06,142.798,0.252365,0.076137,0.906322,0.45141,6.16774,5.97435,0.293779,0.0958055
299,1086.1,2,10.1165,47.089,8.72872,68.1287,8.71976e-06,141.811,0.252401,0.0763249,0.903559,0.44993,6.16823,5.97215,0.293701,0.0958629
300,1080.34,2,10.1187,47.0945,8.73163,68.0977,8.75777e-06,140.349,0.25266,0.0763122,0.901057,0.448975,6.16283,5.96186,0.293655,0.0958908
301,1078.84,2,10.1202,47.0983,8.73318,68.1515,8.88177e-06,138.231,0.252807,0.076199,0.899789,0.4492,6.14125,5.95976,0.293664,0.0958757
302,1076.14,2,10.1198,47.1061,8.73572,68.1159,8.70791e-06,134.205,0.252838,0.0761163,0.897917,0.447914,6.12716,5.94578,0.293632,0.0959206
303,1077.06,2,10.1211,47.1033,8.73417,68.0628,8.66919e-06,132.444,0.252851,0.0761488,0.897222,0.447836,6.12337,5.9254,0.29356,0.0959069
304,1078.99,2,10.1214,47.118,8.73055,68.1413,8.67872e-06,130.932,0.252968,0.0762028,0.8954,0.44657,6.12031,5.90903,0.293549,0.0959285
305,1081.48,2,10.1233,47.1318,8.72252,68.1843,8.67305e-06,131.55,0.253009,0.0761443,0.894488,0.445654,6.11929,5.89786,0.293458,0.0959843
306,1088.23,2,10.124,47.1404,8.71136,68.227,8.57362e-06,129.013,0.252975,0.0759951,0.894175,0.44533,6.11008,5.89093,0.293404,0.0960906
307,1092.5,2,10.1245,47.1433,8.70778,68.2699,8.60202e-06,126.23,0.253143,0.0761862,0.893578,0.444631,6.11196,5.90148,0.293388,0.0960967
308,1079.55,2,10.1262,47.1505,8.71685,68.3625,8.68712e-06,124.105,0.253018,0.0761108,0.892195,0.443876,6.10813,5.912,0.293221,0.0961334
309,1076.21,2,10.1287,47.1513,8.72056,68.418,8.59767e-06,123.013,0.252964,0.0759863,0.891102,0.442958,6.11048,5.92178,0.293194,0.0960923
310,1087.23,2,10.1291,47.1519,8.71955,68.429,8.45438e-06,123.278,0.252941,0.0760421,0.889754,0.442683,6.12109,5.93108,0.2932,0.0960647
311,1091.23,2,10.1305,47.1551,8.71592,68.4424,8.35467e-06,125,0.252866,0.0761237,0.889565,0.442409,6.13561,5.93903,0.293266,0.096024
312,1083.4,2,10.131,47.1586,8.71648,68.4587,8.27886e-06,126.409,0.252795,0.0761546,0.888248,0.441703,6.1279,5.94687,0.293255,0.096037
313,1085.36,2,10.1323,47.167,8.71452,68.51,8.2475e-06,124.038,0.252839,0.0761874,0.886818,0.441591,6.12238,5.95417,0.293246,0.0960383
314,1087.67,2,10.1318,47.171,8.71244,68.5089,8.1798e-06,121.821,0.252757,0.0760856,0.885938,0.441619,6.12815,5.96583,0.293194,0.0960546
315,1081.67,2,10.1313,47.1791,8.72017,68.5719,7.95406e-06,118.253,0.252949,0.0761209,0.884516,0.441354,6.13187,5.96453,0.293218,0.0960129
316,1074.77,2,10.1325,47.1681,8.73638,68.6202,7.75344e-06,116.87,0.253032,0.0763328,0.884106,0.440945,6.13496,5.95095,0.293185,0.0959324
317,1082.68,2,10.1342,47.1596,8.74858,68.5877,7.8898e-06,116.811,0.25301,0.0763339,0.884391,0.439865,6.13034,5.95916,0.293255,0.0959001
318,1082.93,2,10.1358,47.1541,8.75605,68.5668,7.91134e-06,116.93,0.252897,0.0764703,0.884264,0.438757,6.12252,5.96251,0.293221,0.0959111
319,1077.5,2,10.1367,47.1567,8.76549,68.632,7.89079e-06,117.302,0.253026,0.0762588,0.884343,0.438699,6.1123,5.96994,0.293202,0.0958888
320,1083.14,2,10.1376,47.1536,8.77112,68.6867,7.90466e-06,117.944,0.253028,0.0762311,0.883562,0.438219,6.11538,5.97122,0.293203,0.095886
321,1090.55,2,10.1377,47.155,8.77413,68.7356,7.9019e-06,118.121,0.252876,0.0761988,0.882242,0.437298,6.11854,5.99449,0.293126,0.0959414
322,1086.9,2,10.1377,47.1569,8.78442,68.682,7.90038e-06,118.261,0.252891,0.0761316,0.881564,0.437428,6.12586,5.99798,0.293144,0.0959302
323,1086.24,2,10.14,47.1633,8.7893,68.6283,8.04655e-06,116.695,0.253037,0.0762091,0.881452,0.436572,6.11868,5.99861,0.293033,0.0959852
324,1088.68,2,10.1415,47.1649,8.79147,68.5396,8.04911e-06,116.279,0.253006,0.0761663,0.88238,0.436135,6.10919,6.00207,0.292953,0.0960471
325,1084.55,2,10.1434,47.1632,8.80064,68.5719,7.99681e-06,116.063,0.253035,0.0761153,0.883651,0.435525,6.09526,6.01812,0.292894,0.096054
326,1084.43,2,10.1452,47.1663,8.80472,68.5935,7.95169e-06,115.782,0.253146,0.0760416,0.884294,0.434597,6.08587,6.02113,0.293003,0.096045
327,1079.38,2,10.1458,47.1712,8.81626,68.5599,7.9073e-06,116.5,0.253089,0.0760688,0.884141,0.434838,6.07681,6.01686,0.292999,0.0960232
328,1082.41,2,10.1465,47.1652,8.81888,68.5468,7.74713e-06,116.042,0.253027,0.0758919,0.884721,0.4346,6.07307,6.0114,0.292986,0.0960568
329,1076.46,2,10.147,47.1652,8.81359,68.602,7.68088e-06,115.808,0.253024,0.0759387,0.884842,0.434124,6.06216,6.00808,0.292956,0.0960417
330,1087.98,2,10.1486,47.1687,8.8196,68.6546,7.57514e-06,116.492,0.253017,0.0758992,0.885315,0.434083,6.061,6.00528,0.292907,0.0960781
331,1082.68,2,10.1492,47.167,8.82026,68.6488,7.37608e-06,118.296,0.252959,0.0759326,0.884623,0.433679,6.05174,6.00438,0.292852,0.0961178
332,1094,2,10.1493,47.1556,8.81865,68.6255,7.27819e-06,118.585,0.252984,0.0760121,0.884449,0.433733,6.05301,6.00883,0.292842,0.0961386
333,1081.55,2,10.1493,47.1585,8.81025,68.6352,7.25198e-06,118.643,0.252954,0.0760539,0.884618,0.43305,6.05127,5.99954,0.292815,0.0961573
334,1072.15,2,10.1501,47.1608,8.80549,68.6305,7.25079e-06,118.845,0.253031,0.0760591,0.885102,0.432153,6.05265,5.99012,0.29275,0.0961297
335,1079.22,2,10.15,47.167,8.80935,68.6931,7.3027e-06,119.028,0.253157,0.0760467,0.885067,0.431777,6.04742,5.98166,0.292757,0.0961264
336,1080.43,2,10.1506,47.1751,8.81156,68.7247,7.41535e-06,119.412,0.253366,0.0760794,0.884523,0.431237,6.03992,5.96906,0.29279,0.0961381
337,1086.64,2,10.1505,47.1769,8.81209,68.7478,7.46163e-06,117.66,0.253575,0.0760788,0.883496,0.430927,6.02937,5.97034,0.292777,0.0961821
338,1076.03,2,10.1513,47.1785,8.80799,68.8107,7.51553e-06,115.589,0.253662,0.0759551,0.884227,0.430364,6.02552,5.96077,0.292713,0.0962027
339,1081.46,2,10.1521,47.178,8.808,68.891,7.52328e-06,114.773,0.253722,0.0760069,0.885333,0.429949,6.0139,5.94905,0.292693,0.0962219
340,1075.73,2,10.1516,47.1785,8.80378,68.8777,7.48324e-06,113.405,0.253718,0.0760193,0.884823,0.42959,6.00295,5.94139,0.292672,0.0962341
341,1099.72,2,10.1515,47.1776,8.80335,68.8536,7.38682e-06,112.596,0.253745,0.0760621,0.884018,0.429221,5.99673,5.95506,0.292724,0.0962904
342,1088.08,2,10.1529,47.1736,8.79989,68.7658,7.35687e-06,112.568,0.253609,0.0761382,0.883131,0.428732,6.00055,5.9567,0.292659,0.0963341
343,1075.74,2,10.1545,47.1756,8.81141,68.7378,7.35143e-06,111.687,0.253564,0.0761679,0.882181,0.428104,5.99687,5.95996,0.292619,0.096326
