Cl_abscissa,Cl_cdf,Q_abscissa,Q_cdf,split
5.03535,0.0401429,1.3587,0.0402857,All
5.03596,0.0402857,1.3587,0.0404286,All
5.03596,0.0404286,1.36086,0.0405714,All
5.03655,0.0405714,1.36086,0.0407143,All
5.03702,0.0407143,1.36086,0.0408571,All
5.03702,0.0408571,1.36115,0.041,All
5.03823,0.041,1.36162,0.0411429,All
5.03963,0.0411429,1.36162,0.0412857,All
5.04019,0.0412857,1.36162,0.0414286,All
5.04182,0.0414286,1.36162,0.0415714,All
5.04182,0.0415714,1.36162,0.0417143,All
5.04336,0.0417143,1.36162,0.0418571,All
5.04375,0.0418571,1.36162,0.042,All
5.04645,0.042,1.36199,0.0421429,All
5.04757,0.0421429,1.367,0.0422857,All
5.04777,0.0422857,1.36793,0.0424286,All
5.05245,0.0424286,1.36933,0.0425714,All
5.05334,0.0425714,1.37445,0.0427143,All
5.05334,0.0427143,1.37587,0.0428571,All
5.0556,0.0428571,1.37587,0.043,All
5.05849,0.043,1.38541,0.0431429,All
5.06208,0.0431429,1.38832,0.0432857,All
5.06338,0.0432857,1.39862,0.0434286,All
5.06502,0.0434286,1.39904,0.0435714,All
5.06677,0.0435714,1.39904,0.0437143,All
5.06764,0.0437143,1.40306,0.0438571,All
5.06893,0.0438571,1.40387,0.044,All
5.06895,0.044,1.40881,0.0441429,All
5.07107,0.0441429,1.41464,0.0442857,All
5.07112,0.0442857,1.41534,0.0444286,All
5.07412,0.0444286,1.41978,0.0445714,All
5.07669,0.0445714,1.42576,0.0447143,All
5.07916,0.0447143,1.42576,0.0448571,All
5.0794,0.0448571,1.42812,0.045,All
5.08185,0.045,1.42959,0.0451429,All
5.08536,0.0451429,1.42959,0.0452857,All
5.08612,0.0452857,1.42959,0.0454286,All
5.08883,0.0454286,1.42959,0.0455714,All
5.09148,0.0455714,1.42959,0.0457143,All
5.093,0.0457143,1.43689,0.0458571,All
5.09417,0.0458571,1.44404,0.046,All
5.09909,0.046,1.44404,0.0461429,All
5.0996,0.0461429,1.44404,0.0462857,All
5.0996,0.0462857,1.45104,0.0464286,All
5.10097,0.0464286,1.45104,0.0465714,All
5.10165,0.0465714,1.45183,0.0467143,All
5.10177,0.0467143,1.45183,0.0468571,All
5.10283,0.0468571,1.45183,0.047,All
5.10543,0.047,1.4563,0.0471429,All
5.10569,0.0471429,1.46072,0.0472857,All
5.10866,0.0472857,1.46313,0.0474286,All
5.11441,0.0474286,1.47008,0.0475714,All
5.11465,0.0475714,1.47306,0.0477143,All
5.11471,0.0477143,1.47733,0.0478571,All
5.1177,0.0478571,1.48061,0.048,All
5.11809,0.048,1.48777,0.0481429,All
5.11944,0.0481429,1.48777,0.0482857,All
5.11944,0.0482857,1.49332,0.0484286,All
5.11959,0.0484286,1.49458,0.0485714,All
5.11967,0.0485714,1.49605,0.0487143,All
5.12058,0.0487143,1.49766,0.0488571,All
5.12124,0.0488571,1.49806,0.049,All
5.12131,0.049,1.50695,0.0491429,All
5.12496,0.0491429,1.51413,0.0492857,All
5.12634,0.0492857,1.51541,0.0494286,All
5.12708,0.0494286,1.51541,0.0495714,All
5.12994,0.0495714,1.51812,0.0497143,All
5.13046,0.0497143,1.51882,0.0498571,All
5.13146,0.0498571,1.51997,0.05,All
5.1317,0.05,1.52783,0.0501429,All
5.13211,0.0501429,1.54128,0.0502857,All
5.13211,0.0502857,1.54237,0.0504286,All
5.13607,0.0504286,1.54751,0.0505714,All
5.13619,0.0505714,1.54892,0.0507143,All
5.13643,0.0507143,1.54892,0.0508571,All
5.13861,0.0508571,1.55684,0.051,All
5.14179,0.051,1.55802,0.0511429,All
5.14179,0.0511429,1.56557,0.0512857,All
5.14334,0.0512857,1.56557,0.0514286,All
5.14351,0.0514286,1.56557,0.0515714,All
5.14614,0.0515714,1.56557,0.0517143,All
5.14647,0.0517143,1.56557,0.0518571,All
5.14649,0.0518571,1.56557,0.052,All
5.14677,0.052,1.56557,0.0521429,All
5.14892,0.0521429,1.57078,0.0522857,All
5.14971,0.0522857,1.57447,0.0524286,All
5.15201,0.0524286,1.57447,0.0525714,All
5.15201,0.0525714,1.57664,0.0527143,All
5.15201,0.0527143,1.57849,0.0528571,All
5.15237,0.0528571,1.57849,0.053,All
5.15367,0.053,1.58107,0.0531429,All
5.15438,0.0531429,1.58156,0.0532857,All
5.15463,0.0532857,1.58265,0.0534286,All
5.15648,0.0534286,1.58663,0.0535714,All
5.15676,0.0535714,1.58663,0.0537143,All
5.15697,0.0537143,1.59454,0.0538571,All
5.16038,0.0538571,1.5958,0.054,All
5.16042,0.054,1.59585,0.0541429,All
5.16042,0.0541429,1.6001,0.0542857,All
5.16343,0.0542857,1.6001,0.0544286,All
5.16343,0.0544286,1.60744,0.0545714,All
5.16475,0.0545714,1.60744,0.0547143,All
5.16475,0.0547143,1.60806,0.0548571,All
5.16617,0.0548571,1.61841,0.055,All
5.16927,0.055,1.62005,0.0551429,All
5.17006,0.0551429,1.62142,0.0552857,All
5.1723,0.0552857,1.62171,0.0554286,All
5.1723,0.0554286,1.62365,0.0555714,All
5.17308,0.0555714,1.62919,0.0557143,All
5.17767,0.0557143,1.62919,0.0558571,All
5.17832,0.0558571,1.62919,0.056,All
5.18221,0.056,1.62919,0.0561429,All
5.18221,0.0561429,1.63535,0.0562857,All
5.18382,0.0562857,1.63535,0.0564286,All
5.1846,0.0564286,1.6426,0.0565714,All
5.18552,0.0565714,1.6426,0.0567143,All
5.18634,0.0567143,1.6426,0.0568571,All
5.18634,0.0568571,1.64901,0.057,All
5.18676,0.057,1.64901,0.0571429,All
5.18761,0.0571429,1.64901,0.0572857,All
5.18768,0.0572857,1.64904,0.0574286,All
5.18981,0.0574286,1.64904,0.0575714,All
5.1927,0.0575714,1.64904,0.0577143,All
5.19374,0.0577143,1.64969,0.0578571,All
5.19408,0.0578571,1.66382,0.058,All
5.19642,0.058,1.66714,0.0581429,All
5.20024,0.0581429,1.66714,0.0582857,All
5.20168,0.0582857,1.66717,0.0584286,All
5.20243,0.0584286,1.66717,0.0585714,All
5.20357,0.0585714,1.66756,0.0587143,All
5.20872,0.0587143,1.67067,0.0588571,All
5.20917,0.0588571,1.67067,0.059,All
5.20965,0.059,1.67108,0.0591429,All
5.21186,0.0591429,1.67535,0.0592857,All
5.2129,0.0592857,1.67618,0.0594286,All
5.21709,0.0594286,1.67618,0.0595714,All
5.22127,0.0595714,1.68043,0.0597143,All
5.22931,0.0597143,1.68107,0.0598571,All
5.2306,0.0598571,1.68432,0.06,All
5.23082,0.06,1.68838,0.0601429,All
5.23326,0.0601429,1.68838,0.0602857,All
5.23388,0.0602857,1.68885,0.0604286,All
5.23809,0.0604286,1.69149,0.0605714,All
5.24008,0.0605714,1.69149,0.0607143,All
5.24044,0.0607143,1.69627,0.0608571,All
5.24595,0.0608571,1.69629,0.061,All
