iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
130,842.989,1,9.98569,10.9163,46.6108,54.9726,2.22045e-16,0.103803,0.168536,0.930154,0.255866,0.416458,0.185409,0.993552,0.234403
131,847.785,1,10.0292,11.464,47.9306,53.972,2.22045e-16,0.103877,0.168169,0.944099,0.267837,0.4116,0.180714,1.05404,0.255239
132,852.13,1,9.95216,12.0263,47.07,53.8071,2.22045e-16,0.106285,0.166596,0.951565,0.261237,0.411264,0.176139,1.08122,0.248776
133,844.971,1,10.0006,11.4627,47.9422,51.4542,2.22045e-16,0.104684,0.166932,0.949988,0.257999,0.40085,0.178187,1.05384,0.249144
134,839.296,1,10.0443,11.588,47.8863,54.81,2.22045e-16,0.101847,0.167075,0.940593,0.275324,0.390701,0.203593,1.02716,0.259606
135,836.264,1,10.082,11.114,48.6537,60.6706,2.22045e-16,0.100574,0.169363,0.96991,0.268353,0.380808,0.198438,1.00115,0.253033
136,840.16,1,10.0211,11.1382,48.5626,63.8709,2.22045e-16,0.0984359,0.169547,0.970106,0.279291,0.371166,0.219576,0.975803,0.250224
137,839.762,1,10.0148,11.0651,48.3334,59.27,2.22045e-16,0.100095,0.16847,0.966797,0.272219,0.361767,0.214016,1.05199,0.24903
138,840.007,1,10.1012,11.7059,48.1911,57.4422,2.22045e-16,0.10023,0.169349,0.963295,0.265326,0.370147,0.208597,1.03495,0.242724
139,850.301,1,10.0782,12.3573,46.687,57.159,2.22045e-16,0.100672,0.173652,0.951809,0.265444,0.412519,0.204064,1.00875,0.260317
140,841.409,1,10.0967,12.552,46.2658,50.6414,2.22045e-16,0.0996595,0.172183,0.951298,0.265795,0.415649,0.198897,0.994629,0.262522
141,833.233,1,10.0663,12.5412,46.2225,53.0968,2.22045e-16,0.0975985,0.166379,0.95219,0.264596,0.405125,0.193861,1.04718,0.257816
142,838.379,1,10.005,12.304,45.3688,54.5357,2.22045e-16,0.101937,0.162502,0.949312,0.257896,0.398345,0.19199,1.02066,0.251288
143,846.188,1,10.0177,12.7103,44.8564,53.1545,2.22045e-16,0.0993866,0.16967,0.9545,0.251366,0.41939,0.19259,1.03759,0.261472
144,840.79,1,10.1281,12.4588,45.5471,55.1193,2.22045e-16,0.0971656,0.175381,0.95127,0.251185,0.408771,0.187713,1.01132,0.264997
145,842.698,1,10.1222,12.6471,45.8954,52.8478,2.22045e-16,0.102446,0.173344,0.950269,0.244825,0.39842,0.18296,0.985714,0.258288
146,841.262,1,10.1704,12.6488,45.766,52.303,2.22045e-16,0.105133,0.167629,0.94989,0.253447,0.388332,0.178327,1.00937,0.259179
147,830.597,1,10.2149,12.3085,46.4561,53.9873,2.22045e-16,0.100661,0.168044,0.966177,0.253577,0.378499,0.173812,0.983814,0.26119
148,834.113,1,10.1655,12.3276,47.3883,57.8497,2.22045e-16,0.102965,0.162354,0.957767,0.258097,0.368916,0.175597,1.03127,0.265655
149,839.264,1,10.1787,12.3472,46.2824,55.4098,2.22045e-16,0.102751,0.167104,0.966876,0.259954,0.359574,0.177569,1.06953,0.258929
150,841.459,1,10.2194,11.6859,47.0909,52.9025,2.22045e-16,0.103862,0.171224,0.952634,0.253371,0.37872,0.173072,1.04245,0.255927
151,840.448,1,10.1195,12.0441,46.5434,53.9036,2.22045e-16,0.101705,0.171707,0.961017,0.269162,0.396091,0.16869,1.01606,0.249447
152,842.48,1,10.1534,12.7098,46.399,46.31,2.22045e-16,0.0999439,0.174515,0.951299,0.265295,0.399105,0.164453,1.03774,0.243131
153,829.242,1,10.1063,12.065,46.1903,47.2591,2.22045e-16,0.0979276,0.169641,0.934543,0.263926,0.388999,0.16209,1.04228,0.246605
154,830.152,1,10.0564,12.1064,45.7856,48.6887,2.22045e-16,0.0990737,0.164043,0.953832,0.262338,0.400062,0.157986,1.01589,0.265657
155,828.976,1,10.118,12.3719,45.7048,48.306,2.22045e-16,0.0988482,0.168743,0.948713,0.260788,0.389932,0.153986,1.00719,0.258931
156,833.788,1,10.0428,12.4334,45.3111,45.193,2.22045e-16,0.0989828,0.17367,0.93033,0.263823,0.380059,0.150087,1.03554,0.252374
157,829.092,1,10.0638,11.839,45.7357,44.7735,2.22045e-16,0.0958324,0.175132,0.939747,0.261416,0.370436,0.146286,1.00932,0.262772
158,829.796,1,10.0494,12.1285,46.6452,47.1178,2.22045e-16,0.100181,0.170214,0.946508,0.25573,0.361056,0.142582,1.09972,0.256118
159,825.803,1,10.0041,12.0355,46.0344,47.8917,2.22045e-16,0.100209,0.167889,0.94652,0.261317,0.351914,0.138972,1.07187,0.25247
160,834.124,1,9.94409,11.6121,45.2913,48.4142,2.22045e-16,0.101664,0.174219,0.92454,0.260447,0.343003,0.135453,1.04473,0.263296
161,833.541,1,9.99877,11.7993,46.2463,48.041,2.22045e-16,0.100337,0.175361,0.942386,0.253992,0.334318,0.132023,1.12502,0.256629
162,829.424,1,10.0331,11.5641,46.1675,45.5745,2.22045e-16,0.10361,0.166903,0.939877,0.248914,0.325853,0.128681,1.11791,0.258355
163,837.596,1,10.0872,11.5515,46.7893,43.9139,2.22045e-16,0.105666,0.16705,0.950326,0.260156,0.343145,0.140724,1.11888,0.254948
164,835.701,1,9.99181,11.7074,46.8004,47.693,2.22045e-16,0.104376,0.161993,0.960381,0.253637,0.375261,0.137161,1.12697,0.261869
