iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
85,869.856,1,9.84685,10.3567,45.5468,55.5569,2.22045e-16,0.402519,0.110007,0.135989,0.967249,0.24785,0.791444,0.116627,1.06556,0.261644
86,862.79,1,9.88149,9.929,45.5827,49.8069,2.10942e-16,0.548365,0.104506,0.134331,0.957856,0.245555,0.771404,0.113674,1.03858,0.260804
87,856.659,1,9.8564,10.8419,45.197,47.2591,2.22045e-16,0.568819,0.103947,0.128998,0.944491,0.242622,0.751872,0.110796,1.08019,0.265192
88,860.503,1,9.8649,11.1704,45.7775,50.1896,2.22045e-16,0.35655,0.106565,0.137216,0.960705,0.247932,0.732834,0.116256,1.05284,0.264319
89,862.007,1,9.79267,11.3186,45.3112,48.1069,2.22045e-16,0.541348,0.11007,0.122221,0.949612,0.250109,0.714278,0.113313,1.03925,0.257626
90,861.602,1,9.81045,11.0083,45.024,45.6081,2.22045e-16,0.609758,0.111414,0.117132,0.945822,0.248748,0.696192,0.11857,1.06024,0.251103
91,862.541,1,9.89294,12.0971,45.3239,47.3852,2.22045e-16,0.441631,0.115333,0.127564,0.95634,0.243518,0.678564,0.115568,1.03339,0.244745
92,859.031,1,9.87733,12.0557,44.6929,49.3973,2.22045e-16,0.396148,0.116572,0.129622,0.942367,0.243767,0.661383,0.112642,1.00723,0.244369
93,862.529,1,9.91256,12.03,44.5576,50.5138,2.22045e-16,0.407222,0.117261,0.127515,0.95187,0.240738,0.706174,0.10979,0.981725,0.247034
94,862.914,1,10.0805,12.1922,43.8098,46.8073,2.10942e-16,0.504326,0.111398,0.128088,0.97974,0.239588,0.698677,0.12729,0.956867,0.250041
95,850.142,1,10.0238,12.1712,43.4885,46.5852,2.00395e-16,0.537869,0.105828,0.120917,0.969198,0.246563,0.686141,0.124067,0.955317,0.246182
