iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
112,707.995,1,5.57913,19.3539,7.55042,24.6491,0.135817,0.286891,0.565097,0.288725,0.998984,0.264399,0.0624916
113,712.564,1,5.58821,19.2483,7.39077,24.4828,0.132378,0.280962,0.557314,0.282343,0.998898,0.269088,0.0634719
114,712.296,1,5.5666,19.2042,7.68608,24.4782,0.129625,0.278857,0.581743,0.281118,0.998959,0.269106,0.0633044
115,701.576,1,5.60652,19.1646,7.59855,24.3505,0.127492,0.278224,0.567013,0.280788,0.999,0.272369,0.0617015
116,705.072,1,5.59783,19.3163,7.41685,24.5361,0.135753,0.274806,0.586081,0.277757,0.998862,0.271124,0.0601391
117,699.354,1,5.5925,19.3415,7.56202,24.5443,0.136415,0.271631,0.571241,0.27501,0.999,0.267449,0.060189
118,702.08,1,5.60741,19.3688,7.79116,24.5294,0.133099,0.269356,0.583318,0.275801,0.998991,0.271952,0.0598059
119,701.087,1,5.61133,19.2599,7.6475,24.4264,0.135595,0.269751,0.595384,0.277886,0.999,0.267192,0.0605325
120,705.974,1,5.58788,19.2998,7.84112,24.4762,0.136607,0.273373,0.580308,0.280257,0.998863,0.271198,0.0603368
121,704.936,1,5.60952,19.1841,7.91833,24.3423,0.133148,0.27687,0.574646,0.281825,0.998778,0.272056,0.059677
122,706.762,1,5.61233,19.1104,8.00083,24.1591,0.129776,0.271461,0.59816,0.277569,0.998699,0.273632,0.0596602
123,713.693,1,5.61872,19.0774,8.0928,24.1083,0.130108,0.266624,0.607733,0.27604,0.998544,0.272079,0.0617084
124,709.231,1,5.60821,19.0097,8.2444,23.992,0.132142,0.262292,0.592345,0.269612,0.998346,0.276567,0.0601459
125,706.871,1,5.59936,19.0941,7.87621,24.1469,0.133741,0.26007,0.577347,0.271308,0.998618,0.272642,0.0604826
126,707.177,1,5.58886,19.05,7.82239,24.0887,0.130355,0.259466,0.568063,0.270214,0.999,0.272374,0.0624692
127,702.659,1,5.58648,19.086,7.79916,24.1089,0.130191,0.262823,0.573844,0.273912,0.998779,0.270328,0.0608874
128,697.777,1,5.61256,19.2408,7.67379,24.2628,0.13148,0.262324,0.559314,0.273696,0.998976,0.268669,0.0599775
129,705.165,1,5.61697,19.2221,8.1011,24.233,0.130874,0.261889,0.582346,0.272317,0.998673,0.268775,0.0607927
130,704.457,1,5.61106,19.296,8.11138,24.3867,0.127561,0.25787,0.611589,0.265422,0.998506,0.266761,0.0607305
131,706.66,1,5.62577,19.298,8.11284,24.3806,0.12589,0.25912,0.635988,0.266585,0.998935,0.273898,0.0609149
132,706.875,1,5.58607,19.3555,7.64506,24.5008,0.128155,0.268987,0.619885,0.276793,0.999,0.272832,0.0619922
133,713.451,1,5.59054,19.3958,7.43764,24.5075,0.132803,0.275358,0.61184,0.282991,0.99876,0.26846,0.0624249
134,708.331,1,5.61088,19.3667,7.49379,24.4686,0.130127,0.279703,0.596348,0.285076,0.998956,0.277306,0.0608442
135,710.544,1,5.61653,19.3797,7.74502,24.4674,0.129378,0.282528,0.581248,0.288649,0.998856,0.272727,0.0616341
136,704.254,1,5.58014,19.2789,7.74086,24.3901,0.133979,0.281668,0.56653,0.290005,0.999,0.272506,0.0608866
137,703.709,1,5.60735,19.2159,7.72304,24.3069,0.134348,0.28338,0.552186,0.290048,0.999,0.272895,0.0602461
138,714.842,1,5.58383,19.216,7.39698,24.3225,0.132669,0.282356,0.538204,0.287516,0.998613,0.278002,0.0610557
139,708.499,1,5.56649,19.1648,7.39915,24.2491,0.12931,0.286454,0.539747,0.293637,0.998828,0.274575,0.0606627
140,708.263,1,5.57793,19.2462,7.42699,24.3068,0.127234,0.286205,0.561459,0.291943,0.998835,0.272058,0.0607664
141,701.238,1,5.58361,19.3032,7.61866,24.3647,0.126476,0.289217,0.588544,0.296085,0.998814,0.270611,0.0592278
142,701.415,1,5.56981,19.4142,7.20608,24.5405,0.130128,0.300675,0.586919,0.304601,0.999,0.266874,0.0600035
143,706.95,1,5.56222,19.527,7.2588,24.6793,0.13296,0.303418,0.597727,0.309106,0.999,0.267916,0.060052
144,702.301,1,5.58889,19.3849,7.23329,24.4307,0.129827,0.303562,0.582592,0.310471,0.999,0.270145,0.0602076
145,708.741,1,5.6073,19.3165,7.43906,24.2717,0.132794,0.303379,0.59667,0.310023,0.999,0.268823,0.0613753
146,708.445,1,5.5942,19.1789,7.71199,24.0957,0.133277,0.305315,0.581562,0.310928,0.998858,0.271211,0.0598213
147,710.48,1,5.61823,19.2087,7.601,24.1194,0.129903,0.304634,0.566837,0.310513,0.999,0.271414,0.0626211
148,708.949,1,5.57514,19.2207,7.54448,24.1486,0.129781,0.30611,0.552484,0.312544,0.999,0.272424,0.0610355
149,708.441,1,5.59033,19.1943,7.64588,24.1322,0.131892,0.304045,0.538495,0.310163,0.99894,0.269116,0.061037
150,712.5,1,5.59332,19.1812,7.82805,24.0359,0.128552,0.301393,0.569209,0.305539,0.998788,0.269026,0.0616341
151,713.522,1,5.62426,19.2361,7.89604,24.1468,0.131364,0.303711,0.585223,0.307545,0.998555,0.272966,0.0600735
152,708.554,1,5.59613,19.1207,7.93726,24.019,0.131231,0.302473,0.570405,0.309523,0.998639,0.26959,0.0594687
153,717.066,1,5.5804,19.1162,8.05252,23.9899,0.132369,0.303834,0.588497,0.314226,0.998954,0.273801,0.061674
154,715.646,1,5.59517,19.2049,7.40885,24.063,0.129017,0.301347,0.573596,0.312933,0.998926,0.276344,0.0614094
155,709.737,1,5.58951,19.0209,8.00457,23.8558,0.127615,0.306664,0.560553,0.321059,0.999,0.27561,0.0602086
156,709.04,1,5.59823,19.1482,8.08252,23.9795,0.129062,0.303951,0.55053,0.320065,0.999,0.269684,0.0615465
157,706.242,1,5.59864,19.1017,7.68856,23.9251,0.130204,0.296255,0.558561,0.311961,0.999,0.268339,0.0612066
158,710.88,1,5.5741,19.1348,7.62069,23.8779,0.131487,0.288753,0.550305,0.304062,0.998974,0.273516,0.061459
159,707.05,1,5.57047,19.1196,7.60372,23.8979,0.128157,0.289148,0.555265,0.300893,0.999,0.272016,0.0609262
160,705.937,1,5.59696,19.2455,7.65147,24.1218,0.129381,0.283279,0.560823,0.299222,0.998906,0.265129,0.0617008
161,707.562,1,5.6039,19.0625,7.80882,23.8125,0.135252,0.281865,0.558022,0.298704,0.998781,0.27577,0.0601385
162,708.794,1,5.61139,19.081,7.86896,23.8613,0.135266,0.277785,0.543892,0.295171,0.99893,0.268953,0.0619936
163,704.116,1,5.58894,19.0258,7.86933,23.7343,0.137317,0.284384,0.551749,0.300435,0.999,0.270421,0.0604239
164,697.945,1,5.59865,18.9838,7.99142,23.5286,0.13384,0.288422,0.544065,0.300597,0.999,0.26539,0.0601168
165,696.765,1,5.58307,19.1531,7.39954,23.7661,0.130451,0.288537,0.571204,0.305112,0.999,0.2676,0.0594095
166,706.013,1,5.57726,19.0973,7.34544,23.6336,0.129465,0.293875,0.562148,0.310692,0.999,0.276716,0.0597103
167,700.77,1,5.54954,19.0513,7.54497,23.5385,0.131337,0.295782,0.561075,0.311643,0.999,0.273131,0.0582063
168,705.289,1,5.57332,18.9088,7.84112,23.3039,0.128011,0.297832,0.556166,0.311678,0.999,0.270606,0.0600525
169,699.038,1,5.57182,19.1841,7.63945,23.676,0.128309,0.298843,0.542083,0.314153,0.999,0.273144,0.0588614
170,702.328,1,5.58441,19.1193,7.65178,23.6046,0.12556,0.29888,0.534807,0.315042,0.998904,0.273276,0.0584671
171,700.483,1,5.59756,19.0748,7.80336,23.538,0.125396,0.30043,0.547748,0.315249,0.998606,0.273835,0.0569867
172,697.54,1,5.59637,19.0407,7.95636,23.5491,0.129061,0.303806,0.533879,0.319846,0.998944,0.272396,0.0571401
173,703.657,1,5.59575,19.1321,7.8271,23.6517,0.127055,0.305209,0.541816,0.32213,0.998568,0.275416,0.0567486
174,698.654,1,5.58566,19.2529,7.66809,23.7919,0.12734,0.303316,0.529882,0.319613,0.998671,0.272428,0.0564967
175,702.432,1,5.61958,18.9866,7.86167,23.5018,0.126081,0.29764,0.539625,0.318021,0.998586,0.272839,0.0573859
176,700.211,1,5.60775,18.9594,8.14241,23.4217,0.129542,0.29753,0.536312,0.316973,0.998667,0.271719,0.0570724
177,704.453,1,5.59812,18.9637,8.26965,23.4542,0.128301,0.293473,0.550845,0.314223,0.998474,0.26963,0.0582522
178,701.2,1,5.61791,19.0136,8.2271,23.5888,0.130514,0.295642,0.549871,0.31345,0.998422,0.271851,0.0567772
179,697.424,1,5.61118,18.8598,8.6505,23.4538,0.129508,0.292981,0.550551,0.310385,0.998734,0.26982,0.0569549
180,707.444,1,5.59443,18.5507,8.2193,23.1138,0.129818,0.295908,0.536611,0.313748,0.998256,0.271032,0.0583812
181,702.965,1,5.57937,18.5106,8.2476,23.0367,0.129237,0.295103,0.582738,0.310435,0.998437,0.274217,0.0569029
182,702.868,1,5.56646,18.397,8.26511,22.9843,0.135516,0.296515,0.608681,0.310194,0.998977,0.267273,0.0589513
183,705.008,1,5.60191,18.503,8.67198,23.0803,0.137642,0.2978,0.593269,0.311441,0.998889,0.267008,0.0593575
184,707.283,1,5.61098,18.6049,8.54514,23.2108,0.137121,0.306226,0.578247,0.316789,0.998697,0.271561,0.0582052
185,702.538,1,5.59521,18.5935,8.42054,23.1862,0.13452,0.304754,0.563606,0.316616,0.998693,0.27177,0.0570401
186,702.647,1,5.59837,18.58,8.54382,23.18,0.13379,0.305221,0.561198,0.319813,0.998896,0.273519,0.0572598
187,704.848,1,5.58857,18.8939,8.12689,23.6312,0.133353,0.299448,0.547308,0.315364,0.998558,0.274091,0.0571918
188,704.747,1,5.60825,19.0404,8.35126,23.8479,0.135883,0.294036,0.544788,0.311139,0.998616,0.270964,0.0581385
189,701.91,1,5.60815,19.0116,8.14479,23.8118,0.137949,0.297563,0.532324,0.31663,0.998738,0.267387,0.0582748
190,701.704,1,5.61515,18.9456,8.4168,23.8184,0.136997,0.299392,0.551576,0.31931,0.998653,0.272798,0.0567993
191,698.348,1,5.61401,18.9893,8.33454,23.9115,0.134262,0.300927,0.544115,0.322072,0.998981,0.271929,0.0569481
192,695.881,1,5.58724,19.0334,7.81478,23.9456,0.130862,0.302479,0.558551,0.323915,0.999,0.275448,0.0557659
