iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b1,a2,b2
217,903.274,1,10.1407,42.3797,11.0797,57.4057,0.258698,0.278683,0.542495,0.6191,0.140401,0.0375082,0.00969729
218,892.582,1,10.192,41.8097,10.9942,55.5165,0.252147,0.277617,0.55653,0.603424,0.139655,0.0400377,0.0078286
219,891.362,1,10.1741,42.8016,10.5294,53.4655,0.252595,0.28666,0.542438,0.588145,0.140758,0.0334849,0.0102614
220,895.635,1,10.1223,42.6889,10.6544,55.7893,0.252361,0.279401,0.548082,0.575069,0.142368,0.0448132,0.00601735
221,900.783,1,10.1393,43.0038,10.2997,56.9408,0.249938,0.272327,0.554397,0.611662,0.143046,0.0247905,0.0140077
222,894.842,1,10.1749,42.6465,10.7156,59.8496,0.24851,0.265431,0.560563,0.596175,0.140666,0.033397,0.0106494
223,898.648,1,10.2324,42.9408,11.3006,58.2804,0.249222,0.286477,0.617227,0.581079,0.139753,0.0438804,0.00680137
224,902.207,1,10.195,42.0729,11.1793,56.4569,0.248971,0.279224,0.671889,0.566366,0.139265,0.045428,0.00684554
225,893.203,1,10.2266,42.966,11.6781,57.6139,0.253906,0.274548,0.654877,0.587945,0.138358,0.0336468,0.0101304
226,895.533,1,10.1872,41.7672,11.5456,61.0583,0.27104,0.267596,0.65678,0.573058,0.141747,0.0382994,0.00799748
227,898.927,1,10.2231,41.6721,11.3801,62.1139,0.267708,0.268313,0.681547,0.558548,0.142264,0.0411287,0.00748135
228,899.478,1,10.2176,41.6528,11.8482,62.4409,0.26358,0.261519,0.71942,0.544405,0.13966,0.0407226,0.00828457
229,897.846,1,10.164,42.2329,11.0384,61.1257,0.26126,0.25513,0.701204,0.530621,0.13857,0.0566928,0.00250513
230,898.087,1,10.222,43.0733,10.8087,61.8187,0.261757,0.263047,0.683449,0.521368,0.141372,0.0501775,0.00429003
231,895.154,1,10.1999,42.5671,11.0573,59.2335,0.255856,0.265903,0.666144,0.508166,0.139025,0.0515036,0.00408015
232,890.542,1,10.194,43.0105,10.5143,54.2251,0.260002,0.275926,0.649277,0.504605,0.139265,0.0416858,0.00704014
233,890.784,1,10.2018,42.0781,10.6616,52.7194,0.253419,0.26894,0.632836,0.491828,0.141038,0.042205,0.00711495
234,884.473,1,10.2514,41.6126,11.303,56.7849,0.26489,0.26213,0.673084,0.479612,0.140247,0.0392909,0.00714247
235,890.176,1,10.2413,41.5151,11.2128,56.694,0.261049,0.27601,0.678151,0.483345,0.138676,0.0454385,0.00555458
236,894.371,1,10.2377,41.6643,11.2694,56.9105,0.271202,0.273175,0.712687,0.471107,0.140646,0.0419036,0.00709677
237,889.948,1,10.1844,42.0225,11.2022,56.2358,0.277817,0.266258,0.694642,0.459502,0.141163,0.038983,0.00760108
238,885.649,1,10.1421,42.5234,10.6859,54.7376,0.283163,0.259516,0.686988,0.447867,0.141527,0.0445732,0.00508883
239,891.834,1,10.1195,42.02,10.7064,53.7289,0.276423,0.255274,0.707835,0.505039,0.141706,0.0475477,0.00418314
240,878.703,1,10.1387,42.2735,10.8181,53.5486,0.280288,0.249784,0.689912,0.492252,0.140133,0.0440453,0.0049674
241,886.465,1,10.2522,42.0705,11.1227,52.2233,0.273191,0.243459,0.672443,0.479787,0.142543,0.0471681,0.00448543
242,882.646,1,10.2194,42.1152,10.9779,53.1438,0.275053,0.258796,0.655417,0.467639,0.142102,0.0452822,0.0045958
243,878.998,1,10.2268,42.6716,10.7991,55.6059,0.268089,0.259895,0.700759,0.455798,0.140795,0.0439542,0.00483329
244,890.701,1,10.2582,42.5736,10.9962,53.2394,0.261301,0.253794,0.718008,0.444257,0.141078,0.0364043,0.00909945
245,887.456,1,10.2164,41.9629,11.2948,56.1604,0.25805,0.258433,0.699828,0.449027,0.140835,0.0383761,0.007883
246,889.336,1,10.2012,42.1455,11.1952,57.6352,0.259642,0.256842,0.682108,0.437657,0.140389,0.0409739,0.00763727
247,885.237,1,10.1626,41.2432,11.7368,56.1557,0.263341,0.25867,0.692456,0.426575,0.140641,0.0414793,0.00673686
248,887.928,1,10.2038,40.6302,11.7761,51.5094,0.268288,0.278076,0.691158,0.415774,0.141458,0.046592,0.00504718
249,892.888,1,10.2735,41.9091,10.5117,53.4222,0.264516,0.297319,0.673657,0.427057,0.143179,0.0455144,0.0053601
250,891.533,1,10.3013,42.4677,10.8835,51.9051,0.26445,0.300787,0.6566,0.416244,0.142423,0.0503097,0.00388357
251,896.456,1,10.2916,42.5163,11.5886,56.1323,0.266136,0.293171,0.666195,0.423866,0.141239,0.0513617,0.00387181
252,888.979,1,10.2022,41.6363,11.3275,55.2475,0.26646,0.285748,0.649326,0.446709,0.140235,0.0457751,0.00554538
253,887.649,1,10.3045,41.9432,11.2051,55.1602,0.263298,0.278512,0.632885,0.441443,0.140743,0.0390653,0.00810351
254,885.077,1,10.2669,42.0282,11.0724,57.163,0.263862,0.279208,0.649157,0.439369,0.141306,0.0442622,0.00533607
255,888.929,1,10.2702,42.5591,11.2813,57.4139,0.264444,0.2769,0.63272,0.483945,0.143093,0.0414172,0.00643796
256,888.793,1,10.2842,42.7666,11.072,57.8777,0.268918,0.297147,0.616699,0.471692,0.140818,0.0383874,0.00781674
257,894.722,1,10.2227,42.2337,10.9832,54.3676,0.271417,0.30411,0.628081,0.491257,0.141057,0.0392338,0.00773897
258,886.782,1,10.2072,42.4505,10.963,56.1683,0.26639,0.296409,0.634788,0.478818,0.138852,0.0577633,0.000616352
259,881.583,1,10.2466,42.4454,11.5161,54.7949,0.262969,0.288904,0.618715,0.471647,0.140317,0.0419971,0.00602833
260,887.675,1,10.2048,42.3244,11.1334,53.0885,0.270827,0.281589,0.621557,0.496202,0.140836,0.0418737,0.00646133
261,886.961,1,10.2237,41.9497,11.1009,54.7482,0.26397,0.274459,0.658595,0.535993,0.141389,0.0293385,0.0108731
262,893.512,1,10.2466,42.3018,11.2506,52.0977,0.269686,0.26751,0.643764,0.522421,0.141032,0.0340405,0.0101616
263,888.337,1,10.2861,41.984,11.4868,50.377,0.265936,0.260736,0.683127,0.509193,0.139794,0.040168,0.00787568
264,882.018,1,10.2559,41.9308,11.2778,49.4014,0.259203,0.254134,0.6786,0.4963,0.140863,0.030953,0.0105454
265,879.427,1,10.2339,41.7398,12.0696,48.2795,0.269698,0.247699,0.6667,0.483733,0.139746,0.0480062,0.00383334
266,880.068,1,10.2542,41.7574,11.7947,49.535,0.268116,0.241427,0.687107,0.471485,0.140126,0.0548356,0.00171885
267,885.466,1,10.2793,42.5349,11.1069,49.4923,0.269151,0.241738,0.674485,0.459547,0.140965,0.0392855,0.00773954
268,880.06,1,10.2286,42.1506,11.1426,50.6672,0.262336,0.238776,0.657406,0.447911,0.14012,0.041875,0.0068105
269,879.138,1,10.2839,42.7168,10.8231,51.6071,0.260215,0.234254,0.644134,0.436569,0.139609,0.0460498,0.00514868
270,880.372,1,10.2571,42.9057,10.6461,54.1751,0.264668,0.256868,0.627824,0.425515,0.138657,0.053572,0.00224344
271,884.505,1,10.3036,42.6071,11.0507,54.4149,0.26425,0.257991,0.624888,0.414741,0.140434,0.05751,0.00119022
272,884.013,1,10.2977,42.8292,10.7865,52.3304,0.265459,0.266622,0.627195,0.404239,0.138775,0.0565146,0.00155688
273,879.733,1,10.3025,42.7056,10.487,50.555,0.262071,0.259871,0.613204,0.394004,0.140166,0.0472431,0.00489152
274,897.032,1,10.3012,42.5834,10.851,48.064,0.257323,0.280412,0.619159,0.397779,0.13961,0.0483265,0.00607382
275,889.359,1,10.2905,41.5414,11.3027,49.7693,0.271133,0.280546,0.610951,0.426741,0.14038,0.0459102,0.00577013
276,886.694,1,10.3326,41.4719,12.2288,47.1629,0.270125,0.273442,0.646602,0.454164,0.140214,0.0543144,0.00201124
277,884.939,1,10.2138,40.6784,12.1894,48.4326,0.263573,0.266518,0.666866,0.463276,0.140794,0.0527389,0.0022657
278,886.569,1,10.2811,41.6248,11.6545,48.3612,0.256899,0.25977,0.649981,0.451546,0.138158,0.0573799,0.00181186
279,884.455,1,10.2796,41.7862,11.5922,48.3868,0.255207,0.253192,0.633523,0.440112,0.138121,0.0547142,0.0028547
280,873.468,1,10.295,41.7747,11.46,47.1302,0.261297,0.246781,0.627578,0.428968,0.139844,0.0519785,0.00271197
281,878.697,1,10.2995,41.8934,11.2526,49.734,0.254681,0.240533,0.611688,0.437283,0.139745,0.0466306,0.00478314
282,877.348,1,10.2526,41.9067,11.5862,53.0389,0.255442,0.234442,0.62102,0.459113,0.138863,0.0530177,0.002459
283,875.841,1,10.2355,43.0281,11.3282,54.6147,0.261619,0.234355,0.623181,0.491398,0.140939,0.0463804,0.00390457
284,871.51,1,10.2065,42.5031,11.4324,56.0147,0.268473,0.234984,0.640602,0.478955,0.140634,0.0417025,0.00521234
285,867.464,1,10.1567,41.6893,11.0479,53.0373,0.261675,0.260314,0.624382,0.511086,0.140612,0.0447435,0.00346754
286,876.685,1,10.2196,42.1796,10.9585,54.8924,0.259923,0.253723,0.608572,0.498145,0.142176,0.0421935,0.0054972
287,874.971,1,10.1994,42.5883,11.0759,52.7029,0.257679,0.247299,0.623688,0.485532,0.140395,0.0312893,0.00980845
288,881.781,1,10.2758,41.537,11.5155,52.1459,0.257911,0.254567,0.616724,0.504911,0.141936,0.0234946,0.0128159
289,878.489,1,10.2743,41.634,11.6717,51.0018,0.251381,0.254416,0.618769,0.499753,0.141014,0.0311266,0.00979885
290,891.019,1,10.2708,42.2821,11.198,51.7748,0.258624,0.249857,0.669527,0.547858,0.143224,0.0305339,0.0105744
291,890.073,1,10.2677,42.2048,11.2825,51.4621,0.260977,0.24992,0.652575,0.533986,0.1409,0.042587,0.00692914
292,887.425,1,10.259,42.051,11.1731,51.8548,0.257762,0.243592,0.646839,0.520465,0.140111,0.0359716,0.00947851
293,889.831,1,10.2396,41.7303,11.0318,53.1998,0.260473,0.237424,0.645921,0.507287,0.139284,0.0473362,0.00587919
294,882.294,1,10.2386,41.815,11.0405,56.2535,0.255663,0.253647,0.662748,0.494442,0.140678,0.0449694,0.00558523
295,890.754,1,10.1565,41.96,10.9393,54.7766,0.256816,0.257552,0.69559,0.481922,0.140645,0.0510315,0.00354451
296,887.948,1,10.1738,41.5452,10.8188,60.4662,0.254102,0.273368,0.677977,0.46972,0.139912,0.0426724,0.00645677
297,883.993,1,10.2005,42.3061,10.6377,61.0846,0.255031,0.266446,0.66081,0.457826,0.139906,0.048916,0.00445654
298,889.049,1,10.2104,41.7308,10.8116,61.6841,0.254465,0.259699,0.684303,0.446234,0.140501,0.0482677,0.00489334
299,886.801,1,10.1972,41.4523,10.9029,59.8755,0.2574,0.253124,0.669513,0.434935,0.140144,0.0547054,0.00259933
300,880.865,1,10.2065,41.919,10.9796,60.5665,0.263778,0.246714,0.652561,0.423922,0.140938,0.0450294,0.00530591
301,876.53,1,10.2174,43.0406,10.2071,60.5023,0.259157,0.240467,0.636038,0.433823,0.141371,0.041887,0.00638243
302,875.425,1,10.2424,42.6196,10.3262,59.6915,0.259289,0.234379,0.619933,0.422839,0.141712,0.0373941,0.00785946
303,879.262,1,10.1927,42.2825,10.0152,55.9726,0.263071,0.235445,0.604236,0.432295,0.141789,0.0271321,0.0121836
304,889.652,1,10.1768,43.2087,10.4781,57.237,0.25641,0.241984,0.613732,0.48346,0.140343,0.0402558,0.00791898
305,887.766,1,10.2443,42.4599,10.1944,52.6618,0.249917,0.238956,0.598192,0.471219,0.141117,0.0325381,0.0113527
306,887.464,1,10.2217,43.4954,10.1235,57.132,0.253206,0.232906,0.61236,0.459287,0.139625,0.034365,0.0109373
307,892.039,1,10.2042,43.5356,10.2591,58.6465,0.257664,0.227008,0.599261,0.447658,0.140116,0.036271,0.0109996
308,889.403,1,10.2537,43.3009,9.8416,55.1811,0.261675,0.228543,0.584088,0.436323,0.140347,0.043482,0.00824352
309,882.255,1,10.2816,43.2705,10.3265,52.5963,0.255049,0.223172,0.569298,0.425275,0.141492,0.0421749,0.00765229
310,878.35,1,10.3136,43.5024,10.0969,53.7528,0.250035,0.226673,0.554883,0.414507,0.141827,0.0336833,0.0103617
311,876.323,1,10.2931,43.0484,10.4816,55.5605,0.252789,0.232975,0.620723,0.404011,0.140459,0.037189,0.00841534
312,877.975,1,10.2337,42.2952,10.524,55.2581,0.267753,0.251118,0.64478,0.393781,0.140817,0.0371054,0.00811665
313,875.532,1,10.3467,42.1489,11.0199,53.2302,0.260974,0.244759,0.663441,0.383811,0.140728,0.0331493,0.00998701
314,876.069,1,10.2924,41.9392,10.983,53.5109,0.26407,0.246992,0.689498,0.374092,0.141135,0.0436664,0.00532967
315,871.269,1,10.317,41.5862,11.3708,51.1164,0.262439,0.240738,0.718226,0.36462,0.139551,0.0520426,0.00221304
316,887.333,1,10.3359,41.7633,11.3212,54.0665,0.260842,0.242808,0.708206,0.377447,0.143049,0.0454526,0.00561987
317,881.108,1,10.2503,41.4998,11.5294,50.4423,0.255651,0.23666,0.756515,0.378497,0.142412,0.0485695,0.00385345
318,881.681,1,10.2173,41.0856,11.0936,51.1145,0.260552,0.230668,0.737359,0.368913,0.141283,0.0492343,0.00412166
319,881.072,1,10.2154,41.5507,10.7316,52.5275,0.264551,0.22821,0.750464,0.369716,0.141714,0.0458183,0.00491602
320,877.759,1,10.1895,41.7794,10.7936,54.6833,0.270085,0.234144,0.731462,0.364535,0.141339,0.0442413,0.00522502
321,876.041,1,10.2778,41.3852,11.3746,54.7536,0.265616,0.232781,0.750297,0.355305,0.140137,0.0514346,0.00267731
322,872.142,1,10.3116,41.1536,11.7999,54.9613,0.267094,0.226887,0.731299,0.346308,0.139986,0.0556584,0.00126454
323,873.751,1,10.3269,41.8794,11.5714,56.7738,0.272244,0.221142,0.750096,0.33754,0.138378,0.0600952,2.22045e-16
324,876.656,1,10.2592,40.9977,11.361,57.6008,0.275769,0.220565,0.773888,0.328993,0.141406,0.0585516,0.000561991
325,881.687,1,10.2892,40.4667,12.2617,55.3079,0.270298,0.236097,0.859846,0.320663,0.140393,0.0612646,2.22045e-16
326,872.434,1,10.3374,40.5052,12.0317,52.3855,0.268551,0.231004,0.838074,0.312543,0.139341,0.0589047,2.22045e-16
327,876.38,1,10.3275,40.7378,12.0725,55.7165,0.264571,0.225155,0.816854,0.304629,0.141062,0.0608429,2.22045e-16
328,877.883,1,10.29,41.2191,12.1441,54.9932,0.265244,0.234989,0.796171,0.296916,0.141244,0.0600778,2.22045e-16
329,872.538,1,10.2648,40.5348,11.22,51.7159,0.262453,0.249843,0.776011,0.289398,0.141032,0.0593474,2.22045e-16
330,873.414,1,10.2209,41.1231,11.5804,52.425,0.258852,0.243516,0.756362,0.283124,0.140451,0.0573756,0.000732701
331,874.051,1,10.3153,40.3616,12.1155,52.7594,0.258935,0.244098,0.76345,0.294613,0.140586,0.0421473,0.00621334
332,870.965,1,10.3119,41.159,12.1638,51.2531,0.265286,0.237918,0.747378,0.287153,0.140357,0.05625,0.000900737
333,879.921,1,10.2592,40.4486,12.1022,53.269,0.269579,0.25539,0.728454,0.295005,0.141651,0.0549917,0.00193282
334,878.879,1,10.2522,40.8387,11.6291,55.8697,0.266579,0.259465,0.710009,0.306646,0.142245,0.050471,0.00320661
335,881.824,1,10.2343,41.0074,11.2873,56.2556,0.271852,0.276275,0.729117,0.311109,0.141526,0.0443655,0.00551971
336,873.828,1,10.2516,42.0602,11.1418,55.4844,0.269929,0.269279,0.717119,0.303231,0.141043,0.0417645,0.00625465
337,873.498,1,10.3488,42.5272,11.1432,56.219,0.26623,0.262461,0.703403,0.295553,0.141229,0.0483137,0.00423248
338,872.094,1,10.3262,42.1991,11.009,54.934,0.265742,0.255815,0.696799,0.28807,0.142352,0.0579942,0.000152374
339,875.302,1,10.2899,41.6652,11.021,53.6546,0.266531,0.249338,0.73379,0.280776,0.140894,0.0512233,0.00331047
340,873.263,1,10.2709,41.7867,11.3311,51.5777,0.261033,0.243024,0.71521,0.273666,0.138678,0.0600918,0.000429708
341,870.761,1,10.2689,41.4905,11.0238,53.6052,0.25769,0.248425,0.697101,0.266737,0.138982,0.0547962,0.00234775
342,861.686,1,10.2176,42.5179,10.9784,54.0092,0.271654,0.260903,0.67945,0.259983,0.141471,0.0520564,0.00223036
343,870.726,1,10.272,42.3124,10.741,53.6668,0.264775,0.254297,0.662246,0.283653,0.141413,0.058445,0.000222977
344,875.676,1,10.2965,42.1309,10.8259,52.9544,0.258885,0.25508,0.645477,0.276471,0.141979,0.0567143,0.00151155
345,878.901,1,10.2597,41.3472,11.6554,53.6242,0.267709,0.248621,0.662458,0.26947,0.140602,0.0522299,0.00382988
346,877.093,1,10.2806,41.6828,11.2507,54.2142,0.265107,0.254419,0.687402,0.262647,0.140895,0.0606535,0.000431594
347,879.07,1,10.2898,41.2112,11.7848,51.4679,0.263659,0.25856,0.702616,0.265842,0.138569,0.0620856,2.22045e-16
348,868.191,1,10.3124,41.9253,11.643,51.2483,0.262501,0.252013,0.684825,0.259111,0.139737,0.061373,2.22045e-16
349,865.669,1,10.348,42.5088,11.416,50.8504,0.266456,0.245632,0.667485,0.25255,0.140178,0.0592801,0.000649928
350,867.206,1,10.3296,42.0655,11.6718,51.9113,0.263186,0.239412,0.655552,0.246156,0.139369,0.0609908,2.22045e-16
351,865.848,1,10.3061,42.5019,11.2155,50.9097,0.267914,0.23335,0.638953,0.239923,0.140665,0.0582205,0.00121659
352,872.223,1,10.2544,41.7985,10.9498,51.997,0.270536,0.227442,0.725887,0.233848,0.140598,0.0574411,0.00170093
353,873.849,1,10.2678,41.9483,10.8433,53.1054,0.263685,0.232695,0.707507,0.227927,0.139607,0.062815,2.22045e-16
354,867.24,1,10.2824,41.8382,11.0986,52.9989,0.259785,0.226803,0.698667,0.222155,0.14067,0.0483141,0.00476867
355,869.953,1,10.3394,41.3905,11.2353,52.1494,0.262765,0.22106,0.773523,0.21653,0.140462,0.0630148,2.22045e-16
356,873.925,1,10.2933,41.1768,11.3881,53.9338,0.266161,0.219441,0.809971,0.211048,0.140604,0.0628189,2.22045e-16
357,863.787,1,10.3344,41.8924,11.2564,53.1398,0.263296,0.219384,0.789463,0.205704,0.140253,0.0546906,0.00229474
358,876.327,1,10.3282,41.7075,11.5552,52.1437,0.264869,0.214341,0.769473,0.20163,0.139626,0.0564082,0.00299765
359,872.858,1,10.3121,41.052,12.1481,51.5197,0.260731,0.22089,0.805473,0.196525,0.140887,0.0629128,2.22045e-16
360,878.784,1,10.3057,40.7044,12.2152,51.2153,0.27065,0.219045,0.785078,0.205385,0.139717,0.0503793,0.00521596
361,871.72,1,10.3041,41.2994,11.9085,51.8685,0.270089,0.224796,0.775986,0.219018,0.141562,0.0478604,0.00495517
362,880.206,1,10.3387,41.2203,12.0949,52.7926,0.266622,0.219105,0.756337,0.214981,0.143855,0.0480904,0.00569273
363,870.894,1,10.3056,41.1752,11.8485,51.747,0.26809,0.2323,0.737187,0.209538,0.141129,0.0518794,0.00356796
364,866.493,1,10.3403,41.4347,11.1776,49.5177,0.261302,0.244216,0.718521,0.230851,0.140069,0.0561069,0.00141969
365,872.951,1,10.3695,42.1446,11.3841,51.6804,0.257997,0.24683,0.700327,0.225006,0.139364,0.0628222,2.22045e-16
366,873.871,1,10.3222,42.3105,11.2382,50.1617,0.261286,0.24058,0.682594,0.228736,0.141514,0.0619345,2.22045e-16
367,875.975,1,10.3408,41.3786,12.0451,48.7649,0.258651,0.23872,0.70693,0.222944,0.138859,0.0599599,0.00141517
368,882.046,1,10.3029,40.618,12.0932,47.2905,0.252626,0.261231,0.702742,0.223721,0.140246,0.056501,0.0028669
369,877.281,1,10.2979,40.4548,12.1248,45.4098,0.250534,0.270508,0.685864,0.267562,0.139052,0.0578545,0.00138152
370,876.774,1,10.33,40.6528,12.3853,44.7198,0.252513,0.269725,0.668497,0.260788,0.139927,0.0621454,0.000108898
371,881.133,1,10.2786,40.7104,12.3096,45.1059,0.257266,0.262895,0.66462,0.254184,0.140073,0.0635425,1.66933e-05
372,872.216,1,10.2955,41.5437,11.6713,47.2003,0.260723,0.256238,0.685406,0.247748,0.138634,0.0620133,0.00014476
373,870.566,1,10.3305,41.8262,11.5042,46.3778,0.25777,0.24975,0.680721,0.241475,0.139258,0.0489409,0.00501218
374,878.651,1,10.3174,40.7383,12.0996,45.8857,0.255988,0.2568,0.699782,0.235361,0.140292,0.0634886,2.22045e-16
375,875.437,1,10.3417,41.4807,11.7137,46.5106,0.25644,0.272411,0.682063,0.231336,0.138507,0.0585339,0.00183622
376,873.723,1,10.3564,41.19,12.0458,46.6127,0.255746,0.265513,0.664793,0.225479,0.138954,0.0637998,3.04735e-05
377,873.439,1,10.3255,41.157,12.1803,47.6893,0.257129,0.25879,0.64796,0.21977,0.138604,0.059881,0.00151755
378,874.236,1,10.3329,41.4055,12.2877,44.8731,0.255306,0.252238,0.653602,0.228263,0.137513,0.0639001,2.22045e-16
379,867.153,1,10.3009,40.9579,12.3603,46.0805,0.262538,0.245851,0.662425,0.232016,0.139423,0.0609412,2.22045e-16
380,870.106,1,10.2783,41.1375,12.1837,45.9281,0.255891,0.239626,0.65432,0.226141,0.139191,0.0625046,0.000313946
381,873.188,1,10.3422,40.6021,12.2162,47.6539,0.250441,0.233558,0.688186,0.252589,0.139687,0.0620499,2.22045e-16
382,875.156,1,10.292,40.0227,12.4415,48.1147,0.251745,0.227645,0.717183,0.265328,0.140367,0.0586985,0.00107215
383,877.871,1,10.3618,40.555,12.3935,47.2636,0.258398,0.244663,0.716073,0.276296,0.140244,0.061284,2.22045e-16
384,872.388,1,10.3514,40.6664,12.8248,46.241,0.259517,0.238468,0.713731,0.269301,0.140483,0.0601594,2.22045e-16
385,874.701,1,10.3476,41.4267,12.8365,46.2642,0.259827,0.254677,0.695659,0.262482,0.14116,0.0603138,2.22045e-16
386,865.251,1,10.3646,40.9493,12.4755,47.0235,0.259754,0.256978,0.678044,0.26648,0.140561,0.0576401,2.22045e-16
387,877.324,1,10.2759,40.3211,12.5496,48.8747,0.262128,0.250471,0.670397,0.305792,0.141141,0.0602763,2.22045e-16
388,872.863,1,10.2823,40.967,11.6461,48.3064,0.260527,0.244129,0.653422,0.298049,0.141413,0.060514,2.22045e-16
389,868.419,1,10.267,40.6962,11.7263,49.4008,0.266195,0.244508,0.636877,0.290502,0.140092,0.0543234,0.00180943
390,866.668,1,10.2875,41.2741,11.8747,48.4919,0.262863,0.261571,0.620751,0.283146,0.14049,0.0536757,0.00191095
391,860.978,1,10.3016,41.8621,11.4631,48.7096,0.264652,0.254948,0.650508,0.275977,0.140241,0.0567109,0.000222068
392,868.508,1,10.2813,41.3413,11.148,49.5295,0.257951,0.248492,0.63941,0.285193,0.141496,0.0566219,0.000770521
393,870.443,1,10.301,41.2761,11.5645,49.4143,0.26424,0.242201,0.655423,0.277972,0.142352,0.0569678,0.000947662
394,881.87,1,10.2951,41.3397,11.4504,47.5227,0.257903,0.263974,0.638827,0.270933,0.141376,0.0585778,0.00181108
395,877.693,1,10.2453,40.8061,12.0358,47.9298,0.257859,0.25729,0.64012,0.270462,0.140359,0.050779,0.00418631
396,873.807,1,10.2636,40.6564,11.6446,44.8606,0.263119,0.259006,0.67049,0.266872,0.140473,0.0585367,0.000540677
397,869.435,1,10.2598,40.925,12.0915,46.8044,0.271458,0.265887,0.678063,0.270433,0.139147,0.0584367,2.22045e-16
398,879.393,1,10.2708,41.2876,11.32,47.7951,0.268877,0.273809,0.660894,0.303329,0.140371,0.0572275,0.00109868
399,877.333,1,10.3342,41.2301,12.2947,49.0424,0.26527,0.266876,0.667363,0.295648,0.138736,0.0616616,2.22045e-16
400,871.543,1,10.3211,41.1808,11.7081,47.929,0.264637,0.264454,0.654682,0.288162,0.140517,0.0504762,0.00346128
401,872.182,1,10.3954,41.5805,11.4614,46.8708,0.257937,0.262401,0.653564,0.280866,0.141085,0.041346,0.00704208
402,876.334,1,10.3896,40.9102,12.3926,48.4664,0.262429,0.255757,0.643688,0.278563,0.141841,0.0451125,0.0059107
403,874.901,1,10.3703,40.1125,13.1171,50.4197,0.269542,0.256207,0.686463,0.271509,0.141019,0.0536851,0.00254424
404,875.49,1,10.395,40.3325,13.2162,50.2664,0.264167,0.266356,0.669082,0.264635,0.139118,0.051892,0.00365499
405,878.668,1,10.3625,40.1864,12.9039,50.1091,0.265565,0.285577,0.657301,0.265458,0.140341,0.04444,0.00617641
406,878.781,1,10.2987,40,12.6362,50.8056,0.268904,0.281177,0.670607,0.267714,0.140921,0.0476255,0.00478571
407,879.06,1,10.3138,40.2584,13.3221,49.2249,0.263123,0.274057,0.677358,0.260936,0.140175,0.054688,0.00294176
408,884.347,1,10.3205,40.2951,12.5818,49.6183,0.266081,0.267118,0.68804,0.291759,0.139084,0.0599631,0.00112131
409,882.837,1,10.3271,39.4147,13.0782,47.9676,0.265107,0.286227,0.680322,0.294573,0.14183,0.044561,0.00590156
410,880.906,1,10.3682,39.5094,13.256,47.7769,0.260181,0.299417,0.668327,0.287115,0.140228,0.0392223,0.00826693
411,883.15,1,10.3548,39.1898,13.4699,48.5786,0.261442,0.307092,0.696521,0.279845,0.140021,0.0555768,0.00204401
412,878.254,1,10.3211,39.8088,13.0662,48.4809,0.266149,0.312696,0.708918,0.30821,0.140803,0.052798,0.00194181
413,874.22,1,10.2774,39.9782,12.7244,49.8191,0.270268,0.310143,0.690968,0.333672,0.14185,0.0487511,0.00265494
414,872.41,1,10.3192,40.3458,12.3502,49.1939,0.269364,0.312824,0.673472,0.325223,0.141712,0.0489207,0.00274352
415,875.734,1,10.3282,40.037,13.1029,49.7201,0.267759,0.317686,0.667587,0.329487,0.141621,0.0565095,2.22045e-16
416,878.836,1,10.331,38.8499,13.7165,47.4189,0.26181,0.3149,0.675567,0.321145,0.140659,0.05838,2.22045e-16
417,880.215,1,10.3194,38.8779,13.8488,45.766,0.264533,0.307925,0.690336,0.313013,0.140406,0.0593754,2.22045e-16
418,877.24,1,10.3452,40.0235,13.7746,45.5992,0.273542,0.300129,0.672856,0.305087,0.139791,0.0531986,0.00246514
419,878.131,1,10.3413,40.0812,13.6128,45.1362,0.268874,0.292529,0.685656,0.329436,0.138712,0.0592499,2.22045e-16
420,882.221,1,10.2739,39.6728,13.5858,43.9878,0.268637,0.285122,0.668492,0.36953,0.140788,0.0590806,2.22045e-16
421,881.034,1,10.3006,40.4662,13.2427,44.8815,0.273484,0.277903,0.689339,0.382257,0.140275,0.0573784,0.000391706
422,878.632,1,10.3026,39.8418,12.911,45.6667,0.266559,0.270866,0.715957,0.432526,0.140166,0.0570881,2.22045e-16
423,886.654,1,10.31,39.002,13.5686,50.376,0.268509,0.267185,0.720485,0.421574,0.141534,0.0587608,2.22045e-16
424,883.144,1,10.2757,39.4979,13.5651,52.2906,0.262945,0.26042,0.719744,0.4109,0.139985,0.0534487,0.00215582
425,885.239,2,10.3036,39.9955,13.4588,51.7245,0.258288,0.270149,0.718837,0.400496,0.141022,0.0593283,2.22045e-16
426,882.711,2,10.3502,39.8852,13.3386,50.5132,0.26265,0.266996,0.700636,0.390355,0.141926,0.0536002,0.00223002
427,878.319,2,10.3054,39.959,13.0827,48.746,0.262026,0.232831,0.737737,0.340258,0.140888,0.0506083,0.00323196
428,878.799,2,10.2984,40.0625,13.1467,48.1355,0.257591,0.240397,0.720297,0.322259,0.1397,0.0508765,0.00354411
429,881.693,2,10.2851,39.1148,13.2999,49.9811,0.258445,0.227077,0.759901,0.332554,0.13883,0.0540555,0.00272439
430,882.721,2,10.3012,39.9122,12.9793,47.8025,0.262877,0.213806,0.805803,0.348536,0.14002,0.0547165,0.00224678
