iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
110,949.099,1,9.23342,9.46481,47.9119,139.029,0.265708,0.122128,0.0650409,0.205044,0.384528,0.169322,0.960802
111,937.552,1,9.23963,9.45958,47.9407,127.861,0.271872,0.112019,0.201582,0.204386,0.366755,0.176951,1.00797
112,926.617,1,9.17878,8.93593,47.873,133.439,0.275198,0.106616,0.372417,0.223554,0.309024,0.18672,0.955827
113,922.55,1,9.10611,8.52562,47.6649,129.592,0.289492,0.0958412,0.443201,0.231071,0.364821,0.201656,0.952706
114,912.682,1,9.06487,8.58057,46.9351,141.07,0.294452,0.0889762,0.526845,0.235765,0.342222,0.246815,0.893403
115,902.599,1,9.02568,8.84548,46.2526,151.902,0.29607,0.0855047,0.618311,0.242744,0.322147,0.246001,0.882836
116,889.518,1,8.99583,8.93677,46.3335,146.693,0.294243,0.0801157,0.597903,0.239597,0.325005,0.237527,0.920018
117,891.028,1,8.96521,9.17384,46.9285,165.201,0.300138,0.0778465,0.598415,0.235974,0.345792,0.260875,0.897178
118,888.133,1,8.99061,9.25377,47.0681,161.403,0.296405,0.0766108,0.607258,0.229341,0.399227,0.263783,0.874396
119,884.687,1,9.01963,9.13083,47.6814,159.75,0.30182,0.0745092,0.533084,0.229132,0.375809,0.254221,0.856156
120,877.947,1,8.96037,9.05993,46.5118,155.727,0.303662,0.0711569,0.537973,0.227889,0.378543,0.252352,0.893313
121,871,1,9.02804,9.41496,46.1452,157.058,0.299028,0.0707365,0.569287,0.218168,0.375896,0.255688,0.858694
122,868.334,1,9.07413,9.39175,45.7246,152.356,0.303871,0.0683919,0.593923,0.229446,0.363641,0.25938,0.872359
123,871.741,1,9.13197,9.14553,46.2973,148.877,0.303624,0.0700464,0.638524,0.226569,0.359294,0.274651,0.850966
124,864.753,1,9.26698,9.21213,45.694,138.722,0.298591,0.0687405,0.610254,0.22248,0.362472,0.268618,0.848227
125,871.868,1,9.22844,8.97904,45.2677,139.628,0.303317,0.0684599,0.613272,0.227477,0.382395,0.299957,0.840913
126,864.066,1,9.2993,8.84311,45.3694,141.619,0.303331,0.0666682,0.58596,0.228154,0.408776,0.273325,0.761351
127,869.224,1,9.3241,9.08874,45.8083,137.217,0.300695,0.070108,0.610468,0.232982,0.356205,0.272979,0.792355
128,868.131,1,9.3124,9.22692,45.8605,137.267,0.302097,0.0684536,0.565861,0.236697,0.378504,0.26781,0.7886
129,868.794,1,9.35882,9.16673,45.7167,141.149,0.300352,0.0695187,0.58959,0.232945,0.376752,0.275386,0.765938
130,871.199,1,9.30955,9.098,45.9842,143.43,0.299998,0.070118,0.518289,0.235693,0.402053,0.260756,0.732822
131,865.696,1,9.25093,9.26415,46.0029,144.635,0.301547,0.0667674,0.499287,0.236972,0.432269,0.263991,0.733314
132,870.059,1,9.2308,9.13413,45.3373,141.493,0.305857,0.0671076,0.48098,0.240875,0.420919,0.258394,0.765941
133,870.366,1,9.24956,9.26398,46.2547,137.962,0.306046,0.0661412,0.50039,0.239192,0.447375,0.262688,0.803874
