iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
113,856.173,1,9.92881,11.201,46.9614,61.0973,0.0998327,0.176695,0.955611,0.25722,0.418733,0.188743,1.27678,0.253877
114,847.318,1,9.82331,10.7425,47.7961,60.8632,0.0998741,0.16786,0.956232,0.250707,0.408131,0.193915,1.29206,0.256304
115,843.208,1,9.75762,10.3908,46.5774,65.5099,0.0996799,0.167583,0.936659,0.244359,0.397797,0.191245,1.35024,0.266663
116,847.512,1,9.69032,10.4377,47.4551,64.9671,0.100147,0.166834,0.931811,0.239333,0.427122,0.186402,1.32051,0.270492
117,848.47,1,9.67566,10.5037,47.3577,66.3511,0.100734,0.168044,0.938989,0.247354,0.416307,0.181682,1.37838,0.27016
118,847.86,1,9.64254,10.7697,48.392,71.3517,0.0999553,0.168776,0.937043,0.259793,0.40834,0.184787,1.34348,0.26332
119,851.467,1,9.60725,11.3369,48.3092,76.816,0.100234,0.170283,0.941297,0.253215,0.424829,0.198239,1.30946,0.256652
120,850.609,1,9.5967,11.1836,48.1226,74.6362,0.101692,0.172853,0.938745,0.250632,0.414072,0.193219,1.27631,0.250154
121,851.756,1,9.6051,10.9806,47.4972,74.6097,0.100059,0.171887,0.939983,0.261309,0.425386,0.206155,1.24399,0.24382
122,848.287,1,9.66747,10.9003,47.6562,81.1494,0.0966506,0.176627,0.952499,0.254692,0.417341,0.200935,1.21249,0.263873
123,843.99,1,9.74105,10.7331,46.9652,80.3037,0.0968691,0.17691,0.950007,0.248243,0.455852,0.195847,1.18179,0.257192
124,840.089,1,9.73025,11.1964,46.4644,80.516,0.0957673,0.174566,0.949241,0.244143,0.44431,0.190888,1.15187,0.260657
125,840.047,1,9.73319,10.7767,46.4045,81.2012,0.0977048,0.175535,0.953292,0.241837,0.43306,0.186055,1.1227,0.254057
126,842.17,1,9.58309,10.7096,47.3635,77.594,0.0992655,0.169062,0.95209,0.264009,0.422094,0.181344,1.14102,0.260129
127,851.095,1,9.57,10.2833,48.7274,80.3815,0.107767,0.162596,0.948142,0.257324,0.440856,0.176752,1.17363,0.253542
128,851.343,1,9.54461,10.2964,48.6498,79.865,0.105821,0.164662,0.940661,0.262208,0.452866,0.180634,1.19818,0.247123
129,849.219,1,9.51058,10.3124,48.0718,93.0996,0.104363,0.162481,0.954707,0.275924,0.441399,0.202505,1.16785,0.240865
130,854.996,1,9.4655,9.90127,48.7396,95.5329,0.104752,0.167228,0.935805,0.268937,0.430223,0.203062,1.13828,0.247609
131,849.187,1,9.52664,9.81242,49.368,88.8408,0.103073,0.168718,0.941428,0.265055,0.419329,0.19792,1.14408,0.246383
132,843.809,1,9.49643,9.78772,48.2718,92.3897,0.10282,0.165503,0.955562,0.259552,0.408712,0.192909,1.15216,0.243914
133,842.529,1,9.51298,9.43219,48.9728,86.1768,0.10009,0.169636,0.947276,0.261399,0.398363,0.188024,1.15374,0.258381
134,846.882,1,9.61869,9.97389,48.7624,79.5055,0.099742,0.175571,0.936706,0.264601,0.388276,0.207719,1.15944,0.251838
135,848.536,1,9.6359,10.0008,49.4074,88.2726,0.100981,0.174332,0.955469,0.261402,0.391251,0.20246,1.13008,0.245462
136,852.102,1,9.56348,9.88271,49.4783,95.322,0.0991519,0.173431,0.953912,0.275363,0.381344,0.219972,1.10147,0.254862
137,838.987,1,9.59383,9.95562,48.5335,91.1029,0.0969171,0.169554,0.954596,0.268391,0.371689,0.214402,1.07358,0.268825
