iteration,convergenceIndicator,phase,Cl_pop,Q2_pop,Q3_pop,V1_pop,V2_pop,V3_pop,a1,a2,f_pop,omega_Cl,omega_Q2,omega_Q3,omega_V1,omega_V2,omega_V3,omega_f
638,380.554,1,10.0547,15.7057,3.65099,42.6036,32.0554,1.74818,1.99803,2.5717,0.90577,0.262197,0.000564641,0.000344304,0.187314,0.872202,0.0011205,0.210958
639,367.041,1,10.0901,15.7049,3.65081,43.9239,38.1924,1.74837,1.92326,2.55637,0.907952,0.263942,0.000517696,0.000321324,0.213679,0.811786,0.00100221,0.215304
640,375.848,1,10.121,15.7052,3.65102,43.8916,40.1641,1.74842,1.9911,2.49346,0.920703,0.269993,0.000531572,0.000316635,0.225248,0.890911,0.000961243,0.223886
641,373.223,1,10.1082,15.7056,3.65107,44.7126,38.383,1.74852,2.07147,2.54977,0.911345,0.270467,0.000475452,0.000293201,0.21661,0.825119,0.000859762,0.208563
642,361.175,1,10.1421,15.7064,3.65113,44.5435,36.639,1.74848,2.04949,2.46648,0.912723,0.275099,0.000425258,0.00028308,0.215011,0.873846,0.000782918,0.216203
643,349.946,1,10.0433,15.7066,3.6511,44.3436,35.0613,1.74859,2.01377,2.39851,0.917462,0.266206,0.000398104,0.000281761,0.218479,0.89607,0.000732574,0.219418
644,359.222,1,10.0433,15.7081,3.65117,44.7903,35.0964,1.74865,2.04423,2.39724,0.906464,0.263041,0.000432275,0.000311523,0.224581,0.930331,0.000728167,0.219897
645,360.472,1,10.0927,15.7077,3.65118,44.4335,39.0205,1.74874,2.04246,2.4772,0.917152,0.260776,0.000386638,0.00030648,0.237027,0.940518,0.000669079,0.221044
646,351.842,1,10.0637,15.7066,3.6511,44.4255,38.9878,1.74884,2.04519,2.44941,0.914461,0.257358,0.00035044,0.000290057,0.230336,0.959929,0.000640121,0.211468
647,349.12,1,10.0294,15.706,3.65121,45.1174,41.623,1.74861,2.07283,2.44037,0.916361,0.263572,0.000324501,0.000276196,0.216021,0.967358,0.000622913,0.216127
648,344.15,1,9.99478,15.7061,3.65112,45.0495,38.7564,1.74859,2.07335,2.41403,0.91836,0.259439,0.000342397,0.000247037,0.213328,1.04972,0.00059385,0.215376
649,332.317,1,10.0104,15.7058,3.65108,44.8107,37.155,1.74871,2.0681,2.35428,0.917876,0.26252,0.000338931,0.000222717,0.199055,0.952779,0.000571456,0.220656
650,338.559,1,10.012,15.7051,3.65114,44.3972,37.8236,1.74879,2.08656,2.38135,0.915723,0.25381,0.000358585,0.000215947,0.212302,0.933721,0.000613554,0.215539
651,343.913,1,10.1357,15.7055,3.651,45.1098,34.8863,1.749,2.12604,2.38766,0.915997,0.261503,0.000320728,0.00023095,0.199577,0.935407,0.000691697,0.22156
652,343.389,1,10.1779,15.7064,3.65093,44.7212,34.2761,1.74917,2.01583,2.48584,0.929849,0.268791,0.000311164,0.000242188,0.217994,0.89936,0.000692818,0.209977
653,343.14,1,10.175,15.7053,3.65089,44.334,32.7538,1.74961,1.96992,2.53662,0.922977,0.27089,0.000281052,0.000230605,0.244035,0.901607,0.000705967,0.214063
654,323.18,1,10.1788,15.7042,3.65098,44.2414,34.5094,1.74994,1.96148,2.45909,0.922035,0.267785,0.000251381,0.00020626,0.244966,0.852259,0.000640067,0.213949
655,328.851,1,10.2692,15.7038,3.65093,43.2221,36.7907,1.75025,1.93643,2.48877,0.919456,0.27459,0.000264441,0.000215904,0.230691,0.869385,0.000625395,0.228422
656,328.056,1,10.2466,15.7042,3.65088,43.6339,35.031,1.75028,2.0076,2.48934,0.910029,0.272942,0.000239674,0.000207272,0.235308,0.778471,0.000588617,0.232785
657,321.653,1,10.1939,15.7049,3.65093,43.2734,34.2368,1.75018,2.01318,2.53083,0.901186,0.261837,0.000239602,0.000205621,0.238121,0.710279,0.000526475,0.22439
658,317.158,1,10.2305,15.7053,3.65102,43.0978,37.4246,1.75013,1.92489,2.54673,0.912006,0.257273,0.00025172,0.000183913,0.251354,0.766846,0.000530868,0.218188
659,325.946,1,10.1844,15.7049,3.65111,43.0523,38.4869,1.75,1.94545,2.63588,0.914035,0.253231,0.000310814,0.000173291,0.234733,0.818309,0.000502459,0.20096
660,321.183,1,10.1764,15.7037,3.6511,43.1252,38.4012,1.75001,1.99219,2.54018,0.915028,0.261913,0.000278001,0.000168521,0.23456,0.850798,0.00050145,0.202277
661,313.492,1,10.0987,15.7034,3.65107,43.7632,37.2351,1.75019,2.03916,2.42925,0.909508,0.255723,0.000261544,0.000158654,0.226956,0.864312,0.000532594,0.193887
662,309.77,1,10.0702,15.704,3.65105,43.9542,36.2197,1.75023,2.0628,2.35833,0.914479,0.25368,0.000253729,0.000154153,0.235965,0.826184,0.000537694,0.204848
663,322.905,1,10.152,15.7035,3.65106,44.0454,37.5794,1.75017,2.10147,2.41361,0.91436,0.252424,0.000262901,0.000177598,0.22778,0.829353,0.000517256,0.222131
664,315.427,1,10.1407,15.7037,3.65097,44.6119,36.53,1.75014,2.11547,2.36659,0.924151,0.25281,0.000265063,0.000158848,0.235424,0.79707,0.00048753,0.223451
665,308.699,1,10.2137,15.7042,3.651,44.12,38.1937,1.75,2.0669,2.43327,0.922413,0.256213,0.00023708,0.000156679,0.245881,0.802372,0.00043606,0.228482
666,315.86,1,10.1662,15.7051,3.65103,44.1677,35.3568,1.74994,2.0821,2.46442,0.91678,0.254595,0.000226556,0.000172226,0.225092,0.771078,0.000472073,0.225734
667,303.364,1,10.1866,15.7052,3.65102,43.6856,34.2177,1.74998,2.00906,2.45661,0.905386,0.256921,0.000212622,0.000173065,0.22494,0.716268,0.00044294,0.227543
668,297.457,1,10.2297,15.7054,3.65098,42.4143,36.1247,1.74992,1.92832,2.56009,0.923305,0.252664,0.000196061,0.000154794,0.237338,0.696664,0.000453961,0.218768
669,298.449,1,10.1715,15.7058,3.65087,43.613,33.4854,1.74979,1.98058,2.58806,0.924568,0.25595,0.000179461,0.000142842,0.232676,0.665029,0.000461747,0.211946
670,289.318,1,10.1957,15.7052,3.65085,42.874,31.202,1.74974,2.01579,2.48504,0.919548,0.25906,0.000182892,0.000127762,0.223962,0.711601,0.000444372,0.209423
671,289.708,1,10.125,15.7044,3.65087,43.7455,31.3215,1.74951,1.98804,2.53397,0.922542,0.252675,0.000216047,0.000114274,0.21557,0.756193,0.000397458,0.215268
672,300.533,1,10.1861,15.7043,3.65091,43.9704,31.1769,1.74946,2.08151,2.49028,0.920455,0.257508,0.000229021,0.000114898,0.222863,0.817852,0.000365593,0.219541
673,293.281,1,10.1586,15.7037,3.65097,44.0016,31.7073,1.74953,2.01187,2.46664,0.915205,0.259433,0.000223472,0.000107656,0.228889,0.81186,0.000417298,0.213128
674,294.247,1,10.1555,15.7035,3.65104,44.0022,29.3975,1.7496,1.98712,2.45091,0.909152,0.25535,0.000227223,0.000119041,0.225259,0.817267,0.000448476,0.212956
675,299.989,1,10.0841,15.7032,3.65104,43.3553,28.9638,1.74955,1.93617,2.49597,0.905809,0.255793,0.000233629,0.0001311,0.229884,0.80469,0.000500193,0.216895
676,300.35,1,10.1213,15.7027,3.65109,43.4982,30.2228,1.7496,1.95459,2.46429,0.894994,0.253352,0.000248393,0.000126136,0.22364,0.829994,0.000510886,0.216435
677,305.64,1,10.1616,15.7023,3.65118,42.8927,33.0018,1.74944,1.96591,2.46649,0.899049,0.260936,0.000254383,0.000135395,0.216878,0.847886,0.000513337,0.221607
678,304.138,1,10.2065,15.7027,3.65118,42.9246,35.2995,1.74944,2.00824,2.42698,0.902034,0.265789,0.000227527,0.00014128,0.233585,0.768828,0.000533163,0.225009
679,299.458,1,10.1604,15.7024,3.65112,43.0156,34.1779,1.7495,2.02166,2.40546,0.913137,0.253681,0.000203506,0.000138261,0.239255,0.783411,0.000541274,0.209232
680,299.555,1,10.2218,15.7018,3.65119,42.8116,33.7158,1.74935,1.93309,2.44505,0.911369,0.25416,0.000224929,0.000140055,0.24907,0.775002,0.000534009,0.218421
681,293.738,1,10.2405,15.7017,3.65128,42.7817,33.3365,1.74948,1.85464,2.54125,0.91144,0.261374,0.000208355,0.000131942,0.247696,0.741823,0.000522274,0.216566
682,304.24,1,10.157,15.7015,3.6513,43.6182,35.5808,1.74965,1.92543,2.54125,0.919178,0.257106,0.000212977,0.000146714,0.248792,0.802203,0.000503151,0.208328
683,310.76,1,10.1378,15.701,3.65121,43.2584,34.0917,1.7497,1.93875,2.54458,0.912777,0.255468,0.00023478,0.000131225,0.233151,0.858944,0.000651008,0.203961
684,304.063,1,10.1167,15.7013,3.65118,43.7496,31.1546,1.74952,1.92702,2.4699,0.908564,0.259713,0.000233332,0.00013746,0.223128,0.851061,0.000632895,0.201651
685,307.099,1,10.179,15.7015,3.65118,44.248,30.6507,1.74948,2.02787,2.44284,0.910634,0.259466,0.00021932,0.000138042,0.217926,0.815267,0.000611067,0.200544
686,308.617,1,10.1094,15.7012,3.65118,44.2782,33.8476,1.74954,2.09084,2.46518,0.910935,0.260575,0.000196166,0.000147291,0.211271,0.835239,0.000546555,0.20697
687,300.43,1,10.0739,15.7012,3.65118,44.6427,35.4532,1.74934,2.08738,2.39209,0.914852,0.25903,0.000213815,0.000131741,0.199709,0.860502,0.00053716,0.209043
688,302.146,1,10.0374,15.7013,3.65116,45.2334,35.4851,1.74943,2.0264,2.45124,0.90444,0.259608,0.000221293,0.000117833,0.210581,0.942644,0.000572333,0.19568
689,299.629,1,10.0657,15.7019,3.65107,44.6755,35.2211,1.74938,2.00856,2.4527,0.909192,0.256713,0.000206344,0.000130378,0.222253,0.894854,0.00051191,0.198217
690,301.432,1,10.0881,15.7014,3.65114,43.5492,33.0169,1.74921,1.98193,2.48087,0.911084,0.257498,0.000231925,0.00012923,0.230183,0.800382,0.000488307,0.21651
691,297.618,1,10.0892,15.7018,3.65106,43.2322,34.1568,1.74931,1.94215,2.46298,0.908557,0.257915,0.000262685,0.000126143,0.228481,0.731344,0.000517152,0.209817
692,291.584,1,10.0496,15.7021,3.6511,42.723,34.7789,1.74934,1.9022,2.47435,0.894687,0.259007,0.00024323,0.000131104,0.23648,0.686656,0.000508508,0.204647
693,295.653,1,10.1636,15.7023,3.65095,42.6719,34.2302,1.7494,1.96267,2.51667,0.909495,0.262413,0.000237977,0.000129011,0.228251,0.641279,0.000481526,0.204159
694,289.216,1,10.1613,15.7022,3.65091,43.1145,32.9734,1.74938,2.06947,2.4467,0.911518,0.260082,0.000212854,0.000115391,0.220307,0.609598,0.00050176,0.208345
695,284.969,1,10.1029,15.7026,3.6509,43.7291,31.9837,1.74924,2.04838,2.41731,0.915132,0.257658,0.000226467,0.000103209,0.227887,0.647345,0.000448788,0.20596
696,276.725,1,10.1754,15.7027,3.65093,43.4182,36.3605,1.74921,1.99458,2.38397,0.912988,0.257244,0.000214718,0.000108023,0.243633,0.640046,0.000401408,0.206762
697,266.914,1,10.1963,15.7032,3.65095,43.3506,37.2092,1.74921,1.96536,2.41237,0.905645,0.259603,0.000201876,9.66185e-05,0.238776,0.700397,0.000359031,0.206007
698,270.864,1,10.1897,15.7035,3.65094,42.7595,33.6345,1.7492,2.06646,2.32472,0.906604,0.254123,0.000211743,9.29316e-05,0.23802,0.680295,0.000334603,0.213628
699,266.794,1,10.183,15.7032,3.65101,41.9729,33.939,1.74936,1.92594,2.46986,0.907665,0.259176,0.000212263,8.60953e-05,0.243062,0.714312,0.000312988,0.20805
700,265.534,1,10.171,15.7027,3.65106,41.9244,31.6768,1.74941,1.93098,2.48295,0.907493,0.252876,0.000216723,7.89302e-05,0.24292,0.751211,0.000287066,0.214007
701,257.872,1,10.1998,15.7026,3.65108,42.4291,30.2067,1.74952,1.92499,2.45784,0.91661,0.253029,0.000193843,7.84557e-05,0.243449,0.736372,0.000302655,0.19773
702,262.065,1,10.1686,15.703,3.65105,41.9407,33.0422,1.74953,2.00777,2.4555,0.91691,0.251286,0.000200086,7.85338e-05,0.238651,0.713815,0.000272094,0.193345
703,275.381,1,10.283,15.7031,3.65104,42.4481,31.8315,1.74969,2.03442,2.52408,0.908661,0.256705,0.000211242,8.50198e-05,0.245301,0.725986,0.00026278,0.199586
704,273.49,1,10.129,15.7032,3.65099,42.5688,31.6097,1.74967,2.05497,2.48735,0.906728,0.248633,0.00019664,8.42987e-05,0.262738,0.685981,0.000279254,0.200258
705,263.583,1,10.1625,15.7038,3.651,42.8002,32.9273,1.74975,2.01385,2.44283,0.90184,0.257789,0.000204533,8.23988e-05,0.245053,0.685757,0.000265937,0.195277
706,257.611,1,10.1194,15.7037,3.65106,42.5186,31.6758,1.74963,2.00898,2.40843,0.907675,0.260362,0.000228383,7.36997e-05,0.231304,0.694361,0.000242764,0.203114
707,258.134,1,10.14,15.7045,3.65105,42.7441,34.9078,1.74955,1.99923,2.47458,0.905908,0.261649,0.000223905,7.134e-05,0.229591,0.65562,0.000224026,0.213059
708,256.581,1,10.1114,15.7047,3.65108,43.0161,33.1145,1.74967,2.02183,2.42366,0.90584,0.260468,0.000237493,8.1883e-05,0.22117,0.712716,0.000200375,0.198262
709,263.904,1,10.1138,15.7045,3.65111,43.6322,33.5106,1.7497,2.05989,2.4088,0.907392,0.259573,0.000228573,8.75997e-05,0.225536,0.723996,0.000209387,0.203496
710,263.361,1,10.0791,15.7043,3.65112,43.3163,35.0167,1.74969,2.02833,2.41792,0.916674,0.256388,0.000251269,9.17775e-05,0.218664,0.770744,0.000198733,0.194007
711,262.255,1,10.1046,15.7044,3.65119,44.4675,37.4378,1.74969,1.98589,2.41655,0.908848,0.255896,0.00023685,9.11916e-05,0.227026,0.84093,0.000194513,0.208829
712,277.213,1,10.1377,15.7042,3.65119,44.0685,36.9082,1.74975,2.03177,2.44005,0.910833,0.25136,0.00025793,0.000115058,0.228623,0.851408,0.000189803,0.21229
713,285.649,1,10.0966,15.7043,3.65132,43.3058,34.8611,1.74974,2.06829,2.50817,0.908442,0.254812,0.000247308,0.000119093,0.211466,0.880746,0.000201115,0.20613
714,282.974,1,10.0545,15.7042,3.65131,42.8344,35.0103,1.74967,2.07038,2.48764,0.898962,0.261271,0.000271939,0.00010652,0.224315,0.799401,0.000210812,0.19943
715,270.986,1,10.1196,15.704,3.65132,42.7818,31.5968,1.7497,1.99436,2.53034,0.899934,0.257636,0.000253605,9.52742e-05,0.230076,0.775851,0.000195415,0.198891
716,282.351,1,10.0909,15.7044,3.65133,42.3587,33.8836,1.74968,1.94979,2.62873,0.894276,0.269489,0.000294788,9.69483e-05,0.23045,0.803262,0.000193961,0.202307
717,295.16,1,10.0899,15.7035,3.65132,42.831,33.5351,1.74972,2.00967,2.65955,0.91046,0.256031,0.000361541,0.000103318,0.23699,0.795916,0.000181143,0.202951
718,262.197,1,10.1271,15.7024,3.65124,42.8756,30.4297,1.74974,1.97664,2.43418,0.904234,0.256569,0.000354788,9.38639e-05,0.238167,0.788254,0.000162019,0.185266
719,262.262,1,10.1423,15.703,3.65124,42.9892,31.7698,1.74978,1.96706,2.43181,0.910881,0.2557,0.000317332,9.26135e-05,0.234088,0.793098,0.000159856,0.206438
720,267.012,1,10.1805,15.7027,3.65125,43.1178,30.9571,1.74985,1.97968,2.43148,0.911795,0.261663,0.000331916,0.000101058,0.238889,0.753451,0.000157155,0.200401
721,272.024,1,10.1722,15.7023,3.65129,43.1108,36.0215,1.74977,1.98559,2.43224,0.906867,0.256298,0.000404192,0.000101666,0.240361,0.794695,0.000144299,0.200402
722,282.957,1,10.1642,15.7022,3.65132,43.3429,34.3935,1.74976,1.9869,2.48028,0.90316,0.255202,0.000419167,0.000115266,0.240804,0.815904,0.000152201,0.202965
723,282.395,1,10.1784,15.703,3.65142,42.1774,34.1022,1.74976,1.93654,2.51209,0.902315,0.252715,0.000449478,0.00012796,0.234926,0.774927,0.000143068,0.211711
724,286.63,1,10.2183,15.7024,3.65149,41.6037,34.4586,1.74971,1.98567,2.53707,0.905186,0.252201,0.000431531,0.000115754,0.246144,0.761152,0.000143984,0.215898
725,284.279,1,10.2691,15.7036,3.65151,42.2609,32.8389,1.7497,2.06047,2.47923,0.90603,0.255137,0.000385973,0.000110661,0.237978,0.761353,0.000153123,0.218372
726,280.328,1,10.1041,15.7028,3.65151,42.2743,32.8829,1.74974,1.9979,2.4793,0.917555,0.247515,0.000366397,0.00010392,0.243216,0.812389,0.000163062,0.216622
727,270.425,1,10.1921,15.7034,3.65155,42.5416,35.2121,1.74972,1.94136,2.52334,0.914155,0.249401,0.000345543,9.68217e-05,0.236173,0.809937,0.000152844,0.204274
728,271.235,1,10.2637,15.7039,3.65155,42.0677,32.8726,1.74969,1.94961,2.51853,0.914612,0.261827,0.000335627,9.77513e-05,0.238053,0.775302,0.000148852,0.213923
729,275.166,1,10.2328,15.7047,3.65162,42.9436,32.0874,1.74971,2.02626,2.49328,0.923637,0.268953,0.000368165,0.000105048,0.22748,0.693451,0.000149662,0.202305
730,264.911,1,10.2265,15.7048,3.65149,44.16,32.5626,1.74972,2.02627,2.45607,0.92836,0.269135,0.000346938,9.3958e-05,0.232814,0.661407,0.000146922,0.213899
731,268.768,1,10.1784,15.7045,3.65155,43.3611,31.9748,1.74974,2.02494,2.4067,0.91266,0.266988,0.000328469,0.000100485,0.238889,0.705737,0.00014599,0.224383
732,274.393,1,10.1456,15.7052,3.65155,43.4062,29.341,1.74972,2.07684,2.40645,0.917909,0.267514,0.000352139,0.000110313,0.243988,0.63123,0.000145945,0.218636
733,271.255,1,10.2178,15.7061,3.65154,43.2889,29.5266,1.74976,2.02403,2.51554,0.913258,0.256212,0.000322999,0.00010456,0.233831,0.585375,0.000157185,0.211601
734,263.758,1,10.1044,15.7064,3.65158,42.7487,31.4665,1.74975,2.0278,2.49062,0.915063,0.260232,0.000326172,9.35212e-05,0.217206,0.611509,0.000153681,0.208903
735,262.538,1,10.1543,15.7064,3.65148,42.7017,35.4839,1.74975,1.96044,2.49543,0.91364,0.264143,0.000324721,9.46433e-05,0.212274,0.653966,0.000166844,0.201833
736,272.15,1,10.1459,15.7057,3.65145,42.47,35.6837,1.74975,1.98085,2.51551,0.913736,0.260332,0.000341515,0.000103499,0.227789,0.687057,0.000164426,0.199158
737,262.922,1,10.1857,15.7055,3.6514,42.9864,38.3917,1.74976,1.97845,2.49454,0.915002,0.256562,0.00030546,9.25727e-05,0.2287,0.719092,0.000171815,0.205176
738,272.5,1,10.1396,15.7052,3.65145,43.3351,41.1653,1.7498,2.0112,2.50845,0.926957,0.259067,0.000309641,8.38295e-05,0.21287,0.790123,0.00018966,0.20447
739,267.886,1,10.1519,15.7046,3.65136,43.5801,41.202,1.74979,1.98491,2.51246,0.920927,0.264456,0.000291529,7.94573e-05,0.21514,0.753598,0.000197783,0.20499
740,269.358,1,10.1188,15.7044,3.65135,44.3791,38.3515,1.74989,2.00011,2.57401,0.917387,0.260481,0.000295083,8.26631e-05,0.215265,0.723717,0.000176902,0.200238
741,262.614,1,10.1459,15.7042,3.65136,44.2091,39.4802,1.74993,2.06008,2.42405,0.90883,0.264421,0.000263931,8.76241e-05,0.206845,0.752633,0.000177692,0.203411
742,255.141,1,10.1342,15.704,3.65145,43.4409,38.3259,1.7499,2.00271,2.49524,0.919614,0.267683,0.000242244,8.2536e-05,0.204202,0.776316,0.000158933,0.195422
743,258.705,1,10.0802,15.7045,3.65148,44.133,38.4926,1.74988,2.06964,2.45742,0.914121,0.268749,0.000222746,8.83218e-05,0.203193,0.739867,0.000153138,0.208281
744,254.83,1,10.1678,15.704,3.65148,43.6062,42.465,1.74992,2.1147,2.44357,0.910339,0.276562,0.00019923,8.60765e-05,0.202065,0.72837,0.000152305,0.196642
745,267.232,1,10.0765,15.7044,3.6515,42.9468,42.2786,1.74992,2.10972,2.49555,0.907807,0.266518,0.000205173,9.01515e-05,0.201234,0.835741,0.000162329,0.201524
746,251.671,1,10.008,15.7042,3.65155,42.2365,44.1376,1.74991,1.99546,2.47952,0.907221,0.268725,0.000183512,9.13908e-05,0.199644,0.861164,0.000153325,0.20998
747,252.159,1,10.0542,15.7042,3.6516,43.1392,44.7778,1.7499,2.01717,2.53472,0.915262,0.267728,0.000186347,8.4944e-05,0.201886,0.871226,0.000137138,0.201483
748,254.651,1,10.0461,15.7041,3.65157,43.5437,40.7045,1.74989,1.98023,2.47176,0.929806,0.269092,0.000215676,8.46388e-05,0.225347,0.851929,0.000138998,0.217676
749,257.099,1,10.0843,15.7043,3.65153,44.006,40.2472,1.74986,1.94924,2.51235,0.922977,0.270954,0.000196739,8.15203e-05,0.225077,0.885839,0.000168188,0.212931
750,251.985,1,10.1406,15.7039,3.6515,44.6973,43.0279,1.74989,1.90841,2.54548,0.921694,0.270566,0.000194174,7.95789e-05,0.228433,0.861707,0.000159862,0.207662
751,254.654,1,10.1936,15.7041,3.65149,43.8251,36.1292,1.74997,1.94132,2.54168,0.92265,0.274552,0.000201096,8.06651e-05,0.220722,0.834421,0.000160526,0.205082
752,255.78,1,10.136,15.7036,3.65148,44.049,35.4753,1.74993,1.89342,2.62646,0.929698,0.27255,0.000205471,8.23221e-05,0.241595,0.827888,0.000143579,0.211931
753,251.238,1,10.171,15.7036,3.65144,43.0065,37.1225,1.74994,1.86699,2.62068,0.911541,0.270381,0.000191089,7.80359e-05,0.236925,0.862539,0.000147303,0.208654
754,243.07,1,9.98985,15.7034,3.65147,43.1002,38.0618,1.74991,1.87101,2.5327,0.915789,0.262788,0.000188019,6.97974e-05,0.242672,0.89094,0.000148375,0.213362
755,236.857,1,10.0065,15.7035,3.65148,43.9532,37.7915,1.74985,1.91445,2.45091,0.915685,0.267959,0.0002058,6.64786e-05,0.237027,0.866076,0.000132711,0.219534
756,243.653,1,9.98214,15.7029,3.65154,44.3923,38.4079,1.74982,1.95438,2.44721,0.921401,0.269441,0.000200886,6.18064e-05,0.247435,0.962986,0.000131427,0.21547
757,242.139,1,10.0388,15.7029,3.65158,44.5965,35.5566,1.74979,1.91215,2.45223,0.91418,0.271775,0.000202541,6.31355e-05,0.230994,1.04884,0.000127991,0.227299
758,253.108,1,10.0352,15.703,3.65154,45.0284,36.8597,1.74979,1.96286,2.48142,0.910986,0.272147,0.000220623,6.40847e-05,0.250527,0.995679,0.000130921,0.222247
759,263.219,1,10.0842,15.7028,3.6515,44.8303,35.8607,1.74975,2.02566,2.53386,0.923103,0.2724,0.000197331,6.55837e-05,0.243846,1.04254,0.000151934,0.21676
760,249.252,1,10.1539,15.7031,3.65152,43.9845,37.538,1.74975,1.98681,2.4665,0.915713,0.270771,0.000176498,6.48362e-05,0.245872,1.01683,0.000154366,0.220709
761,244.678,1,10.0651,15.7031,3.65148,44.5208,36.3732,1.74976,2.06627,2.44946,0.914565,0.269791,0.000179171,5.79913e-05,0.247643,0.909516,0.000138069,0.222264
762,247.183,1,10.0731,15.7028,3.65147,44.7285,33.9811,1.74984,1.9496,2.48795,0.918199,0.265372,0.000185029,5.45848e-05,0.27088,0.935519,0.000148037,0.231276
763,253.156,1,10.1757,15.703,3.65142,44.2811,33.2547,1.74981,1.98309,2.52727,0.91702,0.262736,0.000184975,5.48759e-05,0.242283,0.952942,0.000164957,0.230376
764,252.02,1,10.1085,15.7026,3.65141,44.6804,36.9346,1.74985,1.96859,2.58365,0.911671,0.259078,0.000177098,5.90663e-05,0.222089,0.926609,0.000158832,0.225369
765,244.408,1,10.0487,15.7026,3.65141,44.3894,37.752,1.74979,2.0284,2.45364,0.899838,0.259737,0.000185612,5.8409e-05,0.212269,0.925581,0.000148983,0.214157
766,248.683,1,10.0063,15.7028,3.65143,44.0858,35.9647,1.74984,2.05463,2.46562,0.907456,0.258666,0.00018924,5.67175e-05,0.211403,0.867297,0.000169304,0.211312
767,242.095,1,9.97081,15.7031,3.65145,44.1294,36.2805,1.74977,2.03327,2.44419,0.901901,0.256387,0.000188987,5.62797e-05,0.215051,0.832417,0.000154826,0.217197
768,245.094,1,10.0029,15.7036,3.65149,43.3973,33.7106,1.74975,2.02094,2.49303,0.896265,0.261992,0.000193725,5.52539e-05,0.232203,0.843089,0.000143297,0.211429
769,232.317,1,10.03,15.704,3.65148,43.4083,34.6727,1.74971,1.98353,2.49286,0.899695,0.267839,0.000184647,5.32801e-05,0.2293,0.772832,0.000128169,0.208532
770,231.086,1,10.0307,15.704,3.65146,42.7503,32.9822,1.74971,2.0531,2.43232,0.905961,0.27015,0.000168324,5.05224e-05,0.218533,0.792599,0.000122612,0.219677
771,233.261,1,10.0667,15.7047,3.65144,42.8995,32.3159,1.7498,2.05737,2.46495,0.900407,0.266984,0.000171121,5.40641e-05,0.224703,0.793051,0.000116357,0.2035
772,219.78,1,10.1141,15.705,3.65139,43.3124,35.1366,1.74981,2.04289,2.43676,0.906612,0.2558,0.000155174,4.83564e-05,0.218945,0.761237,0.000118869,0.201479
773,223.99,1,9.99422,15.7054,3.65142,43.716,33.9752,1.74978,1.96564,2.53416,0.900691,0.251245,0.000160654,5.11704e-05,0.233726,0.812972,0.000106792,0.201936
774,220.286,1,10.0971,15.7061,3.65143,43.7591,33.8836,1.74983,1.95901,2.40139,0.906379,0.258667,0.000171194,6.00851e-05,0.221017,0.829497,0.000112917,0.199264
775,225.947,1,10.0828,15.7067,3.65138,43.2719,36.6427,1.74984,2.03624,2.4483,0.908609,0.254425,0.00015312,6.61388e-05,0.214395,0.849418,0.000116784,0.186164
776,231.336,1,10.0632,15.7069,3.65142,43.0797,35.6297,1.74984,2.00582,2.46546,0.906142,0.261904,0.0001496,6.71001e-05,0.222869,0.812166,0.000120464,0.201707
777,247.059,1,10.2191,15.7065,3.65143,42.8836,32.931,1.74987,1.96053,2.63579,0.900565,0.262852,0.000155941,7.34452e-05,0.227401,0.85727,0.000131802,0.193883
778,245.875,1,10.1437,15.707,3.65145,43.8483,32.968,1.74991,1.97243,2.56331,0.899759,0.258041,0.000159695,7.42996e-05,0.229465,0.923255,0.000128865,0.199767
779,239.494,1,10.1211,15.7065,3.65144,43.9066,31.4371,1.74985,1.97979,2.48485,0.909407,0.253369,0.000159086,7.34962e-05,0.219264,0.923041,0.000126855,0.210874
780,228.689,1,10.1397,15.7065,3.65146,43.4479,32.5073,1.74983,1.94568,2.46749,0.906976,0.257347,0.000146279,6.5737e-05,0.22473,0.91209,0.000123296,0.206474
781,232.566,1,10.2096,15.706,3.65148,43.1898,32.8151,1.74984,1.9367,2.49105,0.91766,0.266483,0.000152977,6.06207e-05,0.235929,0.855516,0.000138826,0.206744
782,238.329,1,10.1191,15.7056,3.65146,43.7664,32.8881,1.74978,2.0272,2.48085,0.915966,0.265405,0.000136827,7.25205e-05,0.249167,0.765197,0.000134177,0.212578
783,238.263,1,10.0973,15.7058,3.65146,43.8643,36.2278,1.74981,2.04805,2.50773,0.915336,0.266464,0.000140021,8.11791e-05,0.225803,0.729345,0.000120011,0.203368
784,244.165,1,10.2143,15.7054,3.65144,43.792,40.3959,1.74979,2.11981,2.55935,0.920652,0.275183,0.000142531,7.565e-05,0.212621,0.76448,0.000107341,0.197028
785,243.16,1,10.2981,15.705,3.65147,43.5455,39.1852,1.74974,2.14185,2.55157,0.924358,0.273517,0.00014371,6.80383e-05,0.214046,0.779838,9.60091e-05,0.212051
786,238.628,1,10.2468,15.7051,3.65149,43.8828,37.4285,1.74975,2.14983,2.51019,0.923922,0.280181,0.000133689,6.84423e-05,0.214272,0.708841,9.79904e-05,0.21606
787,237.446,1,10.2066,15.7058,3.65148,43.6503,34.1427,1.74976,2.16397,2.39535,0.921225,0.278455,0.000151654,6.72481e-05,0.214456,0.780599,0.000104847,0.208996
788,233.61,1,10.3101,15.7059,3.65149,43.2459,36.8151,1.74976,2.16027,2.41501,0.91844,0.281959,0.000147799,7.19728e-05,0.216988,0.756809,9.37779e-05,0.213935
