iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,b
286,306.682,1,5.1801,20.9537,5.54403,23.6691,0.260557,0.257927,0.672494,0.0260917
287,305.197,1,5.15087,21.0748,5.52427,23.743,0.267661,0.251396,0.655466,0.0260159
288,307.945,1,5.16467,20.804,5.63257,23.4462,0.2631,0.245031,0.662791,0.0265715
289,309.003,1,5.13455,20.2517,6.04946,23.5745,0.261414,0.238826,0.722007,0.0263331
290,301.748,1,5.13112,19.9425,6.11226,23.9336,0.260776,0.239955,0.733264,0.0252746
291,307.593,1,5.13355,20.2023,5.97598,24.0271,0.263602,0.254112,0.715023,0.0258871
292,299.412,1,5.16985,20.1537,6.26736,24.4307,0.258488,0.247678,0.739212,0.0249312
293,302.792,1,5.1739,19.9427,6.35279,25.156,0.259377,0.241406,0.770516,0.0253482
294,311.272,1,5.15495,20.4438,6.06464,25.0872,0.262246,0.235294,0.761623,0.0266237
295,307.656,1,5.15373,20.6602,5.98767,25.3028,0.267676,0.233937,0.752619,0.0260161
296,302.309,1,5.14245,20.57,5.56876,25.1842,0.265415,0.232658,0.733562,0.0254735
297,302.744,1,5.14354,20.601,5.51883,23.7479,0.258695,0.231187,0.714988,0.0258201
298,295.862,1,5.14451,20.5361,5.59438,23.9891,0.253355,0.225333,0.705575,0.025073
299,306.904,1,5.12228,20.8892,5.28798,23.9891,0.26043,0.23571,0.687709,0.0263257
300,308.297,1,5.09755,20.7875,5.15613,23.5767,0.257092,0.239973,0.670296,0.0266261
301,307.077,1,5.10738,20.6904,5.31679,23.5767,0.258067,0.233897,0.666691,0.0265379
302,313.5,1,5.10737,20.7655,5.01943,22.9321,0.252568,0.231129,0.64981,0.0277141
303,313.135,1,5.13252,21.0985,5.20341,23.5412,0.254233,0.244482,0.633356,0.0275563
304,311.234,1,5.10901,21.1125,5.11471,23.4125,0.258894,0.241201,0.617319,0.0272596
305,311.76,1,5.14788,21.1943,5.6034,24.1807,0.26641,0.235094,0.610554,0.0275817
306,313.213,1,5.13361,21.052,5.48656,24.7191,0.269571,0.229141,0.609906,0.0279462
307,311.611,1,5.15609,20.703,5.85071,24.7191,0.267502,0.223339,0.636076,0.0276441
308,310.257,1,5.17993,20.8737,5.7916,24.7384,0.266234,0.21903,0.649066,0.0272554
309,313.477,1,5.14819,20.9714,5.66451,24.6224,0.267951,0.213484,0.686972,0.0275976
310,307.807,1,5.15892,20.8186,5.86707,24.7956,0.261167,0.209281,0.691418,0.0269457
311,306.43,1,5.13462,20.7919,5.92609,24.1757,0.255859,0.226525,0.715423,0.0262856
312,310.666,1,5.11204,20.5695,5.70011,23.5713,0.250941,0.233497,0.74477,0.0266491
313,308.646,1,5.13766,20.686,5.45599,23.8199,0.253865,0.254481,0.725912,0.0264033
314,311.473,1,5.0956,20.5847,5.40706,24.6945,0.270531,0.269148,0.707532,0.0262565
315,313.515,1,5.09586,20.6872,5.3836,25.119,0.265019,0.269737,0.689617,0.0266353
316,308.725,1,5.11278,20.5399,5.58855,24.6872,0.258309,0.263973,0.731646,0.0259229
317,309.225,1,5.14893,20.4643,5.70657,24.938,0.256635,0.257289,0.730778,0.0261704
318,307.775,1,5.15187,20.6319,5.86194,24.9185,0.253285,0.251846,0.739479,0.0260185
319,316.414,1,5.1662,20.6019,5.86266,24.9185,0.25803,0.249465,0.724016,0.0272702
320,311.634,1,5.177,20.795,5.68819,24.607,0.257999,0.243149,0.705683,0.0268836
321,314.808,1,5.17328,20.7804,5.85243,24.3571,0.257051,0.247789,0.749645,0.0269608
322,319.714,1,5.14313,20.1407,5.84044,24.1953,0.260665,0.249335,0.74109,0.0276029
323,316.572,1,5.10803,20.6072,5.60021,23.6661,0.268018,0.247531,0.757311,0.0269262
324,314.66,1,5.13259,20.6658,5.56932,23.814,0.261232,0.269336,0.742782,0.0265793
325,319.092,1,5.15149,20.606,5.917,24.3163,0.269118,0.262516,0.723974,0.0276172
326,315.999,1,5.16203,20.367,6.07339,24.6772,0.2717,0.255869,0.730236,0.0275515
327,316.335,1,5.14603,19.7631,6.16453,24.6965,0.266632,0.24939,0.754875,0.0274811
328,312.248,1,5.1695,19.9503,6.21437,25.2464,0.269226,0.243075,0.735761,0.0273733
329,315.686,1,5.14909,20.1551,6.61289,24.1419,0.268884,0.23692,0.755102,0.0272127
330,311.209,1,5.15237,20.1349,6.37082,24.3493,0.266609,0.230922,0.745731,0.0268616
331,311.229,1,5.13515,19.5051,6.31243,25.2054,0.259869,0.227103,0.760032,0.0266573
332,313.3,1,5.13163,19.386,6.51472,24.6737,0.259781,0.226234,0.750493,0.0269735
333,317.749,1,5.13708,19.5701,6.46662,24.8375,0.265209,0.245228,0.796656,0.0269999
334,309.431,1,5.12783,19.4026,6.64834,24.9152,0.263495,0.239018,0.838418,0.0258343
335,309.485,1,5.13525,19.7852,6.3615,25.538,0.268071,0.237264,0.817189,0.0259227
336,304.171,1,5.16196,19.7018,6.35344,25.4283,0.261283,0.234666,0.796497,0.0255134
337,304.136,1,5.13515,19.9835,5.88835,25.468,0.261057,0.229244,0.776329,0.0256406
338,305.112,1,5.15195,20.3526,5.87007,24.7915,0.258413,0.23823,0.756672,0.0257585
339,313.662,1,5.16289,20.1621,6.14387,24.869,0.267023,0.232197,0.757477,0.026887
340,317.617,1,5.18477,20.4551,6.23762,24.7136,0.262485,0.226318,0.826719,0.0273437
341,315.154,1,5.14855,20.0048,6.16594,24.4433,0.266509,0.220588,0.805786,0.0270768
342,316.835,1,5.12792,20.3747,5.70267,24.6533,0.267994,0.234372,0.785383,0.027086
343,312.829,1,5.1237,20.5189,5.81573,24.9615,0.269161,0.230338,0.803959,0.026456
344,310.042,1,5.09944,20.2571,5.71912,24.8055,0.266757,0.238299,0.783602,0.0260478
345,313.132,1,5.10789,20.2016,5.65204,25.1737,0.27067,0.243543,0.83972,0.0261205
346,308.671,1,5.12957,20.6285,5.45025,24.7804,0.263817,0.258949,0.818458,0.0257067
347,310.081,1,5.12911,20.3768,5.61524,24.4803,0.259919,0.267348,0.797734,0.0260652
348,311.601,1,5.14544,20.5587,5.84495,24.0404,0.254255,0.272542,0.777535,0.0261528
349,313.656,1,5.08799,20.9122,5.2722,23.5897,0.264527,0.267157,0.757847,0.0263334
350,311.962,1,5.07717,20.7993,5.02506,23.903,0.266252,0.270814,0.738658,0.0263669
351,312.084,1,5.13465,20.8787,5.59237,24.7246,0.259511,0.263957,0.719955,0.0264401
352,311.156,1,5.13293,20.2709,5.56642,25.1013,0.256804,0.280706,0.758494,0.0259103
353,313.228,1,5.13832,20.8392,5.32355,25.3366,0.257091,0.273599,0.856508,0.02637
354,305.072,1,5.11421,21.1227,5.07292,26.5639,0.258558,0.266671,0.856656,0.0251261
355,301.727,1,5.127,21.4747,4.8936,27.4874,0.262215,0.259919,0.834965,0.0253603
356,295.326,1,5.12463,21.5461,4.82088,27.7021,0.26223,0.253337,0.813823,0.0246025
357,299.443,1,5.13798,21.127,5.24059,27.3775,0.267035,0.246923,0.793217,0.0247614
358,299.568,1,5.12305,21.0171,5.2456,27.8908,0.262586,0.246603,0.773132,0.0247171
359,301.326,1,5.11671,21.2863,5.30347,27.8908,0.261244,0.240359,0.753556,0.0255329
360,299.802,1,5.12571,21.3077,5.19377,27.9344,0.267315,0.234273,0.734475,0.0255004
361,306.708,1,5.12634,21.561,5.10612,26.6686,0.267866,0.241546,0.715878,0.0260677
362,309.641,1,5.1175,21.6403,4.94825,26.6478,0.26219,0.249565,0.697752,0.0265483
363,312.163,1,5.12024,21.7809,4.85207,25.586,0.265496,0.247787,0.680084,0.0269291
364,309.177,1,5.12847,21.7462,4.923,25.616,0.264612,0.241513,0.662864,0.0270127
365,312.86,1,5.09909,21.5612,4.85269,25.7361,0.273495,0.235397,0.691918,0.0272462
366,313.972,1,5.11197,21.393,5.23004,26.3996,0.26717,0.229437,0.696343,0.0272709
367,311.713,1,5.09963,21.3881,4.92282,26.8946,0.262817,0.234514,0.689557,0.0269305
368,302.653,1,5.09673,21.3663,4.96124,26.5164,0.258555,0.230921,0.74182,0.0255839
369,298.031,1,5.03787,20.8162,4.73684,27.8422,0.266884,0.225074,0.739872,0.0251333
370,307.424,1,5.08912,20.827,4.75278,27.4289,0.260127,0.228916,0.77217,0.0261037
371,305.525,1,5.09171,20.8223,4.87308,27.1075,0.261513,0.22312,0.816154,0.025975
372,305.235,1,5.08397,20.8204,4.66806,27.1498,0.258785,0.217471,0.798023,0.0262017
373,309.881,1,5.11023,21.6063,4.94581,26.6196,0.267477,0.211964,0.777817,0.0269683
374,306.936,1,5.15257,21.4835,5.34835,26.8483,0.260705,0.206597,0.758122,0.0270087
375,305.363,1,5.14775,20.7517,5.60835,26.2086,0.265843,0.201366,0.738926,0.0264861
376,305.756,1,5.12225,21.2004,5.46991,26.4031,0.276598,0.196267,0.720216,0.0265756
377,300.784,1,5.13242,20.9346,5.73894,25.8771,0.269594,0.191298,0.70198,0.0261902
378,304.246,1,5.09971,20.3468,5.52537,26.5442,0.262768,0.186454,0.68647,0.0268745
379,296.082,1,5.10136,20.4114,5.35633,26.0051,0.262869,0.187835,0.718767,0.0255308
380,305.26,1,5.12962,20.1303,5.65881,25.9644,0.266216,0.197171,0.75675,0.0263453
381,307.827,1,5.10733,19.9419,5.98196,25.3255,0.259729,0.195547,0.830544,0.0263673
382,301.734,1,5.10852,20.1384,6.00224,24.445,0.262254,0.201406,0.809514,0.0256246
383,299.572,1,5.1087,20.0395,5.70336,24.7601,0.263249,0.208993,0.789016,0.0253191
384,295.908,1,5.10311,20.0849,5.57273,25.5242,0.267363,0.203701,0.769038,0.0250734
385,300.863,1,5.13603,20.6377,5.84326,24.8263,0.260866,0.198543,0.749566,0.0264353
386,299.116,1,5.12256,20.8751,5.49097,24.962,0.268874,0.197758,0.730586,0.0256252
387,306.43,1,5.10905,21.1034,5.40265,26.5027,0.268138,0.216999,0.791263,0.0259074
388,300.502,1,5.13909,21.0076,5.46467,27.3309,0.262424,0.211505,0.783202,0.0254843
389,301.696,1,5.10972,20.696,5.36339,26.3914,0.266493,0.206149,0.828076,0.0253653
390,301.477,1,5.13384,21.2586,5.39277,26.5357,0.267363,0.223307,0.812387,0.0250929
391,296.119,1,5.10347,21.0965,5.00686,27.1576,0.263112,0.217653,0.791817,0.0249548
392,300.46,1,5.10328,21.1609,5.0021,27.7729,0.271881,0.224732,0.771768,0.0250855
393,300.673,1,5.10555,20.7854,5.43288,27.9031,0.271387,0.226196,0.755937,0.025085
394,302.341,1,5.14909,20.4365,5.55133,27.3363,0.264515,0.223922,0.745627,0.0256242
395,301.988,1,5.14672,20.859,5.60873,27.0907,0.257817,0.218252,0.726747,0.0263484
396,302.638,1,5.13892,21.1744,5.47185,27.641,0.26197,0.212726,0.730946,0.026105
397,302.961,1,5.14703,21.3942,5.16265,26.3021,0.262169,0.207339,0.712438,0.0264516
398,298.947,1,5.16927,21.7918,5.3441,26.2508,0.258821,0.213084,0.714733,0.0255619
399,299.451,1,5.15386,21.2422,5.50284,26.6815,0.254719,0.207688,0.764021,0.0255716
400,306.513,1,5.15042,21.5124,5.31114,27.9738,0.264175,0.206654,0.744676,0.0265066
401,307.755,1,5.12813,20.9588,5.24922,28.9573,0.270122,0.226385,0.72582,0.0264719
402,306.948,1,5.14102,21.4613,5.23182,28.6858,0.263283,0.220653,0.719476,0.0264844
403,303.999,1,5.13871,21.1056,5.27577,28.7755,0.260454,0.215065,0.702789,0.0263645
404,296.843,1,5.13754,21.5126,5.35092,28.9778,0.269723,0.20962,0.684994,0.0254217
405,297.067,1,5.11846,21.6296,5.18257,28.2081,0.270577,0.215122,0.676223,0.025249
406,297.289,1,5.13773,21.3722,5.14046,27.5469,0.263726,0.2221,0.659101,0.0254993
407,291.031,1,5.13924,21.7101,5.0563,27.6761,0.265187,0.217628,0.646502,0.024689
408,292.784,1,5.14801,21.8882,5.07526,27.6761,0.258472,0.215967,0.676446,0.0248937
409,299.025,1,5.11798,21.7072,5.06768,27.222,0.265357,0.2191,0.671362,0.0255277
410,298.617,1,5.07816,21.442,5.09603,28.1578,0.276301,0.213552,0.678744,0.0253729
411,297.559,1,5.10115,20.9406,5.32157,27.0138,0.269305,0.208145,0.754827,0.0251303
412,297.644,1,5.10246,20.6068,5.24994,27.6048,0.262486,0.202875,0.781834,0.0251415
413,299.321,1,5.09618,20.9852,5.16282,28.5968,0.264785,0.2,0.762037,0.0256617
414,293.06,1,5.09357,21.2646,4.96378,27.7702,0.25808,0.194936,0.742742,0.0252151
415,290.671,1,5.09975,20.9162,5.07148,28.5946,0.258568,0.195824,0.723935,0.0246698
416,297.686,1,5.09545,20.6297,5.09445,28.8739,0.259908,0.2029,0.754348,0.0252765
417,293.87,1,5.1157,20.6063,5.31035,27.0918,0.256264,0.21786,0.735247,0.0247854
418,297.689,1,5.09589,20.9246,5.37084,27.1341,0.265246,0.212344,0.736072,0.0254583
419,298.564,1,5.09965,20.7942,5.24857,26.4134,0.260158,0.207039,0.727091,0.025425
420,304.113,1,5.1261,21.2982,5.22542,26.5475,0.265675,0.216256,0.727029,0.0259871
421,302.006,1,5.14525,21.3538,5.36002,25.3446,0.259841,0.215915,0.70862,0.0260131
422,296.055,1,5.11978,21.1581,5.13284,24.5328,0.257819,0.23269,0.690677,0.0251044
423,302.624,1,5.14987,20.6675,5.79196,25.1078,0.254484,0.226798,0.739841,0.0259246
424,295.472,1,5.13026,20.6489,5.73526,25.3628,0.265176,0.226155,0.726451,0.0246636
425,306.097,1,5.11441,20.62,5.57151,26.1355,0.265035,0.238893,0.74041,0.0257553
426,302.685,1,5.1239,20.0715,5.64234,27.136,0.266366,0.237281,0.777848,0.0251644
427,300.296,1,5.1411,20.2866,5.83555,27.348,0.262185,0.231273,0.80031,0.0252414
428,302.707,1,5.12361,20.6479,5.73596,27.7433,0.276225,0.225417,0.813192,0.0252229
429,293.662,1,5.09094,20.8674,5.30692,28.8704,0.272886,0.222013,0.792602,0.024231
430,294.781,1,5.08761,21.3019,5.14837,29.0057,0.273381,0.216392,0.772533,0.0245188
431,301.114,1,5.09092,20.8442,5.06819,28.2579,0.268014,0.244065,0.752972,0.0251631
432,296.303,1,5.10918,21.2275,5.16213,28.28,0.266915,0.237885,0.733906,0.024666
433,291.305,1,5.11201,21.0515,5.11869,29.0753,0.2668,0.231862,0.715323,0.0244065
434,296.017,1,5.09865,20.5939,5.17737,28.0532,0.268965,0.225991,0.697211,0.0249213
435,293.447,1,5.11217,21.355,5.02155,29.938,0.268834,0.243818,0.68215,0.0243488
436,286.114,1,5.0888,21.0938,4.95234,29.0609,0.26615,0.237644,0.664877,0.0237668
437,289.873,1,5.11011,21.3832,4.93561,29.4469,0.259411,0.231627,0.65299,0.0245959
438,290.192,1,5.07059,21.2557,4.85186,30.5511,0.262535,0.225762,0.636456,0.024884
439,299.743,1,5.05384,21.1654,4.84267,30.026,0.255887,0.225924,0.648144,0.02574
440,292.811,1,5.07791,21.5124,4.72363,30.3779,0.262485,0.220204,0.631733,0.0250711
441,287.2,1,5.0887,21.1958,4.92195,31.8968,0.259383,0.214628,0.657391,0.0242859
442,280.751,1,5.09531,21.577,4.81171,31.5977,0.267009,0.21963,0.664861,0.0232436
443,284.041,1,5.07626,21.6976,4.82287,31.1781,0.26449,0.214069,0.693135,0.0236863
444,281.6,1,5.09107,21.6667,4.79201,30.2768,0.26183,0.228121,0.675584,0.0233294
445,284.947,1,5.06373,21.2156,4.70481,30.3715,0.266341,0.222345,0.667344,0.0236846
446,287.481,1,5.07239,21.3974,4.90173,30.3003,0.259597,0.216715,0.691163,0.0242845
447,283.714,1,5.09633,21.4654,4.62478,30.2056,0.253833,0.211227,0.673663,0.0242137
448,283.581,1,5.06418,21.7391,4.50785,29.8752,0.255169,0.209789,0.656605,0.0240003
449,285.113,1,5.08696,21.9031,4.57894,28.1714,0.257952,0.21722,0.639979,0.024248
450,289.096,1,5.09519,21.5219,4.6635,27.9073,0.253351,0.215232,0.639511,0.0246686
451,287.992,1,5.10364,21.5645,4.77428,27.7111,0.257636,0.224907,0.637758,0.024305
452,284.843,1,5.11321,21.7321,4.85473,29.0966,0.260457,0.228583,0.62161,0.0240073
453,279.624,1,5.08129,21.5799,4.60724,28.4374,0.259947,0.229244,0.607778,0.0233024
454,289.994,1,5.11213,21.6371,4.62935,28.3041,0.259592,0.234922,0.645994,0.0243792
455,290.931,1,5.10915,21.632,4.81027,29.1444,0.257164,0.247474,0.639678,0.0243392
456,292.84,1,5.13122,21.6313,5.04244,28.5752,0.261584,0.241823,0.633997,0.0246599
457,291.068,1,5.10968,21.8344,4.98097,28.3073,0.272885,0.2357,0.652216,0.0244886
458,291.399,1,5.09576,21.6391,4.81451,29.2803,0.27514,0.229732,0.635701,0.0246176
459,295.037,1,5.12381,21.8182,4.71838,27.8621,0.268173,0.223915,0.619605,0.0255888
460,294.543,1,5.09035,21.6563,4.65214,28.8633,0.27157,0.228417,0.603916,0.025158
461,285.25,1,5.10331,21.6897,4.62168,28.1418,0.264694,0.225437,0.588625,0.0242855
462,293.777,1,5.09651,21.7179,4.55924,28.5375,0.263885,0.23138,0.574429,0.0252521
463,295.861,1,5.08293,21.8204,4.54437,27.7683,0.271972,0.227306,0.630468,0.0251194
464,299.257,1,5.12273,21.1687,4.77449,27.8551,0.265086,0.234939,0.70058,0.0252111
465,299.191,1,5.09984,20.8758,4.97925,27.5504,0.262214,0.22899,0.715534,0.0252598
466,299.398,1,5.13385,21.078,5.23717,27.6796,0.262005,0.226106,0.757438,0.0250907
467,296.157,1,5.14041,21.1203,5.15861,30.188,0.26297,0.23884,0.738259,0.0246361
468,295.534,1,5.11375,21.3402,5.21811,29.5513,0.26899,0.232793,0.759816,0.024659
469,300.433,1,5.1461,21.6752,5.08597,29.2742,0.269448,0.226898,0.759537,0.0253976
470,300.782,1,5.12068,21.5162,4.83756,29.8917,0.269812,0.221153,0.749278,0.0254347
471,302.711,1,5.12756,21.5238,4.99628,28.7708,0.266529,0.215553,0.764563,0.0257609
472,311.334,1,5.13073,21.4906,4.71844,28.0515,0.26706,0.22156,0.745204,0.0270792
473,303.31,1,5.1102,21.1244,5.07171,28.8405,0.264953,0.231809,0.726335,0.0257253
474,306.268,1,5.14142,21.6667,4.92275,28.2096,0.262649,0.225939,0.762208,0.0261689
475,308.212,1,5.0808,21.5666,4.88713,28.7826,0.274106,0.221174,0.756826,0.0261221
476,301.208,1,5.09361,21.4669,4.70604,27.5234,0.267165,0.215574,0.737663,0.0255811
477,296.709,1,5.12976,21.476,5.05875,27.3298,0.266801,0.210115,0.769861,0.0249092
478,299.095,1,5.10356,21.4693,5.07261,28.312,0.270106,0.216385,0.788856,0.0249289
479,302.923,1,5.10186,21.539,4.76343,27.4936,0.270752,0.21883,0.771876,0.0254591
480,296.63,1,5.12703,21.6523,4.76363,27.2144,0.263896,0.223071,0.772364,0.0247034
481,294.586,1,5.11991,21.9266,4.88282,27.9373,0.269763,0.217422,0.761728,0.0245547
482,295.7,1,5.13765,21.8449,4.90169,28.3519,0.269278,0.213257,0.742441,0.02495
483,294.758,1,5.1555,21.7384,5.06243,29.1493,0.264049,0.208675,0.723642,0.0249931
484,293.728,1,5.12817,21.3811,4.97742,28.9672,0.262891,0.210397,0.706775,0.0248747
485,293.396,1,5.13261,21.8743,4.85086,28.8993,0.267224,0.208332,0.697551,0.0248466
486,294.926,1,5.13366,21.7169,4.74599,27.4091,0.264578,0.213074,0.679888,0.025184
487,300.097,1,5.12481,21.7308,4.93176,27.0879,0.267072,0.222644,0.6715,0.0255855
488,304.568,1,5.15043,21.6998,5.03191,26.9821,0.263472,0.217006,0.677346,0.0265142
489,301.802,1,5.12687,21.5831,5.04371,27.4037,0.258207,0.221402,0.680236,0.02593
490,302.934,1,5.16363,21.5311,5.19298,26.162,0.254855,0.223624,0.710941,0.0259914
491,306.077,1,5.13515,21.6858,5.0128,26.7343,0.259624,0.233064,0.692939,0.0264252
492,306.287,1,5.14587,21.5968,4.65595,25.5751,0.25609,0.239904,0.675394,0.0267307
493,310.045,1,5.08899,21.6967,4.52959,26.694,0.251335,0.235077,0.658292,0.0271799
494,299.686,1,5.09615,21.9897,4.66454,28.8629,0.256032,0.229124,0.641624,0.0263042
495,300.96,1,5.07842,21.5861,4.5614,27.8933,0.260104,0.223323,0.625378,0.0265481
496,296.609,1,5.06216,21.6216,4.60389,28.5688,0.261024,0.217668,0.61362,0.0257076
497,306.372,1,5.05052,21.7346,4.42326,28.5912,0.258756,0.212414,0.620463,0.0270161
498,300.264,1,5.06272,22.0292,4.52286,28.4348,0.262838,0.207036,0.616158,0.0264201
499,297.466,1,5.1,21.8422,4.42924,28.5903,0.259947,0.204013,0.61633,0.0260249
500,293.105,2,5.09726,22.0241,4.47387,29.2827,0.258159,0.201967,0.636879,0.0253677
501,287.931,2,5.10581,21.6936,4.56044,27.9101,0.25821,0.220758,0.669891,0.0241826
502,292.295,2,5.12182,22.0192,4.71896,29.0003,0.258947,0.235959,0.70922,0.0243162
503,291.234,2,5.10582,21.8384,4.80446,30.0444,0.262655,0.209279,0.692503,0.0246334
504,289.4,2,5.11545,22.1238,4.85138,29.6184,0.255534,0.188257,0.716165,0.024771
505,290.159,2,5.09075,21.4041,5.05201,31.0928,0.262003,0.196292,0.750668,0.0243999
506,289.43,2,5.09065,21.4093,5.05385,31.6998,0.260951,0.196756,0.734912,0.0244028
507,294.477,2,5.06289,21.3278,4.83025,31.2519,0.269631,0.185708,0.715474,0.0251539
508,297.658,2,5.06013,21.3709,4.69039,30.6858,0.268477,0.200716,0.71403,0.0253018
509,289.727,2,5.0855,21.8297,4.48333,31.1408,0.267518,0.199745,0.659445,0.0249224
510,291.964,2,5.10246,21.6765,4.56126,30.2885,0.261896,0.19627,0.694394,0.0249589
511,297.196,2,5.13181,21.6574,4.89199,31.6653,0.263068,0.206055,0.727384,0.0251387
512,299.559,2,5.14367,21.6003,5.006,29.8988,0.260289,0.209924,0.730639,0.025438
513,291.887,2,5.13143,21.522,4.98963,30.1138,0.265045,0.217364,0.716037,0.0247394
514,291.028,2,5.11981,21.8324,4.87234,29.4456,0.265326,0.21063,0.679457,0.0247702
515,298.582,2,5.11528,22.0241,4.82803,28.8518,0.269262,0.213436,0.646998,0.0253501
516,297.808,2,5.11854,22.145,4.72266,28.6085,0.267787,0.21337,0.60373,0.0257659
517,305.777,2,5.11067,22.1293,4.6508,27.9903,0.266249,0.214918,0.631623,0.0262122
518,302.843,2,5.11709,22.0506,4.76603,27.8898,0.264674,0.216028,0.639489,0.0262485
519,300.653,2,5.1214,21.9782,4.81507,28.0262,0.262603,0.213252,0.631928,0.0262634
520,299.459,2,5.12607,21.8434,4.82016,28.0662,0.26006,0.206662,0.61553,0.0264051
521,301.145,2,5.12617,21.6705,4.98009,28.1418,0.263967,0.202048,0.630835,0.0263699
522,299.745,2,5.12693,21.4482,5.00213,27.9341,0.263405,0.202501,0.641677,0.026245
523,296.568,2,5.11851,21.3625,4.99601,27.2294,0.265124,0.200058,0.622351,0.0261658
524,296.292,2,5.11044,21.4314,4.94084,27.5668,0.265327,0.198848,0.618071,0.0260766
525,287.682,2,5.10433,21.2748,4.87737,27.5148,0.263721,0.196106,0.622347,0.0256507
526,297.431,2,5.10151,21.4548,4.8633,27.5357,0.263709,0.197904,0.628758,0.0257044
527,304.397,2,5.10225,21.4628,4.92504,27.9174,0.264301,0.204238,0.651785,0.0258141
528,298.595,2,5.11016,21.3785,4.91398,27.8671,0.261898,0.206658,0.648778,0.0258519
529,298.825,2,5.10974,21.1846,4.84128,27.8435,0.263431,0.213651,0.637882,0.0258023
530,299.186,2,5.1076,21.0792,4.8865,27.4934,0.264268,0.213571,0.639985,0.0257999
531,292.632,2,5.11011,21.1002,4.88572,27.2427,0.262589,0.213669,0.643344,0.0256114
532,296.735,2,5.11255,21.2094,4.9094,27.1946,0.264306,0.215072,0.648344,0.025519
533,292.435,2,5.1162,21.2962,4.9674,27.1404,0.264198,0.212972,0.645379,0.0254379
534,289.942,2,5.12097,21.2824,4.9966,27.1866,0.265071,0.213453,0.637013,0.0253094
535,298.663,2,5.12535,21.2391,5.03887,27.0015,0.264445,0.218802,0.625308,0.0253925
536,297.919,2,5.12859,21.3104,5.0495,26.7407,0.264766,0.219379,0.618604,0.0254706
537,294.744,2,5.12865,21.3797,5.02621,26.7132,0.265785,0.216808,0.616545,0.0254882
538,302.639,2,5.13118,21.422,5.06887,26.5564,0.265512,0.215441,0.623712,0.0256115
539,305.497,2,5.12731,21.4803,5.03089,26.4809,0.265651,0.214574,0.618157,0.0258168
540,295.625,2,5.12705,21.4882,5.02518,26.5143,0.264956,0.214593,0.615124,0.025797
541,293.251,2,5.12574,21.4407,5.04699,26.5222,0.265209,0.21574,0.61187,0.0257125
542,289.577,2,5.12506,21.4315,5.04658,26.4502,0.264708,0.215674,0.607417,0.0256245
543,294.882,2,5.12473,21.4063,5.00997,26.5452,0.264108,0.215472,0.607904,0.0256173
544,292.299,2,5.12297,21.4069,4.98203,26.6615,0.264804,0.216718,0.612024,0.0255086
545,292.221,2,5.12459,21.4637,4.95334,26.7374,0.264955,0.218411,0.611501,0.0254402
546,293.63,2,5.12412,21.4915,4.94227,26.8689,0.265638,0.218603,0.611416,0.0254079
547,295.736,2,5.12488,21.5126,4.95879,26.8849,0.265336,0.218869,0.616996,0.025379
548,292.919,2,5.12331,21.534,4.94247,26.9229,0.265281,0.21788,0.619776,0.0253535
549,296.886,2,5.12135,21.5454,4.92872,26.926,0.265166,0.21727,0.619726,0.0253815
550,295.791,2,5.12148,21.5865,4.90368,27.006,0.264703,0.217271,0.61967,0.0253944
551,299.003,2,5.12092,21.5802,4.89897,27.014,0.264443,0.217421,0.620214,0.0254014
552,300.39,2,5.1201,21.5744,4.89617,27.0193,0.26449,0.217695,0.620451,0.0254069
553,306.021,2,5.11965,21.5681,4.89606,27.0195,0.264371,0.217852,0.621631,0.0254248
554,301.053,2,5.11917,21.5655,4.89391,27.0263,0.264308,0.218197,0.621712,0.0254323
555,291.045,2,5.11913,21.577,4.88987,27.0251,0.264226,0.218155,0.62113,0.0254261
556,293.855,2,5.11876,21.5913,4.88585,27.0549,0.26424,0.218109,0.620506,0.0254255
557,289.635,2,5.1181,21.5958,4.87993,27.0738,0.264121,0.218047,0.619657,0.0254183
558,291.739,2,5.11771,21.5975,4.87603,27.0962,0.26397,0.218212,0.618705,0.0254138
559,291.966,2,5.11737,21.6014,4.87467,27.1307,0.263938,0.2184,0.618162,0.0254053
560,296.791,2,5.1165,21.5973,4.87222,27.168,0.264045,0.218185,0.618417,0.0254081
561,292.632,2,5.11605,21.5972,4.87108,27.1847,0.264081,0.217911,0.618613,0.0254042
562,292.14,2,5.11557,21.5966,4.87015,27.2038,0.264196,0.217716,0.619319,0.0253942
563,294.13,2,5.11506,21.6016,4.86478,27.2186,0.264285,0.217633,0.618891,0.0253945
564,291.961,2,5.11474,21.6074,4.85988,27.247,0.264311,0.217446,0.618554,0.0253922
565,294.575,2,5.1146,21.6101,4.85716,27.2678,0.264268,0.217374,0.618819,0.0253911
566,295.677,2,5.11411,21.6113,4.85503,27.2672,0.264216,0.217387,0.619197,0.0253894
567,286.663,2,5.11407,21.606,4.85485,27.2827,0.264146,0.217115,0.619175,0.025378
568,292.399,2,5.11393,21.6017,4.85736,27.298,0.264158,0.216878,0.619665,0.0253734
569,293.946,2,5.11386,21.6038,4.85883,27.2885,0.264253,0.216654,0.620512,0.0253688
570,292.872,2,5.11414,21.6064,4.8614,27.3066,0.264179,0.216679,0.620971,0.0253625
571,291.345,2,5.11366,21.6076,4.85522,27.3224,0.264053,0.216617,0.620082,0.0253633
