Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
12.25,0.657143,55.3484,0.657143,12.7784,0.657143,85.8074,0.664286,0.298158,0.657143,0.526446,0.657143,All
12.2875,0.664286,55.3484,0.664286,12.7784,0.664286,86.3321,0.671429,0.298158,0.664286,0.526446,0.664286,All
12.2907,0.671429,55.3484,0.671429,12.7784,0.671429,86.9521,0.678571,0.298158,0.671429,0.526446,0.671429,All
12.3921,0.678571,55.3484,0.678571,12.7784,0.678571,86.9832,0.685714,0.298158,0.678571,0.526446,0.678571,All
12.4384,0.685714,55.3484,0.685714,12.7784,0.685714,87.8459,0.692857,0.298158,0.685714,0.526446,0.685714,All
12.471,0.692857,55.3484,0.692857,12.7784,0.692857,89.6174,0.7,0.298158,0.692857,0.526446,0.692857,All
12.5075,0.7,55.3484,0.7,12.7784,0.7,90.5357,0.707143,0.298158,0.7,0.526446,0.7,All
12.5592,0.707143,55.3484,0.707143,12.7784,0.707143,92.2946,0.714286,0.298158,0.707143,0.526446,0.707143,All
12.607,0.714286,55.3484,0.714286,12.7784,0.714286,93.0527,0.721429,0.298158,0.714286,0.526446,0.714286,All
12.6216,0.721429,55.3484,0.721429,12.7784,0.721429,93.4144,0.728571,0.298158,0.721429,0.526446,0.721429,All
12.6275,0.728571,55.3484,0.728571,12.7784,0.728571,93.8028,0.735714,0.298158,0.728571,0.526446,0.728571,All
12.6503,0.735714,55.3484,0.735714,12.7784,0.735714,94.9676,0.742857,0.298158,0.735714,0.526446,0.735714,All
12.7262,0.742857,55.3484,0.742857,12.7784,0.742857,97.4295,0.75,0.298158,0.742857,0.526446,0.742857,All
12.771,0.75,55.3484,0.75,12.7784,0.75,98.1808,0.757143,0.298158,0.75,0.526446,0.75,All
12.7869,0.757143,55.3484,0.757143,12.7784,0.757143,100.488,0.764286,0.298158,0.757143,0.526446,0.757143,All
12.8088,0.764286,55.3484,0.764286,12.7784,0.764286,102.249,0.771429,0.298158,0.764286,0.526446,0.764286,All
12.8218,0.771429,55.3484,0.771429,12.7784,0.771429,103.06,0.778571,0.298158,0.771429,0.526446,0.771429,All
12.8573,0.778571,55.3484,0.778571,12.7784,0.778571,105.047,0.785714,0.298158,0.778571,0.526446,0.778571,All
12.9317,0.785714,55.3484,0.785714,12.7784,0.785714,105.048,0.792857,0.298158,0.785714,0.526446,0.785714,All
12.9725,0.792857,55.3484,0.792857,12.7784,0.792857,105.287,0.8,0.298158,0.792857,0.526446,0.792857,All
13.0645,0.8,55.3484,0.8,12.7784,0.8,106.121,0.807143,0.298158,0.8,0.526446,0.8,All
13.0678,0.807143,55.3484,0.807143,12.7784,0.807143,106.633,0.814286,0.298158,0.807143,0.526446,0.807143,All
13.1168,0.814286,55.3484,0.814286,12.7784,0.814286,107.618,0.821429,0.298158,0.814286,0.526446,0.814286,All
13.1823,0.821429,55.3484,0.821429,12.7784,0.821429,112.176,0.828571,0.298158,0.821429,0.526446,0.821429,All
13.2134,0.828571,55.3484,0.828571,12.7784,0.828571,116.227,0.835714,0.298158,0.828571,0.526446,0.828571,All
13.2135,0.835714,55.3484,0.835714,12.7784,0.835714,116.794,0.842857,0.298158,0.835714,0.526446,0.835714,All
13.236,0.842857,55.3484,0.842857,12.7784,0.842857,120.983,0.85,0.298158,0.842857,0.526446,0.842857,All
13.2463,0.85,55.3484,0.85,12.7784,0.85,123.338,0.857143,0.298158,0.85,0.526446,0.85,All
13.3707,0.857143,55.3484,0.857143,12.7784,0.857143,127.629,0.864286,0.298158,0.857143,0.526446,0.857143,All
13.3955,0.864286,55.3484,0.864286,12.7784,0.864286,128.755,0.871429,0.298158,0.864286,0.526446,0.864286,All
13.4764,0.871429,55.3484,0.871429,12.7784,0.871429,131.154,0.878571,0.298158,0.871429,0.526446,0.871429,All
13.5399,0.878571,55.3484,0.878571,12.7784,0.878571,132.393,0.885714,0.298158,0.878571,0.526446,0.878571,All
13.6689,0.885714,55.3484,0.885714,12.7784,0.885714,132.683,0.892857,0.298158,0.885714,0.526446,0.885714,All
13.6887,0.892857,55.3484,0.892857,12.7784,0.892857,138.086,0.9,0.298158,0.892857,0.526446,0.892857,All
13.8022,0.9,55.3484,0.9,12.7784,0.9,209.084,0.907143,0.298158,0.9,0.526446,0.9,All
13.8531,0.907143,55.3484,0.907143,12.7784,0.907143,226.173,0.914286,0.298158,0.907143,0.526446,0.907143,All
13.8665,0.914286,55.3484,0.914286,12.7784,0.914286,231.569,0.921429,0.298158,0.914286,0.526446,0.914286,All
13.9755,0.921429,55.3484,0.921429,12.7784,0.921429,259.136,0.928571,0.298158,0.921429,0.526446,0.921429,All
13.9837,0.928571,55.3484,0.928571,12.7784,0.928571,284.549,0.935714,0.298158,0.928571,0.526446,0.928571,All
14.0246,0.935714,55.3484,0.935714,12.7784,0.935714,327.488,0.942857,0.298158,0.935714,0.526446,0.935714,All
14.136,0.942857,55.3484,0.942857,12.7784,0.942857,337.762,0.95,0.298158,0.942857,0.526446,0.942857,All
14.4564,0.95,55.3484,0.95,12.7784,0.95,337.994,0.957143,0.298158,0.95,0.526446,0.95,All
14.5413,0.957143,55.3484,0.957143,12.7784,0.957143,364.816,0.964286,0.298158,0.957143,0.526446,0.957143,All
14.7672,0.964286,55.3484,0.964286,12.7784,0.964286,394.509,0.971429,0.298158,0.964286,0.526446,0.964286,All
14.8183,0.971429,55.3484,0.971429,12.7784,0.971429,460.416,0.978571,0.298158,0.971429,0.526446,0.971429,All
15.2749,0.978571,55.3484,0.978571,12.7784,0.978571,476.376,0.985714,0.298158,0.978571,0.526446,0.978571,All
16.2163,0.985714,55.3484,0.985714,12.7784,0.985714,534.124,0.992857,0.298158,0.985714,0.526446,0.985714,All
16.2199,0.992857,55.3484,0.992857,12.7784,0.992857,1441.56,1,0.298158,0.992857,0.526446,0.992857,All
16.7828,1,55.3484,1,12.7784,1,1441.56,1,0.298158,1,0.526446,1,All
28.1045,1,55.371,1,12.7825,1,1441.56,1,0.298233,1,0.526685,1,All
