iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
133,285.755,1,2.74788,0.665168,24.779,5.47913,339.396,0.347663,0.216318,0.238205,0.135279,0.0277057
134,289.971,1,2.75735,0.604641,24.6087,5.6133,339.594,0.341219,0.217509,0.253129,0.182898,0.0281678
135,295.75,1,2.75128,0.624348,24.3261,5.67024,338.633,0.338463,0.222547,0.24672,0.219862,0.0291403
136,287.511,1,2.74146,0.657817,24.8253,5.72137,337.839,0.347055,0.218147,0.240473,0.154078,0.0280031
137,294.704,1,2.75694,0.6061,24.5911,5.86359,335.793,0.338268,0.222413,0.270901,0.0715764,0.0285515
138,291.932,1,2.76589,0.598204,24.9669,5.8318,336.121,0.341166,0.230854,0.266356,0.172001,0.0280344
139,285.041,1,2.74037,0.708955,24.987,5.68223,338.025,0.350208,0.237039,0.259612,0.239227,0.0276195
140,280.099,1,2.77427,0.710987,25.0672,5.70387,334.295,0.34134,0.232792,0.253038,0.187314,0.026871
141,278.823,1,2.80281,0.655624,24.8533,5.44088,332.14,0.334667,0.238521,0.246631,0.220289,0.0267796
142,275.175,1,2.78745,0.691526,24.489,5.64467,329.773,0.333798,0.23303,0.240386,0.197807,0.0262462
143,280.509,1,2.77552,0.682245,24.5777,5.59511,328.098,0.333104,0.23441,0.2343,0.107124,0.0268836
144,287.055,1,2.82204,0.549242,24.5747,5.5279,329.572,0.32467,0.229975,0.239096,0.0852544,0.0280905
145,289.077,1,2.81385,0.601709,24.8898,5.47156,329.54,0.316449,0.236195,0.233042,0.0514212,0.0285496
146,288.136,1,2.83851,0.61885,24.8905,5.40183,327.062,0.322997,0.242268,0.227141,0.149965,0.0283269
147,289.774,1,2.84615,0.649203,24.8938,5.35432,326.295,0.314818,0.238551,0.233321,0.0739823,0.0283722
148,281.741,1,2.84992,0.603904,24.4442,5.32976,322.981,0.324414,0.232511,0.228282,0.173852,0.0273284
149,280.641,1,2.86819,0.633245,24.8659,5.50761,322.792,0.327525,0.233326,0.222501,0.221098,0.0273327
150,280.767,1,2.8509,0.647945,24.6725,5.54013,321.846,0.343598,0.229791,0.216868,0.280841,0.0275863
151,284.044,1,2.85319,0.639019,24.6836,5.55351,321.658,0.334898,0.223972,0.232558,0.181677,0.0277257
152,291.218,1,2.83788,0.610864,24.339,5.60999,323.857,0.326418,0.218301,0.247463,0.153765,0.028673
153,287.483,1,2.85653,0.583431,24.6111,5.57961,321.801,0.325525,0.222075,0.241197,0.112703,0.0282909
154,282.46,1,2.88718,0.571087,24.5755,5.43924,318.407,0.317282,0.216452,0.23509,0.125562,0.0278816
155,287.233,1,2.85019,0.623938,24.3524,5.5644,317.785,0.32325,0.226904,0.23351,0.136668,0.0280881
156,285.838,1,2.8429,0.602181,24.0884,5.48988,319.461,0.31918,0.221159,0.227598,0.186019,0.0283713
157,287.72,1,2.85412,0.696626,24.8805,5.29271,321.676,0.327679,0.230504,0.221835,0.16801,0.0283447
158,278.978,1,2.81338,0.710036,24.3167,5.44517,320.388,0.340817,0.233272,0.216218,0.12777,0.0271114
159,282.071,1,2.84657,0.623585,24.6068,5.5497,321.326,0.339466,0.232186,0.237773,0.228531,0.0270997
160,278.465,1,2.84373,0.67784,24.7801,5.54305,320.824,0.34677,0.236551,0.231753,0.239658,0.0266555
161,273.41,1,2.85925,0.665854,24.7181,5.51174,320.323,0.337989,0.230562,0.225885,0.109794,0.0264908
162,282.198,1,2.91171,0.594842,24.9108,5.46906,316.82,0.329431,0.229688,0.222381,0.039734,0.0277161
163,284.969,1,2.90081,0.531535,24.5565,5.37868,317.315,0.32109,0.237161,0.237711,0.102783,0.0276802
164,283.643,1,2.90479,0.588025,24.8048,5.48118,317.191,0.313964,0.24897,0.232088,0.177342,0.0274065
165,279.241,1,2.89094,0.59962,24.2973,5.51756,317.438,0.319297,0.242666,0.250459,0.186951,0.0265464
166,278.231,1,2.87693,0.637402,24.06,5.38409,316.57,0.321995,0.236521,0.244117,0.229603,0.0267969
167,280.419,1,2.87764,0.664447,24.6582,5.33962,317.807,0.317902,0.243033,0.237993,0.175968,0.0268784
168,284.833,1,2.87232,0.697566,24.7414,5.40369,318.428,0.330555,0.23688,0.231967,0.210584,0.0277534
169,285.606,1,2.89374,0.629757,24.3503,5.43057,317.464,0.322185,0.230882,0.236281,0.144193,0.0282349
170,287.75,1,2.86265,0.66142,24.681,5.45633,321.494,0.326184,0.230306,0.230298,0.200913,0.0282566
171,292.268,1,2.86563,0.621293,24.6307,5.67039,321.494,0.338424,0.240385,0.224467,0.218666,0.0287061
172,295.81,1,2.84531,0.663497,24.6133,5.53151,322.122,0.34572,0.234298,0.247748,0.25393,0.0289471
173,296.553,1,2.86162,0.671509,24.8297,5.453,323.034,0.336966,0.228365,0.276056,0.23504,0.0288827
174,287.024,1,2.83268,0.715765,24.7864,5.50686,323.981,0.328434,0.222583,0.275145,0.146292,0.0276408
175,288.381,1,2.87895,0.640825,24.9309,5.53272,322.399,0.324283,0.223903,0.268178,0.19871,0.0281314
176,283.987,1,2.90587,0.643622,25.0164,5.65813,318.684,0.316072,0.230299,0.261387,0.137598,0.027522
177,281.244,1,2.88272,0.603808,24.5438,5.6,320.209,0.314204,0.235109,0.272076,0.244709,0.026745
