iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
118,831.204,1,5.34443,24.9814,6.58501,26.0658,0.212324,0.245368,0.792237,0.295489,0.233394,0.0647693
119,832.674,1,5.35313,25.2126,6.4796,26.3827,0.20981,0.250335,0.797641,0.308596,0.233722,0.0643475
120,819.903,1,5.35466,24.6857,6.59875,25.7996,0.210464,0.243997,0.810781,0.300782,0.230871,0.0627182
121,827.527,1,5.35654,24.1435,6.97562,26.0188,0.212295,0.237819,0.790251,0.31435,0.235107,0.0635498
122,822.67,1,5.34215,24.523,6.79605,23.459,0.212136,0.231797,0.770242,0.306391,0.234989,0.0629144
123,829.557,1,5.34187,24.3993,6.68809,22.9274,0.213928,0.226465,0.774011,0.298633,0.234222,0.0651342
124,825.835,1,5.34215,24.4014,6.711,23.8212,0.208511,0.222606,0.76844,0.291071,0.232123,0.065437
125,825.137,1,5.32209,24.338,6.65318,24.4014,0.206605,0.23109,0.774881,0.283701,0.231249,0.0649994
126,824.573,1,5.32721,24.4322,6.45497,24.0947,0.207086,0.225239,0.807497,0.276518,0.228195,0.0659029
127,831.062,1,5.33633,24.5025,6.58696,24.8718,0.201843,0.223244,0.817637,0.269516,0.231386,0.0672523
128,823.723,1,5.35476,24.0067,6.72999,25.0744,0.207462,0.217591,0.832195,0.294072,0.230062,0.0655494
129,826.291,1,5.35031,24.2243,6.98336,23.7742,0.204832,0.219673,0.811151,0.32755,0.228715,0.0643647
130,823.353,1,5.33847,24.6273,6.69342,23.393,0.201924,0.226547,0.790612,0.319257,0.230725,0.063887
131,825.929,1,5.31307,24.4337,6.60998,25.1978,0.204632,0.228752,0.803345,0.317072,0.230453,0.0637856
132,828.467,1,5.31715,23.6185,6.87643,25.01,0.206949,0.236784,0.863291,0.343449,0.233935,0.0621706
133,823.221,1,5.34509,23.8629,6.70486,25.673,0.212395,0.230789,0.893088,0.334753,0.23103,0.0621502
134,834.641,1,5.31955,24.3341,6.62297,25.8752,0.209958,0.231843,0.892748,0.342056,0.231276,0.0643875
135,829.685,1,5.33857,24.3383,6.71619,25.5592,0.210736,0.225973,0.870143,0.35671,0.230032,0.063486
136,831.886,1,5.30117,24.6849,6.44099,23.9836,0.2054,0.221871,0.848111,0.352023,0.235253,0.0638952
137,824.396,1,5.31743,24.2855,6.59095,22.7435,0.20244,0.216253,0.836097,0.34311,0.235344,0.0631293
138,818.35,1,5.29751,24.3262,6.12677,21.9196,0.207195,0.233548,0.814927,0.334422,0.231639,0.0619066
139,819.373,1,5.32429,24.5269,6.2564,22.6972,0.207034,0.250593,0.824915,0.325954,0.234107,0.0608454
140,826.794,1,5.33037,24.652,6.11687,23.4438,0.20294,0.248333,0.804758,0.326587,0.236089,0.0616058
141,830.051,1,5.32698,24.6642,6.0904,22.3684,0.207648,0.259178,0.784381,0.318317,0.235309,0.0630841
142,833.806,1,5.32212,24.7009,5.99665,21.702,0.203946,0.252615,0.770376,0.342831,0.232072,0.0653608
143,830.39,1,5.31715,25.4148,5.88332,23.2927,0.203581,0.246219,0.764431,0.341661,0.23033,0.0645822
144,820.589,1,5.3366,25.0983,5.96906,22.7418,0.204154,0.243381,0.775133,0.33301,0.236439,0.0629469
145,830.6,1,5.36894,25.093,6.35648,22.5899,0.20427,0.249811,0.801939,0.337753,0.233558,0.0631094
146,828.395,1,5.34876,24.4541,6.34154,22.2104,0.204135,0.243485,0.781634,0.351568,0.235239,0.0623462
147,821.264,1,5.34054,24.4167,6.25858,22.885,0.207753,0.23732,0.768116,0.342666,0.232888,0.0631553
148,821.466,1,5.33327,24.5142,6.23368,22.5027,0.208732,0.250097,0.748667,0.333989,0.235728,0.0615562
149,820.725,1,5.31815,24.6414,6.35636,22.4261,0.209382,0.247022,0.72971,0.325532,0.229893,0.0628325
150,824.023,1,5.30654,24.0644,6.63147,21.9464,0.208944,0.248283,0.75763,0.331066,0.231076,0.0622164
151,820.937,1,5.35085,24.3512,6.58,21.9371,0.207026,0.241996,0.775979,0.339483,0.235407,0.0606411
152,821.424,1,5.33006,24.4694,6.63211,21.9567,0.211115,0.235869,0.756649,0.330887,0.229447,0.0638409
153,823.951,1,5.36839,24.3773,7.3646,22.1022,0.205769,0.229896,0.781471,0.334796,0.227607,0.0639047
154,819.581,1,5.33189,23.7241,6.82615,23.8583,0.204947,0.224405,0.761684,0.326319,0.233625,0.0624286
155,821.301,1,5.32712,23.8555,7.05586,22.5666,0.205755,0.224594,0.742397,0.318057,0.227709,0.0650062
