fi_abscissa,fi_cdf,Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
1.09425,0.821429,12.6361,0.821429,51.6673,0.821429,15.7118,0.821429,76.2144,0.828571,3.65167,0.821429,1.74978,0.821429,All
1.10526,0.828571,12.6502,0.828571,51.8061,0.828571,15.7118,0.828571,82.5155,0.835714,3.65167,0.828571,1.74978,0.828571,All
1.11471,0.835714,12.6634,0.835714,52.0312,0.835714,15.7118,0.835714,82.9437,0.842857,3.65167,0.835714,1.74978,0.835714,All
1.11506,0.842857,12.706,0.842857,52.1732,0.842857,15.7118,0.842857,83.3197,0.85,3.65167,0.842857,1.74978,0.842857,All
1.12052,0.85,12.7117,0.85,52.2817,0.85,15.7118,0.85,84.0617,0.857143,3.65167,0.85,1.74978,0.85,All
1.12062,0.857143,12.7562,0.857143,52.3522,0.857143,15.7118,0.857143,85.1055,0.864286,3.65167,0.857143,1.74978,0.857143,All
1.12327,0.864286,12.7633,0.864286,52.4662,0.864286,15.7118,0.864286,85.9685,0.871429,3.65167,0.864286,1.74978,0.864286,All
1.12701,0.871429,12.7651,0.871429,54.4776,0.871429,15.7118,0.871429,88.6817,0.878571,3.65167,0.871429,1.74978,0.871429,All
1.13097,0.878571,12.7777,0.878571,54.6239,0.878571,15.7118,0.878571,92.5411,0.885714,3.65167,0.878571,1.74978,0.878571,All
1.14149,0.885714,12.8282,0.885714,54.8252,0.885714,15.7118,0.885714,92.7603,0.892857,3.65167,0.885714,1.74978,0.885714,All
1.14888,0.892857,12.8821,0.892857,55.0567,0.892857,15.7118,0.892857,94.4563,0.9,3.65167,0.892857,1.74978,0.892857,All
1.1516,0.9,12.9217,0.9,55.0996,0.9,15.7118,0.9,95.4732,0.907143,3.65167,0.9,1.74978,0.9,All
1.15886,0.907143,12.9252,0.907143,55.4342,0.907143,15.7118,0.907143,98.3597,0.914286,3.65167,0.907143,1.74978,0.907143,All
1.16691,0.914286,13.0988,0.914286,55.5968,0.914286,15.7118,0.914286,100.718,0.921429,3.65167,0.914286,1.74978,0.914286,All
1.17122,0.921429,13.1366,0.921429,57.2235,0.921429,15.7118,0.921429,103.739,0.928571,3.65167,0.921429,1.74978,0.921429,All
1.17581,0.928571,13.3099,0.928571,58.0377,0.928571,15.7118,0.928571,104.147,0.935714,3.65167,0.928571,1.74978,0.928571,All
1.17856,0.935714,13.4653,0.935714,63.5647,0.935714,15.7118,0.935714,104.978,0.942857,3.65167,0.935714,1.74978,0.935714,All
1.18993,0.942857,13.4997,0.942857,66.4065,0.942857,15.7118,0.942857,105.605,0.95,3.65167,0.942857,1.74978,0.942857,All
1.19086,0.95,13.5956,0.95,67.6239,0.95,15.7118,0.95,106.232,0.957143,3.65167,0.95,1.74978,0.95,All
1.19201,0.957143,13.654,0.957143,67.7226,0.957143,15.7118,0.957143,107.164,0.964286,3.65167,0.957143,1.74978,0.957143,All
1.21238,0.964286,13.8325,0.964286,68.2293,0.964286,15.7118,0.964286,114.42,0.971429,3.65167,0.964286,1.74978,0.964286,All
1.21759,0.971429,14.0235,0.971429,69.3878,0.971429,15.7118,0.971429,133.939,0.978571,3.65167,0.971429,1.74978,0.971429,All
1.21912,0.978571,14.5042,0.978571,69.463,0.978571,15.7118,0.978571,137.037,0.985714,3.65167,0.978571,1.74978,0.978571,All
1.23941,0.985714,14.6663,0.985714,69.7683,0.985714,15.7118,0.985714,187.033,0.992857,3.65167,0.985714,1.74978,0.985714,All
1.27869,0.992857,14.7434,0.992857,73.0301,0.992857,15.7118,0.992857,333.061,1,3.65167,0.992857,1.74978,0.992857,All
1.31097,1,14.953,1,73.743,1,15.7118,1,333.061,1,3.65167,1,1.74978,1,All
2.24175,1,27.8627,1,111.97,1,15.7178,1,333.061,1,3.65305,1,1.75053,1,All
