trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
129.032,1.43739,1.57819,62.0202,1.62873,1.63785,-0.167818,1.71721,1.55158,129.032,1.43349,1.79207,62.0202,1.72035,1.75971,-0.167818,1.28956,1.80744,129.032,2.93487,3.01763,62.0202,2.91843,3.02158,-0.167818,3.10893,3.01038,129.032,3.08561,3.19557,62.0202,3.03155,3.19364,-0.167818,3.16953,3.19844,All
130.049,1.4714,1.58231,62.3434,1.62772,1.64138,-0.160652,1.72777,1.556,130.049,1.49023,1.78988,62.3434,1.74383,1.76146,-0.160652,1.41033,1.80503,130.049,2.93144,3.01791,62.3434,2.92353,3.02243,-0.160652,3.10515,3.01096,130.049,3.0751,3.19543,62.3434,3.04505,3.19324,-0.160652,3.16,3.1982,All
131.067,1.50542,1.58642,62.6667,1.62671,1.64491,-0.153486,1.73834,1.56042,131.067,1.54697,1.78769,62.6667,1.76731,1.76321,-0.153486,1.5311,1.80261,131.067,2.92802,3.01819,62.6667,2.92863,3.02329,-0.153486,3.10137,3.01153,131.067,3.06459,3.1953,62.6667,3.05856,3.19284,-0.153486,3.15048,3.19795,All
132.084,1.53944,1.59054,62.9899,1.6257,1.64844,-0.14632,1.7489,1.56485,132.084,1.60371,1.78549,62.9899,1.79079,1.76496,-0.14632,1.65187,1.80019,132.084,2.92459,3.01847,62.9899,2.93373,3.02414,-0.14632,3.09759,3.01211,132.084,3.05408,3.19516,62.9899,3.07207,3.19244,-0.14632,3.14095,3.1977,All
133.101,1.57345,1.59465,63.3131,1.62468,1.65197,-0.139154,1.70917,1.56927,133.101,1.66044,1.7833,63.3131,1.81427,1.76671,-0.139154,1.69255,1.79778,133.101,2.92117,3.01875,63.3131,2.93883,3.02499,-0.139154,3.07599,3.01269,133.101,3.04357,3.19503,63.3131,3.08558,3.19204,-0.139154,3.13064,3.19745,All
134.118,1.60747,1.59877,63.6364,1.62367,1.6555,-0.131988,1.48654,1.57369,134.118,1.71718,1.78111,63.6364,1.83775,1.76846,-0.131988,1.44195,1.79536,134.118,2.91774,3.01903,63.6364,2.94393,3.02585,-0.131988,2.98956,3.01327,134.118,3.03306,3.19489,63.6364,3.09909,3.19163,-0.131988,3.11751,3.19721,All
135.135,1.62832,1.60288,63.9596,1.62266,1.65903,-0.124823,1.37629,1.57811,135.135,1.81783,1.77892,63.9596,1.86124,1.77021,-0.124823,1.32515,1.79294,135.135,2.96727,3.01931,63.9596,2.94903,3.0267,-0.124823,2.94002,3.01384,135.135,3.06645,3.19475,63.9596,3.11259,3.19123,-0.124823,3.1059,3.19696,All
136.153,1.6463,1.607,64.2828,1.62165,1.66256,-0.117657,1.40781,1.58253,136.153,1.92804,1.77672,64.2828,1.88472,1.77196,-0.117657,1.37714,1.79053,136.153,3.02832,3.01959,64.2828,2.95413,3.02755,-0.117657,2.937,3.01442,136.153,3.1094,3.19462,64.2828,3.1261,3.19083,-0.117657,3.09619,3.19671,All
137.17,1.66428,1.61112,64.6061,1.62064,1.66609,-0.110491,1.43933,1.58695,137.17,2.03825,1.77453,64.6061,1.9082,1.77371,-0.110491,1.42913,1.78811,137.17,3.08938,3.01987,64.6061,2.95923,3.02841,-0.110491,2.93398,3.015,137.17,3.15235,3.19448,64.6061,3.13961,3.19043,-0.110491,3.08648,3.19646,All
138.187,1.68226,1.61523,64.9293,1.61962,1.66962,-0.103325,1.47085,1.59138,138.187,2.14846,1.77234,64.9293,1.93168,1.77546,-0.103325,1.48111,1.78569,138.187,3.15043,3.02014,64.9293,2.96433,3.02926,-0.103325,2.93096,3.01558,138.187,3.1953,3.19435,64.9293,3.15312,3.19003,-0.103325,3.07677,3.19621,All
139.204,1.70024,1.61935,65.2525,1.61861,1.67315,-0.096159,1.50237,1.5958,139.204,2.25867,1.77014,65.2525,1.95516,1.77721,-0.096159,1.5331,1.78328,139.204,3.21148,3.02042,65.2525,2.96943,3.03011,-0.096159,2.92794,3.01615,139.204,3.23824,3.19421,65.2525,3.16663,3.18963,-0.096159,3.06706,3.19597,All
