iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
133,763.761,1,5.3166,0.613849,20.1239,6.89256,22.5176,0.2136,0.292628,0.648102,0.276423,0.998743,0.301078,0.0653544
134,762.318,1,5.27322,0.61208,20.1935,6.67613,22.5542,0.211351,0.291141,0.631692,0.272846,0.998743,0.300677,0.0657476
135,767.122,1,5.29081,0.632895,20.0928,6.60063,22.4789,0.205999,0.289354,0.615697,0.270794,0.998743,0.306011,0.0662077
136,767.756,1,5.28495,0.590538,20.0734,7.05191,22.4342,0.210422,0.289386,0.616365,0.271742,0.998743,0.298263,0.0679872
137,763.629,1,5.27537,0.626644,19.9411,6.8046,22.2396,0.205261,0.291737,0.627032,0.272532,0.998743,0.300605,0.0672038
138,760.694,1,5.26601,0.606449,19.9409,6.51784,22.1969,0.203944,0.295659,0.611155,0.275942,0.998743,0.300395,0.0657907
139,764.72,1,5.27404,0.621417,19.9658,6.52442,22.1946,0.20731,0.297073,0.608284,0.277851,0.998743,0.30043,0.0657879
140,756.701,1,5.24985,0.607421,19.8828,6.42033,22.177,0.202061,0.296886,0.609523,0.276807,0.998743,0.297688,0.0652441
141,760.772,1,5.26146,0.616134,19.9071,6.79984,22.1845,0.202953,0.294363,0.626008,0.274046,0.998743,0.300328,0.0651438
142,762.008,1,5.25915,0.617793,20.2303,6.51336,22.5135,0.206873,0.296994,0.627297,0.275349,0.998743,0.303712,0.0643349
143,763.839,1,5.26376,0.628805,20.2355,6.42137,22.5058,0.211608,0.30146,0.611414,0.279529,0.998743,0.303721,0.0647489
144,759.277,1,5.24639,0.614493,20.2198,6.24655,22.4337,0.20625,0.293827,0.618022,0.274278,0.998743,0.305114,0.0643148
145,765.781,1,5.25142,0.625989,20.2009,6.34282,22.3927,0.205458,0.296167,0.625024,0.277715,0.998743,0.307034,0.0649154
146,765.724,1,5.28217,0.628663,20.0764,6.43161,22.2207,0.204408,0.296591,0.610113,0.278027,0.998743,0.307086,0.0645887
147,759.222,1,5.27634,0.630194,20.1233,6.54109,22.2523,0.205237,0.30174,0.594664,0.280229,0.998743,0.307152,0.0629533
148,759.3,1,5.26673,0.606235,20.2084,6.59432,22.2941,0.205823,0.299425,0.617834,0.277134,0.998743,0.305626,0.063932
149,762.635,1,5.25841,0.599523,20.4137,6.40279,22.5184,0.201457,0.297735,0.628699,0.274845,0.998743,0.301387,0.0646376
150,767.407,1,5.26298,0.608121,20.4143,6.61373,22.4974,0.203842,0.29831,0.662187,0.278236,0.998743,0.299232,0.0671188
151,765.151,1,5.23552,0.604215,20.458,6.31746,22.5598,0.207027,0.297969,0.651155,0.276382,0.998743,0.300713,0.066637
152,766.143,1,5.24522,0.610913,20.2642,6.46236,22.4081,0.208509,0.295295,0.66225,0.273645,0.998743,0.301225,0.0662647
153,760.497,1,5.25984,0.615764,20.2454,6.48436,22.2887,0.208907,0.291662,0.654496,0.272216,0.998743,0.304191,0.0645868
154,766.375,1,5.2708,0.618278,20.2855,6.4276,22.2848,0.206251,0.287507,0.637924,0.272726,0.998743,0.304608,0.0657374
155,775.716,1,5.29265,0.595728,20.2736,6.49504,22.2449,0.208554,0.286105,0.635103,0.271128,0.998743,0.30668,0.067664
156,770.6,1,5.30055,0.602183,20.3795,6.8207,22.3685,0.208442,0.294794,0.703831,0.275629,0.998743,0.302785,0.0668877
157,770.118,1,5.28105,0.598641,20.2927,6.64192,22.3085,0.203164,0.298926,0.68601,0.278161,0.998743,0.302233,0.0651941
158,762.031,1,5.28427,0.619044,20.2809,6.5001,22.3303,0.209442,0.30289,0.66864,0.284023,0.998743,0.299615,0.0648909
159,764.866,1,5.28309,0.618815,20.2262,6.6786,22.3092,0.205883,0.306143,0.66661,0.287746,0.998743,0.300184,0.0646174
160,768.905,1,5.28024,0.621967,20.288,6.70027,22.3066,0.210973,0.30908,0.649731,0.29135,0.998743,0.306929,0.0636766
161,769.106,1,5.30394,0.618657,20.3137,6.90488,22.3458,0.208898,0.317703,0.633279,0.299674,0.998743,0.299948,0.0660088
162,770.158,1,5.2836,0.597,20.237,6.84643,22.3715,0.208541,0.320741,0.617244,0.303177,0.998743,0.29527,0.0659508
163,769.078,1,5.29093,0.592749,20.1684,7.02402,22.3008,0.21128,0.318585,0.608732,0.297188,0.998743,0.292842,0.0678263
164,766.328,1,5.29398,0.606205,20.2929,7.17952,22.3704,0.208891,0.324621,0.655875,0.301361,0.998743,0.297691,0.0661089
165,774.283,1,5.30834,0.636998,20.2002,7.19979,22.3086,0.207166,0.322957,0.674667,0.298162,0.998743,0.300737,0.0654666
166,773.528,1,5.30389,0.613677,20.135,7.26982,22.301,0.205083,0.322592,0.672336,0.298902,0.998743,0.300149,0.066136
167,769.367,1,5.28507,0.604684,20.2142,6.93023,22.3947,0.205044,0.319904,0.71272,0.292094,0.998743,0.298812,0.0649684
168,767.116,1,5.28406,0.608411,20.042,6.95212,22.2576,0.204244,0.314738,0.694673,0.287377,0.998743,0.299202,0.0656321
169,766.13,1,5.29174,0.613307,20.1336,6.74352,22.3378,0.208658,0.316731,0.677084,0.289899,0.998743,0.300769,0.0669268
170,773.226,1,5.2589,0.649984,20.014,7.03097,22.1512,0.21429,0.318788,0.65994,0.291435,0.998743,0.304671,0.0674214
171,772.741,1,5.27252,0.633682,19.853,6.95753,21.9942,0.213137,0.316365,0.64323,0.29099,0.998743,0.30564,0.0659258
172,780.336,1,5.27961,0.630637,19.7804,7.05718,21.9332,0.211249,0.32003,0.626943,0.291632,0.998743,0.302483,0.0671648
173,775.711,1,5.2731,0.614391,19.8617,7.12405,22.0025,0.211091,0.320033,0.627772,0.292818,0.998743,0.300502,0.0678194
174,762.621,1,5.28744,0.602222,19.8378,7.14726,21.9739,0.212238,0.316084,0.636919,0.286342,0.998743,0.298321,0.0661021
175,770.969,1,5.26068,0.62299,19.7106,7.32739,21.8779,0.209994,0.313862,0.653416,0.285142,0.998743,0.300245,0.0656002
176,764.843,1,5.29768,0.630043,19.6233,7.38978,21.7897,0.209388,0.314008,0.636871,0.285552,0.998743,0.304904,0.0639392
177,761.051,1,5.29012,0.595233,19.4954,7.47105,21.7568,0.205705,0.314595,0.620745,0.285493,0.998743,0.303829,0.0634831
178,757.611,1,5.27599,0.610268,19.5755,7.10314,21.7523,0.207775,0.310271,0.623638,0.282519,0.998743,0.304192,0.0619427
179,764.495,1,5.29828,0.610275,19.5771,7.50956,21.7064,0.206632,0.316341,0.635567,0.285905,0.998743,0.302768,0.0650354
180,762.557,1,5.32547,0.633258,19.5707,7.28876,21.7542,0.205966,0.316902,0.619474,0.287344,0.998743,0.299927,0.0646265
181,756.435,1,5.30975,0.633978,19.6714,7.23111,21.7861,0.210469,0.315638,0.603789,0.286781,0.998743,0.303861,0.0630969
182,761.63,1,5.2921,0.631185,19.4375,7.40858,21.6347,0.210578,0.321185,0.647661,0.2926,0.998743,0.308586,0.0624354
183,762.09,1,5.30299,0.614167,19.5389,7.45858,21.6913,0.208193,0.323006,0.648494,0.29637,0.998743,0.301467,0.0622669
184,762.508,1,5.27239,0.627154,19.7347,6.96679,21.8676,0.204563,0.319728,0.679001,0.296825,0.998743,0.303701,0.0617832
185,758.797,1,5.25823,0.629033,19.9354,6.67337,22.0267,0.206743,0.321496,0.689003,0.300168,0.998743,0.301865,0.0615833
186,763.404,1,5.28452,0.624185,20.0682,6.62743,22.117,0.206244,0.32393,0.704324,0.303656,0.998743,0.304447,0.0627637
187,764.697,1,5.27153,0.616791,19.9687,6.67195,22.068,0.210192,0.322376,0.68649,0.302268,0.998743,0.30467,0.0626524
188,766.146,1,5.26286,0.591863,19.9777,6.71581,22.0903,0.20487,0.324419,0.672387,0.302272,0.998743,0.30438,0.0634916
189,762.962,1,5.25612,0.627052,20.0143,6.52942,22.1626,0.203669,0.322599,0.668697,0.298658,0.998743,0.30183,0.0640331
190,763.623,1,5.24687,0.577072,19.8642,6.62218,22.0083,0.207336,0.319115,0.655795,0.297997,0.998743,0.301926,0.0638819
191,764.896,1,5.28765,0.613409,19.7354,7.01388,21.9009,0.202086,0.314856,0.684676,0.295416,0.998743,0.301473,0.0651137
