iteration,convergenceIndicator,phase,Cl_pop,V_pop,a1,a2,f_pop,omega_Cl,omega_V,omega_f
211,988.341,1,9.98763,54.7664,3.39386,3.22062,0.899597,0.257094,0.165439,0.190078
212,991.632,1,10.1581,54.9641,3.43816,3.27943,0.918896,0.23955,0.162025,0.189322
213,992.523,1,10.2499,54.8404,3.36895,3.27608,0.908202,0.264046,0.159049,0.209123
214,994.24,1,10.3006,55.6565,3.34755,3.29281,0.909647,0.25475,0.179805,0.205658
215,992.977,1,10.1909,55.8268,3.44398,3.21702,0.911334,0.254505,0.180468,0.189291
216,982.803,1,10.1415,55.4858,3.40826,3.18152,0.91648,0.253165,0.151054,0.183225
217,993.119,1,10.161,54.3513,3.44123,3.33419,0.895989,0.24982,0.145637,0.188963
218,989.976,1,10.1891,53.4841,3.37863,3.27558,0.901729,0.253516,0.161444,0.192309
219,995.487,1,10.2327,53.6442,3.3877,3.34652,0.92428,0.253772,0.168139,0.190369
220,988.995,1,10.0502,54.7289,3.38659,3.19727,0.90618,0.244522,0.173417,0.208184
221,992.541,1,10.1019,53.9672,3.41329,3.25976,0.896383,0.252903,0.161747,0.203257
222,988.405,1,10.0011,54.0713,3.46095,3.23534,0.906568,0.248164,0.139607,0.198212
223,983.861,1,10.2262,54.4299,3.4873,3.17457,0.920332,0.24321,0.138156,0.187855
224,997.381,1,9.98373,54.361,3.61649,3.26961,0.897667,0.239355,0.140662,0.193411
225,997.85,1,10.1756,55.107,3.5016,3.34476,0.924711,0.250125,0.146312,0.193202
226,1000.03,1,10.1282,54.7235,3.56633,3.30872,0.907243,0.248195,0.159055,0.183914
227,990.969,1,10.083,54.1043,3.40914,3.27331,0.90827,0.257597,0.16233,0.184238
228,991.895,1,10.1456,55.2396,3.40534,3.25092,0.908161,0.253452,0.169586,0.195681
229,990.694,1,10.159,54.6557,3.4384,3.22043,0.914025,0.239472,0.178814,0.187866
230,992.885,1,10.2145,54.8172,3.46314,3.23362,0.907451,0.249432,0.160789,0.200796
231,992.379,1,10.2942,53.9985,3.39157,3.31796,0.92413,0.244472,0.155044,0.201811
232,989.234,1,10.1617,54.0067,3.32531,3.29825,0.907556,0.254298,0.16425,0.195205
233,988.845,1,10.2182,54.2844,3.28419,3.35269,0.926774,0.256802,0.153545,0.198507
234,991.304,1,10.1758,54.0933,3.42756,3.2667,0.912013,0.243717,0.161345,0.193751
235,988.112,1,10.183,54.2623,3.31533,3.24806,0.915982,0.254106,0.174424,0.200419
236,991.091,1,10.2258,54.2525,3.45382,3.19445,0.90845,0.253638,0.174932,0.188528
237,993.922,1,10.1926,54.5056,3.48129,3.24234,0.894973,0.252067,0.165226,0.190047
238,1011.07,1,10.2262,56.0225,3.48526,3.46192,0.902948,0.257403,0.166748,0.21538
239,1003.08,1,10.0196,55.1608,3.54851,3.31305,0.90221,0.238773,0.171683,0.202598
240,997.203,1,10.1332,54.6694,3.46727,3.34605,0.925222,0.240504,0.158088,0.193906
241,985.215,1,10.2462,55.0225,3.39557,3.19396,0.9226,0.241753,0.164191,0.192179
242,989.86,1,10.234,55.2524,3.52915,3.16288,0.924552,0.268836,0.149807,0.183511
243,990.937,1,10.3246,54.9697,3.49378,3.24232,0.908611,0.260285,0.151444,0.176121
244,989.324,1,10.2323,54.0214,3.39271,3.25608,0.918332,0.258361,0.16082,0.187385
245,995.925,1,10.1569,53.5589,3.3968,3.36541,0.912776,0.263802,0.153568,0.192385
246,997.612,1,10.0309,53.7801,3.45237,3.37167,0.904818,0.249023,0.155143,0.189272
247,990.72,1,9.96153,54.6619,3.44321,3.24401,0.908235,0.247271,0.161628,0.189818
248,987.532,1,10.1673,54.9406,3.3882,3.20943,0.911625,0.248084,0.168432,0.194726
249,992.579,1,10.2005,53.4536,3.33834,3.32761,0.911561,0.259312,0.180131,0.18021
250,990.645,1,10.1852,53.8428,3.36669,3.31343,0.915917,0.241392,0.184567,0.171335
251,995.379,1,10.1404,54.3813,3.3309,3.33552,0.931198,0.249291,0.192653,0.193509
252,995.193,1,10.0581,54.425,3.50726,3.26053,0.900413,0.239675,0.169456,0.186511
253,997.911,1,10.063,54.5671,3.51544,3.29302,0.898834,0.233985,0.169813,0.193162
254,988.69,1,10.0539,55.4996,3.45,3.18031,0.903568,0.256658,0.155717,0.19954
255,1005.6,1,9.96047,55.1682,3.58926,3.30375,0.874642,0.245509,0.171732,0.203148
256,997.703,1,10.0741,56.4006,3.51042,3.31978,0.918211,0.245343,0.160026,0.185368
257,988.181,1,10.0701,53.9198,3.45285,3.19411,0.913549,0.240655,0.172492,0.182098
258,996.118,1,10.0977,55.7275,3.56987,3.20293,0.918536,0.240939,0.169474,0.191913
259,1001.98,1,10.2986,55.5663,3.4816,3.25296,0.929998,0.261858,0.195064,0.201955
260,1004.45,1,10.2562,55.9447,3.42699,3.37962,0.943566,0.258639,0.190629,0.195992
261,999.249,1,10.2906,55.7143,3.39336,3.36248,0.924799,0.268212,0.172702,0.191928
262,988.695,1,10.2475,54.3926,3.36927,3.25477,0.945187,0.249466,0.174898,0.183485
263,992.078,1,10.2008,54.8068,3.42277,3.21948,0.932438,0.242555,0.182878,0.196992
264,994.221,1,10.129,55.106,3.40933,3.24249,0.912303,0.251515,0.180398,0.203404
265,992.48,1,10.0245,56.0214,3.41899,3.23526,0.910414,0.25074,0.171976,0.200299
266,992.197,1,10.0689,54.7229,3.44157,3.19665,0.901606,0.246422,0.178629,0.201612
267,992.195,1,10.0363,55.6266,3.50103,3.11879,0.904256,0.243617,0.189347,0.202562
268,992.327,1,10.2475,55.0575,3.38079,3.1601,0.925174,0.254833,0.195348,0.218981
