trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_bias_vs_CLCRMLMIN_abscissa,trans_bias_vs_CLCRMLMIN_spline,trans_bias_vs_CLCRMLMIN_regression,trans_bias_vs_logtCLCRMLMIN_abscissa,trans_bias_vs_logtCLCRMLMIN_spline,trans_bias_vs_logtCLCRMLMIN_regression,split
179.891,1.73969,1.79804,0.190477,1.72919,1.78666,179.891,1.83744,1.74055,0.190477,1.84857,1.73845,179.891,3.03642,3.04833,0.190477,3.06597,3.06029,179.891,3.12418,3.13263,0.190477,3.15872,3.1494,179.891,0.135135,1.09417,0.190477,0.183616,1.13533,All
180.908,1.74271,1.8023,0.197643,1.734,1.79126,180.908,1.83545,1.73974,0.197643,1.84359,1.73743,180.908,3.03357,3.04686,0.197643,3.06227,3.05897,180.908,3.12017,3.13022,0.197643,3.15366,3.14714,180.908,0.115275,1.14822,0.197643,0.191862,1.19964,All
181.925,1.74573,1.80657,0.204809,1.73881,1.79585,181.925,1.83345,1.73892,0.204809,1.83861,1.73642,181.925,3.03072,3.04538,0.204809,3.05857,3.05765,181.925,3.11615,3.12781,0.204809,3.14859,3.14488,181.925,0.0954148,1.20226,0.204809,0.200108,1.26395,All
182.942,1.74874,1.81083,0.211975,1.74362,1.80044,182.942,1.83145,1.73811,0.211975,1.83363,1.7354,182.942,3.02786,3.04391,0.211975,3.05487,3.05633,182.942,3.11213,3.1254,0.211975,3.14352,3.14263,182.942,0.0755547,1.2563,0.211975,0.208355,1.32826,All
183.96,1.75176,1.81509,0.219141,1.74843,1.80503,183.96,1.82946,1.7373,0.219141,1.82864,1.73438,183.96,3.02501,3.04244,0.219141,3.05117,3.055,183.96,3.10811,3.12298,0.219141,3.13846,3.14037,183.96,0.0556946,1.31034,0.219141,0.216601,1.39257,All
184.977,1.75515,1.81936,0.226307,1.75324,1.80963,184.977,1.82675,1.73648,0.226307,1.82366,1.73337,184.977,3.0222,3.04097,0.226307,3.04746,3.05368,184.977,3.1041,3.12057,0.226307,3.13339,3.13812,184.977,0.0402077,1.36439,0.226307,0.224847,1.45688,All
185.994,1.76373,1.82362,0.233473,1.75805,1.81422,185.994,1.81405,1.73567,0.233473,1.81868,1.73235,185.994,3.01997,3.03949,0.233473,3.04376,3.05236,185.994,3.10024,3.11816,0.233473,3.12833,3.13586,185.994,0.087568,1.41843,0.233473,0.233093,1.52119,All
187.011,1.7728,1.82789,0.240638,1.76286,1.81881,187.011,1.80043,1.73486,0.240638,1.81369,1.73134,187.011,3.01782,3.03802,0.240638,3.04006,3.05104,187.011,3.09642,3.11575,0.240638,3.12326,3.1336,187.011,0.141539,1.47247,0.240638,0.241339,1.5855,All
188.028,1.78187,1.83215,0.247804,1.76767,1.8234,188.028,1.78681,1.73404,0.247804,1.80871,1.73032,188.028,3.01566,3.03655,0.247804,3.03636,3.04972,188.028,3.09259,3.11334,0.247804,3.11819,3.13135,188.028,0.195509,1.52651,0.247804,0.249585,1.6498,All
189.045,1.79095,1.83641,0.25497,1.7761,1.828,189.045,1.77319,1.73323,0.25497,1.79609,1.7293,189.045,3.0135,3.03508,0.25497,3.03184,3.0484,189.045,3.08876,3.11093,0.25497,3.112,3.12909,189.045,0.24948,1.58056,0.25497,0.306415,1.71411,All
190.063,1.80341,1.84068,0.262136,1.78668,1.83259,190.063,1.75341,1.73242,0.262136,1.779,1.72829,190.063,3.01185,3.03361,0.262136,3.02687,3.04708,190.063,3.08519,3.10852,0.262136,3.10517,3.12683,190.063,0.350288,1.6346,0.262136,0.392385,1.77842,All
191.08,1.81648,1.84494,0.269302,1.79726,1.83718,191.08,1.73252,1.7316,0.269302,1.7619,1.72727,191.08,3.01028,3.03213,0.269302,3.02189,3.04576,191.08,3.08166,3.10611,0.269302,3.09834,3.12458,191.08,0.459488,1.68864,0.269302,0.478355,1.84273,All
192.097,1.82955,1.84921,0.276468,1.80936,1.84177,192.097,1.71163,1.73079,0.276468,1.7417,1.72625,192.097,3.00872,3.03066,0.276468,3.01664,3.04443,192.097,3.07813,3.10369,0.276468,3.09112,3.12232,192.097,0.568687,1.74268,0.276468,0.586392,1.90704,All
193.114,1.84262,1.85347,0.283634,1.82308,1.84637,193.114,1.69074,1.72998,0.283634,1.71821,1.72524,193.114,3.00716,3.02919,0.283634,3.0111,3.04311,193.114,3.0746,3.10128,0.283634,3.08348,3.12006,193.114,0.677887,1.79673,0.283634,0.717845,1.97135,All
194.131,1.85569,1.85773,0.2908,1.83679,1.85096,194.131,1.66985,1.72916,0.2908,1.69472,1.72422,194.131,3.0056,3.02772,0.2908,3.00556,3.04179,194.131,3.07107,3.09887,0.2908,3.07584,3.11781,194.131,0.787086,1.85077,0.2908,0.849297,2.03566,All
195.148,1.86876,1.862,0.297966,1.8505,1.85555,195.148,1.64896,1.72835,0.297966,1.67123,1.7232,195.148,3.00404,3.02624,0.297966,3.00001,3.04047,195.148,3.06755,3.09646,0.297966,3.06821,3.11555,195.148,0.896286,1.90481,0.297966,0.98075,2.09997,All
196.166,1.88183,1.86626,0.305132,1.86422,1.86014,196.166,1.62807,1.72754,0.305132,1.64774,1.72219,196.166,3.00247,3.02477,0.305132,2.99447,3.03915,196.166,3.06402,3.09405,0.305132,3.06057,3.11329,196.166,1.00549,1.95885,0.305132,1.1122,2.16427,All
197.183,1.8949,1.87053,0.312297,1.87793,1.86474,197.183,1.60718,1.72673,0.312297,1.62425,1.72117,197.183,3.00091,3.0233,0.312297,2.98893,3.03783,197.183,3.06049,3.09164,0.312297,3.05293,3.11104,197.183,1.11468,2.0129,0.312297,1.24366,2.22858,All
198.2,1.90797,1.87479,0.319463,1.89165,1.86933,198.2,1.58629,1.72591,0.319463,1.60076,1.72016,198.2,2.99935,3.02183,0.319463,2.98339,3.03651,198.2,3.05696,3.08923,0.319463,3.04529,3.10878,198.2,1.22388,2.06694,0.319463,1.37511,2.29289,All
