iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,beta_Cl_lcatCl_2,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b,plcatCl_1,plcatCl_2
191,257.901,1,1.70012,0.889014,0.360395,21.2572,5.28695,25.5998,0.169621,0.236911,0.60853,0.959345,0.0244784,0.5,0.5
192,258.927,1,1.69067,0.885926,0.361249,21.0794,5.2071,24.4498,0.171265,0.244229,0.620054,0.953498,0.0240195,0.500048,0.499952
193,261.265,1,1.68973,0.890757,0.352649,20.9273,5.24205,24.7173,0.175167,0.242694,0.631311,0.949894,0.024069,0.50059,0.49941
194,276.116,1,1.65199,0.907102,0.357983,21.1151,5.07617,24.3021,0.174283,0.247644,0.672979,0.947323,0.0255516,0.500006,0.499994
195,262.589,1,1.67393,0.894838,0.359622,20.8298,5.29713,25.0425,0.174333,0.242631,0.698033,0.946012,0.024274,0.500084,0.499916
196,260.208,1,1.74624,0.861245,0.347876,20.7482,5.07327,25.786,0.175778,0.249485,0.645895,0.942909,0.0235116,0.500845,0.499155
197,264.18,1,1.7382,0.853173,0.354293,20.2977,5.14013,25.7054,0.187471,0.275009,0.685612,0.953845,0.0236338,0.482196,0.517804
198,270.419,1,1.76235,0.845785,0.341405,20.5751,5.34558,25.8058,0.183298,0.273911,0.666012,0.939523,0.0240348,0.48176,0.51824
199,276.176,1,1.82879,0.818174,0.327437,20.296,5.19371,25.6647,0.187823,0.282322,0.662958,0.942703,0.024755,0.485005,0.514995
200,274.087,1,1.86624,0.817375,0.291231,20.4899,5.17352,25.8251,0.182816,0.275942,0.679841,0.944463,0.0247149,0.469199,0.530801
201,285.023,1,1.94815,0.78637,0.275998,20.6447,5.24717,25.2602,0.185365,0.27008,0.714355,0.918872,0.0255164,0.469814,0.530186
202,282.604,1,2.2281,0.674766,0.257531,20.8636,5.46027,26.5429,0.183533,0.258325,0.654945,0.885453,0.0253212,0.479964,0.520036
203,283.202,1,2.12897,0.714404,0.28087,21.2384,5.17185,26.3148,0.174311,0.253355,0.668125,0.872287,0.0254276,0.48796,0.51204
204,277.943,1,2.19075,0.699991,0.262461,21.444,5.21166,26.9932,0.183559,0.264314,0.665324,0.892405,0.0246924,0.507627,0.492373
205,273.519,1,2.22747,0.688262,0.273901,21.4686,5.37394,27.8895,0.186225,0.244322,0.666584,0.898494,0.0243324,0.556682,0.443318
206,272.288,1,2.18747,0.712798,0.276543,21.4273,5.13916,27.7152,0.189445,0.240431,0.634712,0.90178,0.0244179,0.601411,0.398589
207,275.804,1,2.18377,0.714354,0.291031,21.5128,5.09332,28.3864,0.196245,0.242457,0.652303,0.925071,0.0249624,0.625222,0.374778
208,279.414,1,2.08374,0.72435,0.316043,21.2608,5.0293,28.963,0.195503,0.248691,0.677047,0.905037,0.024734,0.555611,0.444389
209,274.237,1,1.94894,0.781139,0.321311,21.5333,5.03798,29.2572,0.18522,0.238673,0.675473,0.92764,0.0247515,0.539382,0.460618
210,277.419,1,1.92796,0.786948,0.323281,21.5427,5.08657,29.4172,0.181404,0.234888,0.684397,0.904087,0.0247858,0.528265,0.471735
211,275.72,1,2.05994,0.726167,0.307467,21.5808,5.24661,28.291,0.174705,0.221799,0.669439,0.85747,0.0246263,0.489462,0.510538
212,272.252,1,2.0267,0.730835,0.313234,21.7585,4.90456,28.0258,0.174517,0.225254,0.693533,0.874739,0.0241469,0.473329,0.526671
213,270.476,1,2.00978,0.730949,0.309717,21.6289,5.04662,29.2082,0.176307,0.222672,0.679401,0.865515,0.0239343,0.450328,0.549672
214,273.406,1,2.06928,0.712667,0.289216,21.7073,4.90715,28.3182,0.177693,0.241236,0.651682,0.848732,0.0241103,0.440911,0.559089
215,272.155,1,1.94564,0.76245,0.313528,21.928,4.72535,28.9819,0.174863,0.245927,0.631336,0.8834,0.0240763,0.469987,0.530013
216,280.972,1,2.25967,0.642119,0.268034,22.2731,4.66389,29.8876,0.174381,0.231278,0.686975,0.826299,0.0250359,0.454502,0.545498
217,285.71,1,2.39726,0.594581,0.236738,21.8427,4.71278,29.981,0.187582,0.250061,0.714254,0.812984,0.0251303,0.427028,0.572972
218,281.972,1,2.3035,0.648763,0.258318,21.8816,4.64719,29.6531,0.18416,0.242533,0.616823,0.876678,0.0256418,0.535265,0.464735
219,288.266,2,2.18537,0.67914,0.272846,21.9335,4.89435,30.6493,0.195291,0.256014,0.661145,0.893871,0.0259298,0.48827,0.51173
220,285.944,2,2.19362,0.657872,0.27438,22.1746,4.79649,29.7872,0.178508,0.256096,0.673617,0.854777,0.025458,0.403267,0.596733
221,289.766,2,2.23982,0.58922,0.306102,22.1482,4.78447,28.2979,0.154421,0.242244,0.697721,0.78231,0.0259868,0.294574,0.705426
222,289.156,2,2.27991,0.562505,0.307479,21.8407,4.56073,29.1649,0.159336,0.239019,0.734662,0.805238,0.0257753,0.290537,0.709463
223,281.612,2,2.2337,0.565036,0.324184,21.8868,4.4839,32.2471,0.158064,0.240983,0.698151,0.841972,0.0252423,0.289351,0.710649
224,279.348,2,2.11057,0.583197,0.369856,21.8917,4.32906,32.2005,0.152503,0.231411,0.692181,0.845646,0.0250617,0.286714,0.713286
225,278.521,2,2.07995,0.588149,0.37398,21.9735,4.38897,32.1555,0.14216,0.219375,0.666398,0.809246,0.0252329,0.268736,0.731264
226,277.342,2,2.13704,0.551865,0.379149,21.6772,4.34462,31.7011,0.138936,0.220205,0.68918,0.812643,0.0248702,0.26893,0.73107
227,282.628,2,2.14141,0.545191,0.391167,21.4908,4.4116,32.3954,0.1414,0.225085,0.691691,0.832358,0.025515,0.268472,0.731528
228,272.077,2,2.11959,0.553888,0.382889,21.3962,4.42834,33.4337,0.140886,0.227094,0.716147,0.843243,0.024529,0.252418,0.747582
229,275.663,2,2.23549,0.513344,0.371452,21.1283,4.66535,32.3187,0.14175,0.226544,0.736784,0.829278,0.0243711,0.247449,0.752551
230,271.88,2,2.17007,0.535452,0.389961,21.3314,4.58299,32.5744,0.143321,0.223374,0.750617,0.831743,0.0240396,0.267074,0.732926
231,274.08,2,2.16919,0.544766,0.377519,21.2882,4.63286,32.5568,0.143593,0.226375,0.744657,0.820353,0.0239826,0.269528,0.730472
232,272.791,2,2.11669,0.575382,0.373909,21.3918,4.68609,31.5434,0.143794,0.224169,0.735741,0.828669,0.0241656,0.276988,0.723012
233,272.498,2,2.13139,0.575204,0.367365,21.4202,4.66972,32.2952,0.143021,0.223117,0.71987,0.836036,0.0243884,0.277485,0.722515
234,269.713,2,2.13529,0.566231,0.374741,21.471,4.8156,32.4153,0.141414,0.217508,0.723438,0.835612,0.0242391,0.272524,0.727476
235,272.476,2,2.17276,0.556693,0.36934,21.5227,4.86468,32.6584,0.138097,0.215039,0.72517,0.841155,0.0245813,0.269841,0.730159
236,274.568,2,2.25274,0.522845,0.367416,21.4396,4.84996,32.397,0.135838,0.211957,0.735052,0.838182,0.0247297,0.269547,0.730453
237,280.586,2,2.28353,0.512346,0.367585,21.3279,4.8737,31.229,0.133992,0.212596,0.749475,0.824227,0.0248853,0.275311,0.724689
238,269.574,2,2.3395,0.489974,0.362103,21.0372,4.97516,31.0281,0.134097,0.214153,0.765436,0.820972,0.0242286,0.270647,0.729353
239,269.495,2,2.35047,0.483751,0.36347,21.0034,4.96937,30.7497,0.134713,0.217503,0.774141,0.822448,0.0238816,0.26942,0.73058
240,267.299,2,2.35139,0.47946,0.368634,20.9288,5.02387,30.874,0.135108,0.217894,0.77377,0.827155,0.0237493,0.268573,0.731427
241,262.702,2,2.33167,0.487255,0.366038,20.9768,4.97658,30.6561,0.135407,0.215841,0.769777,0.830961,0.0235324,0.268416,0.731584
242,272.055,2,2.34529,0.486015,0.360806,20.9543,4.79531,30.6746,0.136275,0.216869,0.761287,0.828071,0.0237204,0.276222,0.723778
243,279.473,2,2.30727,0.499638,0.361437,20.9188,4.70135,31.2247,0.139042,0.21699,0.746181,0.826139,0.02417,0.27771,0.72229
244,275.394,2,2.30123,0.505643,0.360325,21.0368,4.62411,30.9627,0.138634,0.21621,0.735954,0.820252,0.0243288,0.282371,0.717629
245,283.439,2,2.29536,0.508771,0.361856,21.1888,4.6468,31.0331,0.137695,0.213553,0.726551,0.806454,0.0247756,0.278872,0.721128
246,282.725,2,2.29929,0.516909,0.355137,21.3428,4.73313,31.0701,0.138562,0.212336,0.727903,0.802304,0.0249255,0.288575,0.711425
247,277.264,2,2.29336,0.519678,0.357153,21.3692,4.8224,30.8161,0.138453,0.212364,0.728927,0.805495,0.0249177,0.288708,0.711292
248,278.874,2,2.29405,0.527401,0.349071,21.3818,4.82022,30.4045,0.139344,0.213558,0.723484,0.80532,0.0249423,0.292547,0.707453
249,275.37,2,2.28771,0.535317,0.343647,21.4007,4.84041,30.2274,0.138662,0.212212,0.723658,0.802331,0.024877,0.294863,0.705137
250,277.725,2,2.28497,0.540007,0.342861,21.4342,4.89186,30.1593,0.139451,0.211931,0.724338,0.806303,0.0249096,0.300281,0.699719
251,279.809,2,2.28248,0.54008,0.345606,21.4446,4.93898,30.0846,0.140773,0.213101,0.725783,0.807627,0.0248929,0.300988,0.699012
252,281.599,2,2.28116,0.538476,0.345563,21.3763,4.90025,29.7078,0.140898,0.214272,0.723695,0.806548,0.0249416,0.299327,0.700673
253,277.502,2,2.2711,0.541058,0.347564,21.3883,4.86677,29.5586,0.141282,0.215038,0.71971,0.805343,0.0248946,0.298134,0.701866
254,278.923,2,2.24512,0.551739,0.346777,21.4356,4.83304,29.5844,0.141533,0.214386,0.712777,0.800525,0.0249166,0.297244,0.702756
255,274.762,2,2.23594,0.55182,0.349231,21.4499,4.83932,29.7364,0.141721,0.213619,0.708513,0.799105,0.024863,0.293483,0.706517
256,275.996,2,2.23328,0.552744,0.348759,21.42,4.7909,30.2618,0.142451,0.214308,0.700306,0.800163,0.0248458,0.296202,0.703798
257,279.492,2,2.24195,0.550295,0.348754,21.4395,4.77211,30.054,0.14274,0.215454,0.696575,0.799024,0.0248545,0.29793,0.70207
258,272.233,2,2.24591,0.548407,0.347393,21.4356,4.79427,30.054,0.14266,0.216144,0.694769,0.797985,0.0247361,0.293999,0.706001
259,268.872,2,2.24868,0.545359,0.348777,21.416,4.80933,29.899,0.142212,0.215289,0.693142,0.799125,0.0246736,0.290707,0.709293
260,268.566,2,2.26153,0.54007,0.348114,21.3938,4.82413,29.8693,0.142261,0.215948,0.691801,0.800516,0.0245668,0.289107,0.710893
261,277.322,2,2.27858,0.530528,0.351155,21.3774,4.82864,29.7598,0.141786,0.216543,0.690137,0.801772,0.0246392,0.286843,0.713157
262,278.385,2,2.28618,0.527282,0.352632,21.3751,4.82844,29.7572,0.142849,0.218742,0.688015,0.803966,0.0246206,0.289015,0.710985
263,277.421,2,2.2908,0.525238,0.353893,21.3937,4.82471,29.7548,0.143418,0.220307,0.686422,0.805716,0.0246088,0.290619,0.709381
264,276.104,2,2.27926,0.529088,0.354262,21.4075,4.8145,29.7728,0.143401,0.220411,0.684167,0.804154,0.0246122,0.28872,0.71128
265,276.043,2,2.27202,0.531051,0.355069,21.3934,4.81418,29.7217,0.143232,0.22076,0.682478,0.802615,0.0246076,0.287369,0.712631
266,277.725,2,2.27673,0.529322,0.354473,21.371,4.82186,29.6859,0.14287,0.220188,0.683922,0.800701,0.0246307,0.286016,0.713984
267,277.297,2,2.26805,0.531547,0.355909,21.3623,4.83439,29.6442,0.142918,0.219758,0.685012,0.799897,0.0246316,0.28465,0.71535
268,288.558,2,2.26892,0.531129,0.355826,21.3636,4.83575,29.5316,0.143027,0.219793,0.686637,0.797576,0.0246949,0.284555,0.715445
269,282.092,2,2.266,0.531383,0.356746,21.378,4.82734,29.5332,0.14295,0.219554,0.686221,0.796028,0.0247416,0.283245,0.716755
270,274.738,2,2.26518,0.531526,0.356722,21.3675,4.83289,29.5267,0.142959,0.219509,0.686664,0.796293,0.0247386,0.282664,0.717336
271,269.84,2,2.26566,0.530939,0.356845,21.3629,4.83726,29.5137,0.143061,0.219579,0.687018,0.79692,0.024719,0.282046,0.717954
272,279.28,2,2.26765,0.529675,0.356931,21.3547,4.84187,29.4943,0.143197,0.219661,0.687552,0.797081,0.0247174,0.280839,0.719161
273,272.918,2,2.26802,0.529326,0.35685,21.3455,4.84563,29.4811,0.143256,0.219831,0.687716,0.797402,0.0247039,0.280273,0.719727
274,276.846,2,2.26858,0.528943,0.356777,21.3439,4.85056,29.5106,0.143218,0.219887,0.687689,0.797239,0.0247052,0.279359,0.720641
275,281.975,2,2.26915,0.529077,0.356404,21.3487,4.85692,29.5114,0.14322,0.220009,0.687805,0.79712,0.0247108,0.279369,0.720631
276,276.143,2,2.27115,0.528632,0.356153,21.3524,4.85845,29.5089,0.143314,0.220114,0.687492,0.797163,0.0247052,0.279728,0.720272
277,275.342,2,2.27246,0.527811,0.356347,21.3564,4.85829,29.5004,0.14337,0.220156,0.687558,0.796956,0.0246941,0.279437,0.720563
278,286.709,2,2.27406,0.527287,0.356236,21.3644,4.85638,29.4879,0.1434,0.220292,0.687736,0.796857,0.0247057,0.279645,0.720355
279,281.293,2,2.27517,0.526841,0.356169,21.3676,4.85429,29.4848,0.143426,0.220331,0.68796,0.796734,0.0247094,0.279613,0.720387
280,284.445,2,2.27424,0.527509,0.355717,21.3617,4.85157,29.4856,0.143479,0.22041,0.687794,0.796756,0.0247231,0.27983,0.72017
281,284.203,2,2.27408,0.527542,0.355577,21.3534,4.85311,29.4795,0.143497,0.220349,0.687999,0.796692,0.0247363,0.279675,0.720325
282,275.43,2,2.27253,0.528076,0.355587,21.3451,4.85539,29.4754,0.143507,0.2202,0.688045,0.796616,0.0247348,0.279619,0.720381
283,280.71,2,2.27097,0.528558,0.3557,21.3357,4.85892,29.4697,0.143548,0.220083,0.688233,0.796471,0.0247411,0.27937,0.72063
284,273.221,2,2.269,0.529074,0.355932,21.3304,4.86031,29.5047,0.143634,0.220013,0.688196,0.796619,0.0247324,0.279209,0.720791
285,279.172,2,2.27038,0.528153,0.356021,21.3178,4.86519,29.5193,0.143686,0.220052,0.68876,0.796925,0.0247333,0.27849,0.72151
286,274.669,2,2.2705,0.528159,0.355807,21.3119,4.86735,29.5204,0.143728,0.220189,0.689008,0.797084,0.024723,0.278332,0.721668
287,278.379,2,2.27072,0.528225,0.355511,21.3055,4.87239,29.5176,0.14374,0.220309,0.689774,0.797164,0.0247158,0.278179,0.721821
288,270.725,2,2.26865,0.529582,0.355158,21.3061,4.87581,29.5108,0.143786,0.220239,0.689834,0.797095,0.0247026,0.278858,0.721142
289,272.599,2,2.26634,0.531023,0.354711,21.308,4.87785,29.4979,0.143841,0.2202,0.68959,0.796724,0.0246908,0.279369,0.720631
290,274.295,2,2.26611,0.531473,0.354132,21.3048,4.8798,29.4818,0.143851,0.220183,0.689608,0.796576,0.024686,0.279174,0.720826
291,276.881,2,2.26585,0.531725,0.353867,21.3059,4.88221,29.4908,0.143826,0.220144,0.689756,0.796228,0.024683,0.278985,0.721015
292,277.319,2,2.26654,0.531019,0.353971,21.2984,4.88816,29.504,0.143831,0.220155,0.690455,0.795977,0.0246748,0.278107,0.721893
293,273.05,2,2.26737,0.530433,0.353968,21.2885,4.89338,29.5109,0.143826,0.220246,0.691107,0.795886,0.0246573,0.277616,0.722384
294,276.202,2,2.26806,0.529968,0.353954,21.2783,4.89827,29.4973,0.143787,0.220306,0.691481,0.795854,0.0246526,0.277086,0.722914
295,277.568,2,2.26903,0.529566,0.353667,21.2695,4.90505,29.4904,0.143754,0.220315,0.692108,0.795786,0.0246486,0.276544,0.723456
296,271.835,2,2.26867,0.529873,0.353445,21.2656,4.9062,29.4853,0.143819,0.220452,0.69212,0.796146,0.0246389,0.276663,0.723337
297,279.061,2,2.26676,0.53066,0.353513,21.2675,4.90506,29.4941,0.143908,0.220541,0.691883,0.796172,0.0246387,0.276863,0.723137
298,277.89,2,2.26529,0.531192,0.353599,21.267,4.90403,29.4935,0.143983,0.220541,0.692022,0.796295,0.0246378,0.276871,0.723129
299,275.54,2,2.26528,0.530907,0.353874,21.2711,4.90129,29.4987,0.143997,0.22059,0.692085,0.796334,0.0246343,0.276554,0.723446
300,280.409,2,2.26575,0.530724,0.353911,21.2749,4.8997,29.4844,0.14401,0.220664,0.692165,0.796404,0.0246377,0.276582,0.723418
301,277.494,2,2.26676,0.530664,0.353526,21.2775,4.90209,29.4734,0.14399,0.220665,0.692255,0.796357,0.0246398,0.276554,0.723446
302,281.595,2,2.26615,0.530795,0.353676,21.2808,4.90331,29.4773,0.14401,0.220744,0.69205,0.79635,0.0246463,0.27633,0.72367
303,286.462,2,2.26744,0.530332,0.353571,21.2783,4.90389,29.4604,0.144104,0.22097,0.691739,0.796412,0.0246542,0.276392,0.723608
304,281.909,2,2.26938,0.52939,0.353694,21.2739,4.90458,29.4579,0.144165,0.221148,0.691598,0.796622,0.0246577,0.276337,0.723663
305,278.298,2,2.27028,0.528818,0.353921,21.2728,4.90407,29.4472,0.144223,0.221223,0.691479,0.796751,0.0246574,0.276302,0.723698
306,279.749,2,2.27051,0.528713,0.35395,21.2727,4.90512,29.4515,0.14433,0.221343,0.691306,0.796791,0.0246554,0.276315,0.723685
307,278.414,2,2.27113,0.528547,0.35386,21.2728,4.90753,29.4611,0.144381,0.221413,0.691231,0.796823,0.024654,0.276404,0.723596
308,275.061,2,2.27119,0.528014,0.354204,21.2653,4.91197,29.4525,0.144379,0.22138,0.691526,0.796649,0.024649,0.275599,0.724401
309,277.065,2,2.27151,0.527641,0.354298,21.259,4.91647,29.4566,0.144429,0.22138,0.691457,0.796643,0.0246496,0.275012,0.724988
310,277.013,2,2.27182,0.527312,0.35436,21.2555,4.91948,29.446,0.14452,0.221426,0.691593,0.796703,0.0246469,0.274376,0.725624
311,279.84,2,2.27111,0.527364,0.354403,21.2544,4.91834,29.432,0.144563,0.221511,0.691589,0.796611,0.0246476,0.273704,0.726296
312,281.032,2,2.26902,0.527817,0.354649,21.2498,4.92,29.43,0.144594,0.221513,0.692204,0.796576,0.0246461,0.273147,0.726853
313,278.454,2,2.26807,0.527766,0.354982,21.2433,4.92345,29.4406,0.144627,0.221646,0.692745,0.79673,0.0246413,0.272501,0.727499
314,281.631,2,2.26801,0.527277,0.355355,21.2389,4.92497,29.4408,0.144671,0.221758,0.692995,0.79676,0.0246411,0.27189,0.72811
315,280.644,2,2.26864,0.526741,0.355424,21.2326,4.92686,29.4475,0.144704,0.221886,0.693421,0.796978,0.0246408,0.271375,0.728625
316,276.428,2,2.26914,0.526433,0.355321,21.225,4.929,29.4429,0.144729,0.221937,0.693822,0.797038,0.0246365,0.27078,0.72922
317,274.546,2,2.26909,0.526493,0.355105,21.2193,4.93181,29.4388,0.144728,0.221989,0.694275,0.797185,0.0246311,0.270325,0.729675
318,272.216,2,2.26878,0.526641,0.354911,21.2152,4.93522,29.4322,0.144724,0.222064,0.694704,0.79732,0.0246222,0.269791,0.730209
319,273.594,2,2.26819,0.526833,0.354804,21.2102,4.9383,29.4346,0.144744,0.222146,0.69511,0.797405,0.0246143,0.269226,0.730774
320,269.876,2,2.26786,0.526977,0.35472,21.2076,4.93933,29.4366,0.144742,0.222211,0.695109,0.797372,0.0246034,0.269061,0.730939
321,271.463,2,2.26834,0.527045,0.354342,21.2068,4.94127,29.4248,0.144755,0.222294,0.695324,0.797369,0.024592,0.269071,0.730929
322,278.468,2,2.26699,0.52742,0.35443,21.2038,4.94197,29.4308,0.144757,0.222376,0.695418,0.797318,0.0245895,0.268871,0.731129
323,275.943,2,2.2666,0.527603,0.354352,21.2032,4.94255,29.4229,0.144714,0.222401,0.69548,0.797484,0.024592,0.268663,0.731337
324,279.359,2,2.26606,0.527914,0.354199,21.2008,4.94519,29.4157,0.144658,0.222388,0.695628,0.797476,0.0245976,0.268473,0.731527
325,277.615,2,2.26563,0.528184,0.354069,21.1997,4.94707,29.4004,0.144615,0.222374,0.695728,0.797537,0.024601,0.268424,0.731576
326,279.486,2,2.26568,0.528067,0.354121,21.1955,4.95022,29.3932,0.144619,0.22243,0.696036,0.79777,0.0246027,0.268291,0.731709
327,271.899,2,2.26581,0.528069,0.354027,21.1941,4.95162,29.3989,0.144641,0.222524,0.696194,0.797924,0.0245936,0.268312,0.731688
328,277.571,2,2.26602,0.52803,0.354004,21.1941,4.95323,29.382,0.144645,0.22259,0.696032,0.797773,0.0245921,0.268335,0.731665
329,282.243,2,2.26699,0.527776,0.353844,21.1932,4.95567,29.3642,0.144627,0.222612,0.695896,0.797528,0.0245975,0.268314,0.731686
330,276.938,2,2.26808,0.527135,0.353963,21.1871,4.95879,29.3589,0.144589,0.222612,0.696244,0.79754,0.0245979,0.267858,0.732142
331,275.511,2,2.26863,0.526648,0.354252,21.1813,4.96342,29.3556,0.144553,0.222582,0.696611,0.797336,0.0245935,0.267602,0.732398
332,271.099,2,2.26932,0.526313,0.354268,21.1756,4.96547,29.3578,0.144527,0.222632,0.696417,0.797383,0.0245896,0.267448,0.732552
333,278.751,2,2.26918,0.526207,0.354366,21.1712,4.9668,29.3631,0.144517,0.222634,0.696335,0.797456,0.0245938,0.267333,0.732667
334,272.546,2,2.26861,0.52627,0.354465,21.1683,4.96641,29.3753,0.14451,0.222622,0.696131,0.797509,0.0245923,0.267185,0.732815
335,270.38,2,2.26861,0.526159,0.35456,21.1652,4.96721,29.3827,0.144484,0.222624,0.696012,0.797408,0.0245864,0.267104,0.732896
336,272.089,2,2.2689,0.525841,0.354772,21.1625,4.96909,29.3815,0.144473,0.222564,0.696018,0.797448,0.0245841,0.266965,0.733035
337,279.669,2,2.26954,0.525519,0.35479,21.1588,4.97119,29.38,0.144456,0.222514,0.695986,0.797377,0.0245899,0.266783,0.733217
338,278.988,2,2.26911,0.525785,0.354717,21.1588,4.96968,29.378,0.144461,0.22249,0.69601,0.797273,0.0245909,0.266943,0.733057
339,282.617,2,2.26911,0.525878,0.354728,21.1607,4.96706,29.379,0.144502,0.222499,0.696026,0.797341,0.0245957,0.267242,0.732758
340,279.821,2,2.26931,0.525839,0.354693,21.161,4.9673,29.3828,0.144523,0.222526,0.69613,0.797558,0.0245991,0.267337,0.732663
341,278.712,2,2.26956,0.525613,0.354919,21.1614,4.96579,29.3865,0.144554,0.222543,0.69628,0.7978,0.0246005,0.267486,0.732514
342,284.287,2,2.26875,0.525886,0.355064,21.1639,4.96282,29.3862,0.144604,0.222665,0.696225,0.798031,0.0246058,0.267698,0.732302
343,280.244,2,2.26812,0.526225,0.355079,21.1642,4.96192,29.3862,0.144634,0.222684,0.696321,0.798249,0.0246092,0.267953,0.732047
344,279.604,2,2.2678,0.526329,0.355227,21.1647,4.962,29.385,0.14466,0.222723,0.696434,0.798494,0.0246119,0.26809,0.73191
345,277.625,2,2.26824,0.526261,0.35511,21.165,4.96167,29.3785,0.144668,0.222776,0.696488,0.79865,0.0246126,0.26823,0.73177
346,280.444,2,2.26815,0.526297,0.355108,21.1657,4.95884,29.3677,0.144692,0.222785,0.696355,0.798821,0.024619,0.268259,0.731741
347,288.766,2,2.26679,0.526759,0.355173,21.1652,4.95758,29.3579,0.144749,0.22284,0.696599,0.798995,0.0246267,0.268259,0.731741
348,274.915,2,2.26667,0.52666,0.355265,21.1658,4.9559,29.3569,0.144723,0.222837,0.696688,0.799015,0.024626,0.268012,0.731988
349,279.931,2,2.26733,0.526337,0.355256,21.1645,4.9576,29.3609,0.144709,0.222871,0.697162,0.799147,0.0246265,0.267771,0.732229
350,285.186,2,2.26805,0.525973,0.355306,21.1602,4.96166,29.3602,0.144711,0.222843,0.697671,0.799204,0.0246314,0.267619,0.732381
351,286.124,2,2.26859,0.52562,0.355354,21.155,4.96429,29.3652,0.144696,0.22286,0.698076,0.799241,0.0246375,0.267352,0.732648
352,277.663,2,2.26914,0.52551,0.355175,21.1515,4.96632,29.3631,0.144684,0.222846,0.698151,0.799129,0.0246375,0.26734,0.73266
353,288.015,2,2.26997,0.525325,0.354896,21.1485,4.97004,29.3706,0.144663,0.222833,0.698363,0.799047,0.0246468,0.267213,0.732787
