iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
61,890.883,1,7.10205,14.5579,46.3727,41.1289,0.214639,0.214639,0.92978,0.419879,0.998761,0.321958,0.799352,0.321958,0.257567
62,892.802,1,6.86242,15.6378,46.0485,40.7993,0.209204,0.209204,0.945586,0.457017,0.998761,0.313806,0.779112,0.313806,0.251045
63,888.214,1,6.82954,14.9398,45.2264,40.1846,0.204751,0.203907,0.88142,0.464536,0.998761,0.30586,0.759384,0.30586,0.244688
64,874.138,1,6.72571,13.9331,44.2633,39.458,0.202292,0.198744,0.912289,0.460474,0.998761,0.298116,0.740156,0.298116,0.238493
65,874.54,1,6.93672,12.6949,43.6951,39.1236,0.210051,0.193711,0.830522,0.42612,0.998761,0.290567,0.721415,0.290567,0.232454
66,868.361,1,6.94526,13.8935,43.3485,38.9241,0.204732,0.188807,0.865084,0.440867,0.998761,0.28321,0.703148,0.28321,0.226568
67,870.258,1,6.40157,15.5904,41.9875,37.9265,0.210111,0.184026,0.84937,0.516092,0.998761,0.276039,0.685344,0.278261,0.223487
68,862.376,1,6.47295,16.3191,41.7518,37.7385,0.218603,0.179366,0.847804,0.507499,0.998761,0.269049,0.667991,0.271215,0.217828
69,860.569,1,6.03113,15.7936,41.0758,37.2328,0.225109,0.174825,0.845293,0.566069,0.998761,0.262237,0.651077,0.264348,0.212313
70,853.817,1,6.27644,14.93,41.0925,37.3162,0.231124,0.170398,0.815571,0.525484,0.998761,0.255597,0.634591,0.257654,0.207694
71,849.869,1,6.15943,14.9384,40.3589,36.7663,0.237728,0.166083,0.884341,0.540595,0.998761,0.249125,0.618523,0.255249,0.204704
72,845.356,1,6.13679,15.739,40.895,37.0854,0.239847,0.161878,0.81113,0.546411,0.998761,0.242817,0.602862,0.253186,0.204234
73,845.114,1,6.47934,16.9106,40.8166,36.9851,0.236754,0.157779,0.8094,0.493217,0.998761,0.236669,0.600721,0.256451,0.202788
74,850.115,1,6.16327,17.6106,40.6026,36.8007,0.240291,0.153784,0.921777,0.532372,0.998761,0.230676,0.590132,0.263134,0.207569
75,836.684,1,6.5267,16.0533,41.4458,37.3572,0.240821,0.14989,0.863469,0.49693,0.998761,0.224835,0.575189,0.26228,0.20843
76,837.652,1,6.26579,16.1654,41.5232,37.406,0.244017,0.146095,0.776937,0.534559,0.998761,0.219142,0.560625,0.255639,0.203153
77,829.159,1,6.05809,14.1381,41.0417,37.0313,0.247869,0.142396,0.807114,0.557702,0.998761,0.213594,0.564223,0.249166,0.198009
78,828.807,1,6.22904,13.3787,42.4346,37.9855,0.24543,0.13879,0.842742,0.536476,0.998761,0.208185,0.559857,0.250764,0.199257
79,821.443,1,6.4048,14.0892,42.4898,37.9265,0.247515,0.135276,0.837392,0.504503,0.998761,0.202914,0.545681,0.270723,0.215189
80,823.776,1,6.13859,12.783,42.6928,38.1247,0.265875,0.131851,0.808811,0.542754,0.998761,0.197776,0.531864,0.263868,0.20974
81,812.989,1,6.17647,13.2434,41.977,37.6506,0.267598,0.128512,0.736219,0.535658,0.998761,0.192768,0.518397,0.257187,0.204429
