standEta_Cl_abscissa,standEta_Cl_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-2.76452,0.033,-2.16569,0.0331429,-1.79544,0.033,All
-2.76326,0.0331429,-2.16383,0.0332857,-1.79424,0.0331429,All
-2.76318,0.0332857,-2.15852,0.0334286,-1.78945,0.0332857,All
-2.76303,0.0334286,-2.15784,0.0335714,-1.78537,0.0334286,All
-2.76217,0.0335714,-2.15624,0.0337143,-1.78485,0.0335714,All
-2.76196,0.0337143,-2.15415,0.0338571,-1.7828,0.0337143,All
-2.76059,0.0338571,-2.15108,0.034,-1.78229,0.0338571,All
-2.75987,0.034,-2.15108,0.0341429,-1.78066,0.034,All
-2.75857,0.0341429,-2.15098,0.0342857,-1.77808,0.0341429,All
-2.75762,0.0342857,-2.15072,0.0344286,-1.77719,0.0342857,All
-2.75698,0.0344286,-2.14908,0.0345714,-1.77702,0.0344286,All
-2.75378,0.0345714,-2.14908,0.0347143,-1.77685,0.0345714,All
-2.75378,0.0347143,-2.14908,0.0348571,-1.77391,0.0347143,All
-2.75357,0.0348571,-2.14815,0.035,-1.77378,0.0348571,All
-2.75319,0.035,-2.14749,0.0351429,-1.76719,0.035,All
-2.75069,0.0351429,-2.14691,0.0352857,-1.76634,0.0351429,All
-2.75063,0.0352857,-2.14516,0.0354286,-1.76429,0.0352857,All
-2.74938,0.0354286,-2.14195,0.0355714,-1.75954,0.0354286,All
-2.74868,0.0355714,-2.13935,0.0357143,-1.75817,0.0355714,All
-2.74519,0.0357143,-2.1379,0.0358571,-1.75363,0.0357143,All
-2.74315,0.0358571,-2.13589,0.036,-1.75023,0.0358571,All
-2.74276,0.036,-2.13191,0.0361429,-1.74906,0.036,All
-2.74049,0.0361429,-2.13151,0.0362857,-1.74862,0.0361429,All
-2.74049,0.0362857,-2.12942,0.0364286,-1.74834,0.0362857,All
-2.7384,0.0364286,-2.12838,0.0365714,-1.74799,0.0364286,All
-2.73823,0.0365714,-2.12785,0.0367143,-1.7475,0.0365714,All
-2.73529,0.0367143,-2.12745,0.0368571,-1.7475,0.0367143,All
-2.73524,0.0368571,-2.1253,0.037,-1.7466,0.0368571,All
-2.73387,0.037,-2.11863,0.0371429,-1.74296,0.037,All
-2.73321,0.0371429,-2.11711,0.0372857,-1.74296,0.0371429,All
-2.73267,0.0372857,-2.11381,0.0374286,-1.73946,0.0372857,All
-2.73253,0.0374286,-2.11289,0.0375714,-1.73743,0.0374286,All
-2.72967,0.0375714,-2.11289,0.0377143,-1.73672,0.0375714,All
-2.72964,0.0377143,-2.11118,0.0378571,-1.73672,0.0377143,All
-2.72945,0.0378571,-2.10495,0.038,-1.7359,0.0378571,All
-2.72945,0.038,-2.10414,0.0381429,-1.7359,0.038,All
-2.72756,0.0381429,-2.10197,0.0382857,-1.73588,0.0381429,All
-2.72749,0.0382857,-2.10161,0.0384286,-1.73128,0.0382857,All
-2.72697,0.0384286,-2.10161,0.0385714,-1.73001,0.0384286,All
-2.72642,0.0385714,-2.10089,0.0387143,-1.7282,0.0385714,All
-2.72523,0.0387143,-2.09743,0.0388571,-1.72641,0.0387143,All
-2.72486,0.0388571,-2.09729,0.039,-1.72263,0.0388571,All
-2.72304,0.039,-2.09579,0.0391429,-1.72032,0.039,All
-2.72179,0.0391429,-2.09475,0.0392857,-1.71993,0.0391429,All
-2.72179,0.0392857,-2.09092,0.0394286,-1.71959,0.0392857,All
-2.72092,0.0394286,-2.09092,0.0395714,-1.71859,0.0394286,All
-2.72091,0.0395714,-2.08401,0.0397143,-1.71859,0.0395714,All
-2.71968,0.0397143,-2.08395,0.0398571,-1.71771,0.0397143,All
-2.71968,0.0398571,-2.08364,0.04,-1.71771,0.0398571,All
-2.71851,0.04,-2.07798,0.0401429,-1.71765,0.04,All
-2.71739,0.0401429,-2.07534,0.0402857,-1.71538,0.0401429,All
