standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-0.00462197,0.464286,0.107075,0.464286,-0.107412,0.464286,-0.20428,0.464286,0.0158919,0.464286,-0.0685747,0.464286,-0.102224,0.464286,All
-0.00460306,0.471429,0.111124,0.471429,-0.106909,0.471429,-0.183807,0.471429,0.0289421,0.471429,-0.0594545,0.471429,-0.101327,0.471429,All
0.0158128,0.478571,0.124439,0.478571,-0.103483,0.478571,-0.179598,0.478571,0.0941141,0.478571,-0.0541233,0.478571,-0.0796963,0.478571,All
0.0160085,0.485714,0.138999,0.485714,-0.0885645,0.485714,-0.167462,0.485714,0.0982408,0.485714,0.00311613,0.485714,-0.0748347,0.485714,All
0.0172737,0.492857,0.165319,0.492857,-0.0670582,0.492857,-0.161641,0.492857,0.105168,0.492857,0.0062898,0.492857,0.0184404,0.492857,All
0.0369296,0.5,0.16726,0.5,-0.0504694,0.5,-0.116191,0.5,0.111358,0.5,0.00883477,0.5,0.026353,0.5,All
0.053295,0.507143,0.172519,0.507143,-0.0261992,0.507143,-0.107136,0.507143,0.180374,0.507143,0.011308,0.507143,0.0456973,0.507143,All
0.0946671,0.514286,0.178161,0.514286,-0.0109801,0.514286,-0.103363,0.514286,0.19826,0.514286,0.0535968,0.514286,0.0627603,0.514286,All
0.101134,0.521429,0.209181,0.521429,0.0127388,0.521429,-0.0833778,0.521429,0.210442,0.521429,0.0639128,0.521429,0.0863206,0.521429,All
0.104403,0.528571,0.214005,0.528571,0.0516234,0.528571,-0.0146816,0.528571,0.217787,0.528571,0.0781418,0.528571,0.108534,0.528571,All
0.122663,0.535714,0.218901,0.535714,0.0578212,0.535714,0.00539941,0.535714,0.241297,0.535714,0.0806685,0.535714,0.116198,0.535714,All
0.1263,0.542857,0.232601,0.542857,0.0627992,0.542857,0.0228382,0.542857,0.245357,0.542857,0.0972064,0.542857,0.12001,0.542857,All
0.126988,0.55,0.31586,0.55,0.0812813,0.55,0.0528134,0.55,0.247682,0.55,0.103247,0.55,0.132586,0.55,All
0.131462,0.557143,0.32637,0.557143,0.0928827,0.557143,0.0617191,0.557143,0.252865,0.557143,0.123912,0.557143,0.199312,0.557143,All
0.134258,0.564286,0.337964,0.564286,0.0956332,0.564286,0.0646017,0.564286,0.262036,0.564286,0.12716,0.564286,0.222157,0.564286,All
0.139775,0.571429,0.344955,0.571429,0.103831,0.571429,0.0704802,0.571429,0.27311,0.571429,0.144813,0.571429,0.250333,0.571429,All
0.140278,0.578571,0.34889,0.578571,0.112171,0.578571,0.0777214,0.578571,0.274189,0.578571,0.193074,0.578571,0.280943,0.578571,All
0.1621,0.585714,0.359697,0.585714,0.115787,0.585714,0.0837717,0.585714,0.28201,0.585714,0.195289,0.585714,0.283592,0.585714,All
0.164679,0.592857,0.363705,0.592857,0.1386,0.592857,0.0886418,0.592857,0.288116,0.592857,0.201971,0.592857,0.304468,0.592857,All
0.164857,0.6,0.37765,0.6,0.139375,0.6,0.145179,0.6,0.326158,0.6,0.254017,0.6,0.336864,0.6,All
